syear,age_gr,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,17-29 J.,male,,,,,,,,,,,,
1984,17-29 J.,female,,,,,,,,,,,,
1984,30-45 J.,male,,,,,,,,,,,,
1984,30-45 J.,female,,,,,,,,,,,,
1984,46-65 J.,male,,,,,,,,,,,,
1984,46-65 J.,female,,,,,,,,,,,,
1984,66 und älter,male,,,,,,,,,,,,
1984,66 und älter,female,,,,,,,,,,,,
1985,17-29 J.,male,,,,,,,,,,,,
1985,17-29 J.,female,,,,,,,,,,,,
1985,30-45 J.,male,,,,,,,,,,,,
1985,30-45 J.,female,,,,,,,,,,,,
1985,46-65 J.,male,,,,,,,,,,,,
1985,46-65 J.,female,,,,,,,,,,,,
1985,66 und älter,male,,,,,,,,,,,,
1985,66 und älter,female,,,,,,,,,,,,
1986,17-29 J.,male,,,,,,,,,,,,
1986,17-29 J.,female,,,,,,,,,,,,
1986,30-45 J.,male,,,,,,,,,,,,
1986,30-45 J.,female,,,,,,,,,,,,
1986,46-65 J.,male,,,,,,,,,,,,
1986,46-65 J.,female,,,,,,,,,,,,
1986,66 und älter,male,,,,,,,,,,,,
1986,66 und älter,female,,,,,,,,,,,,
1987,17-29 J.,male,,,,,,,,,,,,
1987,17-29 J.,female,,,,,,,,,,,,
1987,30-45 J.,male,,,,,,,,,,,,
1987,30-45 J.,female,,,,,,,,,,,,
1987,46-65 J.,male,,,,,,,,,,,,
1987,46-65 J.,female,,,,,,,,,,,,
1987,66 und älter,male,,,,,,,,,,,,
1987,66 und älter,female,,,,,,,,,,,,
1988,17-29 J.,male,,,,,,,,,,,,
1988,17-29 J.,female,,,,,,,,,,,,
1988,30-45 J.,male,,,,,,,,,,,,
1988,30-45 J.,female,,,,,,,,,,,,
1988,46-65 J.,male,,,,,,,,,,,,
1988,46-65 J.,female,,,,,,,,,,,,
1988,66 und älter,male,,,,,,,,,,,,
1988,66 und älter,female,,,,,,,,,,,,
1989,17-29 J.,male,,,,,,,,,,,,
1989,17-29 J.,female,,,,,,,,,,,,
1989,30-45 J.,male,,,,,,,,,,,,
1989,30-45 J.,female,,,,,,,,,,,,
1989,46-65 J.,male,,,,,,,,,,,,
1989,46-65 J.,female,,,,,,,,,,,,
1989,66 und älter,male,,,,,,,,,,,,
1989,66 und älter,female,,,,,,,,,,,,
1990,17-29 J.,male,,,,,,,,,,,,
1990,17-29 J.,female,,,,,,,,,,,,
1990,30-45 J.,male,,,,,,,,,,,,
1990,30-45 J.,female,,,,,,,,,,,,
1990,46-65 J.,male,,,,,,,,,,,,
1990,46-65 J.,female,,,,,,,,,,,,
1990,66 und älter,male,,,,,,,,,,,,
1990,66 und älter,female,,,,,,,,,,,,
1991,17-29 J.,male,,,,,,,,,,,,
1991,17-29 J.,female,,,,,,,,,,,,
1991,30-45 J.,male,,,,,,,,,,,,
1991,30-45 J.,female,,,,,,,,,,,,
1991,46-65 J.,male,,,,,,,,,,,,
1991,46-65 J.,female,,,,,,,,,,,,
1991,66 und älter,male,,,,,,,,,,,,
1991,66 und älter,female,,,,,,,,,,,,
1992,17-29 J.,male,,,,,,,,,,,,
1992,17-29 J.,female,,,,,,,,,,,,
1992,30-45 J.,male,,,,,,,,,,,,
1992,30-45 J.,female,,,,,,,,,,,,
1992,46-65 J.,male,,,,,,,,,,,,
1992,46-65 J.,female,,,,,,,,,,,,
1992,66 und älter,male,,,,,,,,,,,,
1992,66 und älter,female,,,,,,,,,,,,
1993,17-29 J.,male,,,,,,,,,,,,
1993,17-29 J.,female,,,,,,,,,,,,
1993,30-45 J.,male,,,,,,,,,,,,
1993,30-45 J.,female,,,,,,,,,,,,
1993,46-65 J.,male,,,,,,,,,,,,
1993,46-65 J.,female,,,,,,,,,,,,
1993,66 und älter,male,,,,,,,,,,,,
1993,66 und älter,female,,,,,,,,,,,,
1994,17-29 J.,male,,,,,,,,,,,,
1994,17-29 J.,female,,,,,,,,,,,,
1994,30-45 J.,male,,,,,,,,,,,,
1994,30-45 J.,female,,,,,,,,,,,,
1994,46-65 J.,male,,,,,,,,,,,,
1994,46-65 J.,female,,,,,,,,,,,,
1994,66 und älter,male,,,,,,,,,,,,
1994,66 und älter,female,,,,,,,,,,,,
1995,17-29 J.,male,,,,,,,,,,,,
1995,17-29 J.,female,,,,,,,,,,,,
1995,30-45 J.,male,,,,,,,,,,,,
1995,30-45 J.,female,,,,,,,,,,,,
1995,46-65 J.,male,,,,,,,,,,,,
1995,46-65 J.,female,,,,,,,,,,,,
1995,66 und älter,male,,,,,,,,,,,,
1995,66 und älter,female,,,,,,,,,,,,
1996,17-29 J.,male,,,,,,,,,,,,
1996,17-29 J.,female,,,,,,,,,,,,
1996,30-45 J.,male,,,,,,,,,,,,
1996,30-45 J.,female,,,,,,,,,,,,
1996,46-65 J.,male,,,,,,,,,,,,
1996,46-65 J.,female,,,,,,,,,,,,
1996,66 und älter,male,,,,,,,,,,,,
1996,66 und älter,female,,,,,,,,,,,,
1997,17-29 J.,male,,,,,,,,,,,,
1997,17-29 J.,female,,,,,,,,,,,,
1997,30-45 J.,male,,,,,,,,,,,,
1997,30-45 J.,female,,,,,,,,,,,,
1997,46-65 J.,male,,,,,,,,,,,,
1997,46-65 J.,female,,,,,,,,,,,,
1997,66 und älter,male,,,,,,,,,,,,
1997,66 und älter,female,,,,,,,,,,,,
1998,17-29 J.,male,,,,,,,,,,,,
1998,17-29 J.,female,,,,,,,,,,,,
1998,30-45 J.,male,,,,,,,,,,,,
1998,30-45 J.,female,,,,,,,,,,,,
1998,46-65 J.,male,,,,,,,,,,,,
1998,46-65 J.,female,,,,,,,,,,,,
1998,66 und älter,male,,,,,,,,,,,,
1998,66 und älter,female,,,,,,,,,,,,
1999,17-29 J.,male,,,,,,,,,,,,
1999,17-29 J.,female,,,,,,,,,,,,
1999,30-45 J.,male,,,,,,,,,,,,
1999,30-45 J.,female,,,,,,,,,,,,
1999,46-65 J.,male,,,,,,,,,,,,
1999,46-65 J.,female,,,,,,,,,,,,
1999,66 und älter,male,,,,,,,,,,,,
1999,66 und älter,female,,,,,,,,,,,,
2000,17-29 J.,male,,,,,,,,,,,,
2000,17-29 J.,female,,,,,,,,,,,,
2000,30-45 J.,male,,,,,,,,,,,,
2000,30-45 J.,female,,,,,,,,,,,,
2000,46-65 J.,male,,,,,,,,,,,,
2000,46-65 J.,female,,,,,,,,,,,,
2000,66 und älter,male,,,,,,,,,,,,
2000,66 und älter,female,,,,,,,,,,,,
2001,17-29 J.,male,,,,,,,,,,,,
2001,17-29 J.,female,,,,,,,,,,,,
2001,30-45 J.,male,,,,,,,,,,,,
2001,30-45 J.,female,,,,,,,,,,,,
2001,46-65 J.,male,,,,,,,,,,,,
2001,46-65 J.,female,,,,,,,,,,,,
2001,66 und älter,male,,,,,,,,,,,,
2001,66 und älter,female,,,,,,,,,,,,
2002,17-29 J.,male,180.25829293245437,180.10485571385743,180.4117301510513,175.0,180.0,185.0,160.0,200.0,180.0,180.0,180.0,2009.0
2002,17-29 J.,female,167.7093690408858,167.5780955963658,167.8406424854058,163.0,168.0,172.0,149.5,185.5,168.0,168.0,168.0,2118.0
2002,30-45 J.,male,179.06575192367197,178.9548919177947,179.17661192954924,175.0,179.0,184.0,161.5,197.5,179.0,178.0,180.0,3556.0
2002,30-45 J.,female,166.4629725498812,166.36694704656477,166.5589980531976,162.0,167.0,170.0,150.0,182.0,167.0,167.0,168.0,3861.0
2002,46-65 J.,male,176.31889195487076,176.21571950730868,176.42206440243285,172.0,176.0,180.0,160.0,192.0,176.0,176.0,176.0,3923.0
2002,46-65 J.,female,164.44257186481016,164.35063013251184,164.53451359710849,160.0,165.0,168.0,148.0,180.0,165.0,165.0,165.0,3917.0
2002,66 und älter,male,173.40266653095455,173.24757048343233,173.55776257847677,169.0,173.0,178.0,155.5,191.5,173.0,172.0,173.0,1611.0
2002,66 und älter,female,162.2701146170771,162.1431898190428,162.3970394151114,158.0,162.0,166.0,146.0,178.0,162.0,161.0,162.0,1964.0
2003,17-29 J.,male,,,,,,,,,,,,
2003,17-29 J.,female,,,,,,,,,,,,
2003,30-45 J.,male,,,,,,,,,,,,
2003,30-45 J.,female,,,,,,,,,,,,
2003,46-65 J.,male,,,,,,,,,,,,
2003,46-65 J.,female,,,,,,,,,,,,
2003,66 und älter,male,,,,,,,,,,,,
2003,66 und älter,female,,,,,,,,,,,,
2004,17-29 J.,male,180.48415321384357,180.32158803092932,180.64671839675782,175.0,180.0,185.0,160.0,200.0,180.0,180.0,180.0,1903.0
2004,17-29 J.,female,167.45599909303502,167.32203136074665,167.5899668253234,163.0,168.0,172.0,149.5,185.5,168.0,168.0,168.0,2041.0
2004,30-45 J.,male,179.31462950992045,179.19532822367705,179.43393079616385,175.0,179.0,184.0,161.5,197.5,179.0,178.0,180.0,3113.0
2004,30-45 J.,female,166.70533094700556,166.60083753598093,166.8098243580302,162.0,167.0,171.0,148.5,184.5,167.0,166.0,167.0,3381.0
2004,46-65 J.,male,176.60941312928645,176.50106583130724,176.71776042726566,172.0,176.0,180.0,160.0,192.0,176.0,175.0,176.0,3617.0
2004,46-65 J.,female,164.40154441679005,164.30610316337373,164.49698567020636,160.0,165.0,168.0,148.0,180.0,165.0,165.0,166.0,3727.0
2004,66 und älter,male,173.4998444108487,173.35242741131637,173.64726141038105,169.0,173.0,178.0,155.5,191.5,173.0,172.0,174.0,1709.0
2004,66 und älter,female,162.34248911171585,162.21149398599084,162.47348423744086,158.0,163.0,167.0,144.5,180.5,163.0,163.0,164.0,2026.0
2005,17-29 J.,male,,,,,,,,,,,,
2005,17-29 J.,female,,,,,,,,,,,,
2005,30-45 J.,male,,,,,,,,,,,,
2005,30-45 J.,female,,,,,,,,,,,,
2005,46-65 J.,male,,,,,,,,,,,,
2005,46-65 J.,female,,,,,,,,,,,,
2005,66 und älter,male,,,,,,,,,,,,
2005,66 und älter,female,,,,,,,,,,,,
2006,17-29 J.,male,180.58650665757412,180.4206058729698,180.75240744217845,176.0,180.0,185.0,162.5,198.5,180.0,180.0,180.0,1753.0
2006,17-29 J.,female,167.2787453341287,167.1424475246931,167.4150431435643,163.0,168.0,171.0,151.0,183.0,168.0,168.0,169.0,1912.0
2006,30-45 J.,male,179.54147523870495,179.4161172092999,179.66683326811,175.0,180.0,185.0,160.0,200.0,180.0,180.0,181.0,2970.0
2006,30-45 J.,female,166.782357433578,166.67594777774585,166.88876708941015,163.0,167.0,170.0,152.5,180.5,167.0,166.0,167.0,3301.0
2006,46-65 J.,male,177.05355454383007,176.94457787406395,177.1625312135962,172.0,178.0,182.0,157.0,197.0,178.0,178.0,180.0,3645.0
2006,46-65 J.,female,164.5581485187005,164.4631289013869,164.6531681360141,160.0,165.0,168.0,148.0,180.0,165.0,165.0,166.0,3917.0
2006,66 und älter,male,173.784029105509,173.64678404220987,173.92127416880814,169.0,174.0,178.0,155.5,191.5,174.0,174.0,175.0,2073.0
2006,66 und älter,female,162.29099179376857,162.16920591224385,162.41277767529328,158.0,163.0,167.0,144.5,180.5,163.0,163.0,164.0,2335.0
2007,17-29 J.,male,,,,,,,,,,,,
2007,17-29 J.,female,,,,,,,,,,,,
2007,30-45 J.,male,,,,,,,,,,,,
2007,30-45 J.,female,,,,,,,,,,,,
2007,46-65 J.,male,,,,,,,,,,,,
2007,46-65 J.,female,,,,,,,,,,,,
2007,66 und älter,male,,,,,,,,,,,,
2007,66 und älter,female,,,,,,,,,,,,
2008,17-29 J.,male,180.26031363613828,180.0729440002849,180.44768327199165,175.0,180.0,185.0,160.0,200.0,180.0,180.0,180.0,1506.0
2008,17-29 J.,female,167.28166246760316,167.12606723420203,167.43725770100428,163.0,168.0,172.0,149.5,185.5,168.0,168.0,169.0,1637.0
2008,30-45 J.,male,179.8909150094291,179.73939018901834,180.04243982983988,175.0,180.0,185.0,160.0,200.0,180.0,180.0,180.0,2461.0
2008,30-45 J.,female,166.92771880504753,166.81064989376918,167.04478771632589,163.0,167.0,170.0,152.5,180.5,167.0,166.0,167.0,2705.0
2008,46-65 J.,male,177.33539402898947,177.21680794996476,177.45398010801418,172.0,178.0,182.0,157.0,197.0,178.0,178.0,179.0,3185.0
2008,46-65 J.,female,164.7237404619029,164.6243013567491,164.8231795670567,160.0,165.0,168.0,148.0,180.0,165.0,165.0,165.0,3488.0
2008,66 und älter,male,174.2710843635768,174.12939656281844,174.41277216433514,170.0,174.0,179.0,156.5,192.5,174.0,173.0,174.0,2033.0
2008,66 und älter,female,162.5989755886938,162.4745062091115,162.7234449682761,158.0,163.0,167.0,144.5,180.5,163.0,163.0,163.0,2246.0
2009,17-29 J.,male,,,,,,,,,,,,
2009,17-29 J.,female,,,,,,,,,,,,
2009,30-45 J.,male,,,,,,,,,,,,
2009,30-45 J.,female,,,,,,,,,,,,
2009,46-65 J.,male,,,,,,,,,,,,
2009,46-65 J.,female,,,,,,,,,,,,
2009,66 und älter,male,,,,,,,,,,,,
2009,66 und älter,female,,,,,,,,,,,,
2010,17-29 J.,male,181.03341346834947,180.8260567452545,181.24077019144443,176.0,180.0,185.0,162.5,198.5,180.0,179.0,180.0,1233.0
2010,17-29 J.,female,167.961098390194,167.78754944551656,168.13464733487143,163.0,168.0,172.0,149.5,185.5,168.0,167.0,168.0,1269.0
2010,30-45 J.,male,179.9081819733329,179.7512860640293,180.06507788263647,175.0,180.0,185.0,160.0,200.0,180.0,180.0,181.0,1908.0
2010,30-45 J.,female,167.0845701021697,166.95355046409082,167.21558974024856,163.0,167.0,171.0,151.0,183.0,167.0,166.0,167.0,2184.0
2010,46-65 J.,male,177.43188313167283,177.29554656439294,177.56821969895273,173.0,178.0,182.0,159.5,195.5,178.0,178.0,179.0,2852.0
