year,bula_h,ple0011,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,No,0.9155145929339478,41903,0.9128516798045524,0.9181775060633431
2011,Schleswig-Holstein,Yes,0.08448540706605223,41903,0.0818224939366568,0.08714832019544766
2011,Hamburg,No,0.9389067524115756,41903,0.9366135554901617,0.9411999493329896
2011,Hamburg,Yes,0.06109324758842444,41903,0.058800050667010446,0.06338644450983842
2011,Lower Saxony,No,0.9156184486373166,41903,0.9129570217930982,0.9182798754815349
2011,Lower Saxony,Yes,0.08438155136268344,41903,0.08172012451846512,0.08704297820690175
2011,Bremen,No,0.9523809523809523,41903,0.950341896086465,0.9544200086754396
2011,Bremen,Yes,0.047619047619047616,41903,0.045579991324560275,0.04965810391353496
2011,North Rhine-Westphalia,No,0.9043815056886952,41903,0.9015658451160278,0.9071971662613627
2011,North Rhine-Westphalia,Yes,0.09561849431130477,41903,0.09280283373863735,0.0984341548839722
2011,Hesse,No,0.9020581973030518,41903,0.8992121976797617,0.9049041969263419
2011,Hesse,Yes,0.09794180269694819,41903,0.09509580307365807,0.1007878023202383
2011,"Rhineland-Palatinate, Saarland",No,0.9013266998341625,41903,0.8984712505053177,0.9041821491630072
2011,"Rhineland-Palatinate, Saarland",Yes,0.09867330016583747,41903,0.09581785083699272,0.10152874949468223
2011,Baden-Wuerttemberg,No,0.9239742558326629,41903,0.9214365353309177,0.9265119763344081
2011,Baden-Wuerttemberg,Yes,0.07602574416733708,41903,0.07348802366559191,0.07856346466908225
2011,Bavaria,No,0.9029522613065326,41903,0.9001178777614254,0.9057866448516398
2011,Bavaria,Yes,0.09704773869346733,41903,0.09421335514836007,0.0998821222385746
2011,Berlin,No,0.9039692701664532,41903,0.9011481897818057,0.9067903505511008
2011,Berlin,Yes,0.09603072983354674,41903,0.09320964944889919,0.0988518102181943
2011,Brandenburg,No,0.9104308390022676,41903,0.9076966014348872,0.9131650765696481
2011,Brandenburg,Yes,0.08956916099773243,41903,0.08683492343035198,0.09230339856511288
2011,Mecklenburg-Western Pomerania,No,0.8970873786407767,41903,0.8941781007506074,0.899996656530946
2011,Mecklenburg-Western Pomerania,Yes,0.1029126213592233,41903,0.10000334346905401,0.10582189924939259
2011,Saxony,No,0.9245014245014245,41903,0.9219717963603342,0.9270310526425147
2011,Saxony,Yes,0.0754985754985755,41903,0.07296894735748524,0.07802820363966576
2011,Saxony-Anhalt,No,0.9054209919261822,41903,0.9026190690954042,0.9082229147569602
2011,Saxony-Anhalt,Yes,0.09457900807381776,41903,0.09177708524303976,0.09738093090459576
2011,Thuringa,No,0.9117647058823529,41903,0.9090489165996763,0.9144804951650295
2011,Thuringa,Yes,0.08823529411764706,41903,0.08551950483497053,0.0909510834003236
2013,Schleswig-Holstein,No,0.8988195615514334,44486,0.8960171692648526,0.9016219538380141
2013,Schleswig-Holstein,Yes,0.10118043844856661,44486,0.09837804616198592,0.1039828307351473
2013,Hamburg,No,0.9158576051779935,44486,0.91327792536639,0.9184372849895971
2013,Hamburg,Yes,0.08414239482200647,44486,0.08156271501040295,0.08672207463361
2013,Lower Saxony,No,0.9143661971830986,44486,0.9117658754300625,0.9169665189361348
2013,Lower Saxony,Yes,0.0856338028169014,44486,0.08303348106386525,0.08823412456993755
2013,Bremen,No,0.9322033898305084,44486,0.9298672237103054,0.9345395559507115
2013,Bremen,Yes,0.06779661016949153,44486,0.06546044404928847,0.07013277628969458
2013,North Rhine-Westphalia,No,0.8942980096826251,44486,0.8914408987225405,0.8971551206427096
2013,North Rhine-Westphalia,Yes,0.10570199031737493,44486,0.1028448793572904,0.10855910127745945
2013,Hesse,No,0.9038759689922481,44486,0.9011368253967137,0.9066151125877825
2013,Hesse,Yes,0.09612403100775194,44486,0.09338488741221755,0.09886317460328632
2013,"Rhineland-Palatinate, Saarland",No,0.8989071038251366,44486,0.8961057877192318,0.9017084199310414
2013,"Rhineland-Palatinate, Saarland",Yes,0.10109289617486339,44486,0.09829158006895851,0.10389421228076827
2013,Baden-Wuerttemberg,No,0.9114460668864814,44486,0.9088060068216979,0.914086126951265
2013,Baden-Wuerttemberg,Yes,0.08855393311351861,44486,0.08591387304873499,0.09119399317830224
2013,Bavaria,No,0.9117746861214795,44486,0.909139054169148,0.914410318073811
2013,Bavaria,Yes,0.08822531387852053,44486,0.08558968192618896,0.09086094583085211
2013,Berlin,No,0.9036458333333334,44486,0.9009037618790756,0.9063879047875911
2013,Berlin,Yes,0.09635416666666667,44486,0.09361209521240896,0.09909623812092438
2013,Brandenburg,No,0.9217948717948717,44486,0.9192998223726044,0.924289921217139
2013,Brandenburg,Yes,0.0782051282051282,44486,0.0757100787828609,0.08070017762739551
2013,Mecklenburg-Western Pomerania,No,0.9008810572687225,44486,0.8981041815011249,0.90365793303632
2013,Mecklenburg-Western Pomerania,Yes,0.09911894273127753,44486,0.09634206696368001,0.10189581849887504
2013,Saxony,No,0.9138576779026217,44486,0.9112503721526083,0.9164649836526352
2013,Saxony,Yes,0.08614232209737828,44486,0.08353501634736481,0.08874962784739175
