"ple0011","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2011","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja","2011","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2011","(noch) kein Abschluss","Niedersachsen","3","","",""
"Ja","2011","(noch) kein Abschluss","Bremen","","","",""
"Ja","2011","(noch) kein Abschluss","Nordrhein-Westfalen","10","","",""
"Ja","2011","(noch) kein Abschluss","Hessen","3","","",""
"Ja","2011","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","1","","",""
"Ja","2011","(noch) kein Abschluss","Baden-Wuerttemberg","7","","",""
"Ja","2011","(noch) kein Abschluss","Bayern","8","","",""
"Ja","2011","(noch) kein Abschluss","Saarland","","","",""
"Ja","2011","(noch) kein Abschluss","Berlin","2","","",""
"Ja","2011","(noch) kein Abschluss","Brandenburg","1","","",""
"Ja","2011","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2011","(noch) kein Abschluss","Sachsen","1","","",""
"Ja","2011","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2011","(noch) kein Abschluss","Thueringen","1","","",""
"Ja","2011","Hauptschule","Schleswig-Holstein","27","","",""
"Ja","2011","Hauptschule","Hamburg","5","","",""
"Ja","2011","Hauptschule","Niedersachsen","85","0.127506322005332","0.102955164241911","0.152057479768753"
"Ja","2011","Hauptschule","Bremen","5","","",""
"Ja","2011","Hauptschule","Nordrhein-Westfalen","195","0.126658809686916","0.110106756806965","0.143210862566867"
"Ja","2011","Hauptschule","Hessen","65","0.169558527439435","0.133628676739252","0.205488378139618"
"Ja","2011","Hauptschule","Rheinland-Pfalz,Saarland","66","0.102051187287616","0.0775417068962626","0.12656066767897"
"Ja","2011","Hauptschule","Baden-Wuerttemberg","97","0.122023580892593","0.100896186518475","0.143150975266712"
"Ja","2011","Hauptschule","Bayern","173","0.146285595309087","0.12735008033986","0.165221110278315"
"Ja","2011","Hauptschule","Saarland","","","",""
"Ja","2011","Hauptschule","Berlin","13","","",""
"Ja","2011","Hauptschule","Brandenburg","26","","",""
"Ja","2011","Hauptschule","Mecklenburg-Vorpommern","18","","",""
"Ja","2011","Hauptschule","Sachsen","39","0.104384718318914","0.0709363617519298","0.137833074885899"
"Ja","2011","Hauptschule","Sachsen-Anhalt","29","","",""
"Ja","2011","Hauptschule","Thueringen","34","0.158208984213127","0.114517338011922","0.201900630414331"
"Ja","2011","Realschule","Schleswig-Holstein","21","","",""
"Ja","2011","Realschule","Hamburg","5","","",""
"Ja","2011","Realschule","Niedersachsen","33","0.0606351481209697","0.0408153207298744","0.0804549755120651"
"Ja","2011","Realschule","Bremen","","","",""
"Ja","2011","Realschule","Nordrhein-Westfalen","77","0.0980153189389371","0.077907961068076","0.118122676809798"
"Ja","2011","Realschule","Hessen","30","0.0960325105035856","0.0643870426088739","0.127677978398297"
"Ja","2011","Realschule","Rheinland-Pfalz,Saarland","26","","",""
"Ja","2011","Realschule","Baden-Wuerttemberg","44","0.087474883183992","0.0645606268769387","0.110389139491045"
"Ja","2011","Realschule","Bayern","55","0.0614946706200872","0.0438238780844545","0.0791654631557199"
"Ja","2011","Realschule","Saarland","","","",""
"Ja","2011","Realschule","Berlin","23","","",""
"Ja","2011","Realschule","Brandenburg","22","","",""
"Ja","2011","Realschule","Mecklenburg-Vorpommern","15","","",""
"Ja","2011","Realschule","Sachsen","28","","",""
"Ja","2011","Realschule","Sachsen-Anhalt","26","","",""
"Ja","2011","Realschule","Thueringen","23","","",""
"Ja","2011","(Fach-)Abitur","Schleswig-Holstein","2","","",""
"Ja","2011","(Fach-)Abitur","Hamburg","3","","",""
"Ja","2011","(Fach-)Abitur","Niedersachsen","11","","",""
"Ja","2011","(Fach-)Abitur","Bremen","1","","",""
"Ja","2011","(Fach-)Abitur","Nordrhein-Westfalen","44","0.0527448974597777","0.0353320442527641","0.0701577506667914"
"Ja","2011","(Fach-)Abitur","Hessen","12","","",""
"Ja","2011","(Fach-)Abitur","Rheinland-Pfalz,Saarland","9","","",""
"Ja","2011","(Fach-)Abitur","Baden-Wuerttemberg","11","","",""
"Ja","2011","(Fach-)Abitur","Bayern","23","","",""
"Ja","2011","(Fach-)Abitur","Saarland","","","",""
"Ja","2011","(Fach-)Abitur","Berlin","8","","",""
"Ja","2011","(Fach-)Abitur","Brandenburg","4","","",""
"Ja","2011","(Fach-)Abitur","Mecklenburg-Vorpommern","1","","",""
"Ja","2011","(Fach-)Abitur","Sachsen","8","","",""
"Ja","2011","(Fach-)Abitur","Sachsen-Anhalt","2","","",""
"Ja","2011","(Fach-)Abitur","Thueringen","3","","",""
"Ja","2011","AkademikerIn","Schleswig-Holstein","3","","",""
"Ja","2011","AkademikerIn","Hamburg","6","","",""
"Ja","2011","AkademikerIn","Niedersachsen","28","","",""
"Ja","2011","AkademikerIn","Bremen","","","",""
"Ja","2011","AkademikerIn","Nordrhein-Westfalen","64","0.0820348964951563","0.06342185882025","0.100647934170063"
"Ja","2011","AkademikerIn","Hessen","26","","",""
"Ja","2011","AkademikerIn","Rheinland-Pfalz,Saarland","16","","",""
"Ja","2011","AkademikerIn","Baden-Wuerttemberg","30","0.0583825868887611","0.0384024176382397","0.0783627561392825"
"Ja","2011","AkademikerIn","Bayern","48","0.0772275148184718","0.0566418365959883","0.0978131930409552"
"Ja","2011","AkademikerIn","Saarland","","","",""
"Ja","2011","AkademikerIn","Berlin","29","","",""
"Ja","2011","AkademikerIn","Brandenburg","24","","",""
"Ja","2011","AkademikerIn","Mecklenburg-Vorpommern","17","","",""
"Ja","2011","AkademikerIn","Sachsen","30","0.106528549266009","0.0742534282649627","0.138803670267054"
"Ja","2011","AkademikerIn","Sachsen-Anhalt","23","","",""
"Ja","2011","AkademikerIn","Thueringen","14","","",""
"Nein","2011","(noch) kein Abschluss","Schleswig-Holstein","24","","",""
"Nein","2011","(noch) kein Abschluss","Hamburg","6","","",""
"Nein","2011","(noch) kein Abschluss","Niedersachsen","50","0.876643713027111","0.788111287695653","0.965176138358568"
"Nein","2011","(noch) kein Abschluss","Bremen","4","","",""
"Nein","2011","(noch) kein Abschluss","Nordrhein-Westfalen","149","0.922082235188073","0.880419037518851","0.963745432857294"
"Nein","2011","(noch) kein Abschluss","Hessen","50","0.901027161695131","0.820630667661312","0.98142365572895"
"Nein","2011","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","26","","",""
"Nein","2011","(noch) kein Abschluss","Baden-Wuerttemberg","66","0.95904935017554","0.913588501652641","1.00451019869844"
"Nein","2011","(noch) kein Abschluss","Bayern","73","0.832528171133584","0.751212185184276","0.913844157082892"
"Nein","2011","(noch) kein Abschluss","Saarland","","","",""
"Nein","2011","(noch) kein Abschluss","Berlin","16","","",""
"Nein","2011","(noch) kein Abschluss","Brandenburg","18","","",""
"Nein","2011","(noch) kein Abschluss","Mecklenburg-Vorpommern","14","","",""
"Nein","2011","(noch) kein Abschluss","Sachsen","11","","",""
"Nein","2011","(noch) kein Abschluss","Sachsen-Anhalt","10","","",""
"Nein","2011","(noch) kein Abschluss","Thueringen","6","","",""
"Nein","2011","Hauptschule","Schleswig-Holstein","208","0.881248175514786","0.839887900225792","0.92260845080378"
"Nein","2011","Hauptschule","Hamburg","69","0.900753527970839","0.83263068629126","0.968876369650417"
"Nein","2011","Hauptschule","Niedersachsen","624","0.872493677994668","0.847942520231247","0.897044835758089"
"Nein","2011","Hauptschule","Bremen","28","","",""
"Nein","2011","Hauptschule","Nordrhein-Westfalen","1356","0.873341190313084","0.856789137433133","0.889893243193035"
"Nein","2011","Hauptschule","Hessen","354","0.830441472560565","0.794511621860382","0.866371323260748"
"Nein","2011","Hauptschule","Rheinland-Pfalz,Saarland","520","0.897948812712384","0.87343933232103","0.922458293103737"
"Nein","2011","Hauptschule","Baden-Wuerttemberg","825","0.877976419107407","0.856849024733288","0.899103813481525"
"Nein","2011","Hauptschule","Bayern","1165","0.853714404690913","0.834778889721685","0.87264991966014"
"Nein","2011","Hauptschule","Saarland","","","",""
"Nein","2011","Hauptschule","Berlin","117","0.895411291920956","0.842805919741564","0.948016664100348"
"Nein","2011","Hauptschule","Brandenburg","200","0.885311580966113","0.843768210626149","0.926854951306077"
"Nein","2011","Hauptschule","Mecklenburg-Vorpommern","85","0.768832817458878","0.687417049261625","0.850248585656131"
"Nein","2011","Hauptschule","Sachsen","282","0.895615281681086","0.862166925114101","0.92906363824807"
"Nein","2011","Hauptschule","Sachsen-Anhalt","206","0.881811936644985","0.840536758657258","0.923087114632713"
"Nein","2011","Hauptschule","Thueringen","234","0.841791015786873","0.798099369585669","0.885482661988078"
"Nein","2011","Realschule","Schleswig-Holstein","165","0.914243749363428","0.874003977370723","0.954483521356133"
"Nein","2011","Realschule","Hamburg","66","0.929563708076969","0.870044555541626","0.989082860612311"
"Nein","2011","Realschule","Niedersachsen","524","0.93936485187903","0.919545024487935","0.959184679270126"
"Nein","2011","Realschule","Bremen","32","1","1","1"
"Nein","2011","Realschule","Nordrhein-Westfalen","763","0.901984681061063","0.881877323190202","0.922092038931924"
"Nein","2011","Realschule","Hessen","303","0.903967489496414","0.872322021601703","0.935612957391126"
"Nein","2011","Realschule","Rheinland-Pfalz,Saarland","215","0.886684387221474","0.846665134362838","0.926703640080111"
"Nein","2011","Realschule","Baden-Wuerttemberg","540","0.912525116816008","0.889610860508955","0.935439373123061"
"Nein","2011","Realschule","Bayern","655","0.938505329379913","0.92083453684428","0.956176121915546"
"Nein","2011","Realschule","Saarland","","","",""
"Nein","2011","Realschule","Berlin","197","0.897523777738784","0.8574489849385","0.937598570539068"
"Nein","2011","Realschule","Brandenburg","285","0.95081433054505","0.926623763087669","0.97500489800243"
"Nein","2011","Realschule","Mecklenburg-Vorpommern","190","0.920329800950359","0.883262509387116","0.957397092513603"
"Nein","2011","Realschule","Sachsen","554","0.941100334888826","0.921972713119575","0.960227956658077"
"Nein","2011","Realschule","Sachsen-Anhalt","285","0.922207287860619","0.892439152768114","0.951975422953124"
"Nein","2011","Realschule","Thueringen","313","0.929049159063027","0.90159699578892","0.956501322337133"
"Nein","2011","(Fach-)Abitur","Schleswig-Holstein","83","0.990263990717423","0.969390042042591","1.01113793939226"
"Nein","2011","(Fach-)Abitur","Hamburg","54","0.965372524818856","0.917908064886027","1.01283698475169"
"Nein","2011","(Fach-)Abitur","Niedersachsen","190","0.961524373673887","0.93493408450839","0.988114662839384"
"Nein","2011","(Fach-)Abitur","Bremen","19","","",""
"Nein","2011","(Fach-)Abitur","Nordrhein-Westfalen","589","0.947255102540222","0.929842249333208","0.964667955747236"
"Nein","2011","(Fach-)Abitur","Hessen","190","0.954375387834822","0.925599308999757","0.983151466669887"
"Nein","2011","(Fach-)Abitur","Rheinland-Pfalz,Saarland","116","0.947780483027994","0.908780592287655","0.986780373768333"
"Nein","2011","(Fach-)Abitur","Baden-Wuerttemberg","296","0.95554591271191","0.932491156626753","0.978600668797068"
"Nein","2011","(Fach-)Abitur","Bayern","316","0.942468921099437","0.917681404382417","0.967256437816456"
"Nein","2011","(Fach-)Abitur","Saarland","","","",""
