year,bula_h,sampreg,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,West,Yes,0.08591,55,651,0.06436,0.10745
2011,Schleswig-Holstein,West,No,0.91409,596,651,0.89255,0.93564
2011,Hamburg,West,No,0.91475,292,292,0.88267,0.94684
2011,Lower Saxony,West,Yes,0.08997,161,1908,0.07713,0.10282
2011,Lower Saxony,West,No,0.91003,1747,1908,0.89718,0.92287
2011,Bremen,West,No,0.93758,120,120,0.89411,0.98104
2011,North Rhine-Westphalia,West,Yes,0.09681,395,4131,0.08779,0.10583
2011,North Rhine-Westphalia,West,No,0.90319,3736,4131,0.89417,0.91221
2011,Hesse,West,Yes,0.11119,138,1409,0.09476,0.12761
2011,Hesse,West,No,0.88881,1271,1409,0.87239,0.90524
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.09039,119,1206,0.07420,0.10658
2011,"Rhineland-Palatinate, Saarland",West,No,0.90961,1087,1206,0.89342,0.92580
2011,Baden-Wuerttemberg,West,Yes,0.08580,189,2486,0.07479,0.09681
2011,Baden-Wuerttemberg,West,No,0.91420,2297,2486,0.90319,0.92521
2011,Bavaria,West,Yes,0.10315,309,3184,0.09258,0.11372
2011,Bavaria,West,No,0.89685,2875,3184,0.88628,0.90742
2011,Berlin,West,Yes,0.11271,46,428,0.08271,0.14270
2011,Berlin,West,No,0.88729,382,428,0.85730,0.91729
2011,Berlin,East,No,0.91549,324,324,0.88516,0.94583
2011,Brandenburg,East,Yes,0.08453,79,882,0.06616,0.10290
2011,Brandenburg,East,No,0.91547,803,882,0.89710,0.93384
2011,Mecklenburg-Western Pomerania,East,Yes,0.12024,53,515,0.09212,0.14836
2011,Mecklenburg-Western Pomerania,East,No,0.87976,462,515,0.85164,0.90788
2011,Saxony,East,Yes,0.08301,106,1404,0.06857,0.09744
2011,Saxony,East,No,0.91699,1298,1404,0.90256,0.93143
2011,Saxony-Anhalt,East,Yes,0.09638,82,867,0.07672,0.11603
2011,Saxony-Anhalt,East,No,0.90362,785,867,0.88397,0.92328
2011,Thuringa,East,Yes,0.10412,78,884,0.08398,0.12427
2011,Thuringa,East,No,0.89588,806,884,0.87573,0.91602
2013,Schleswig-Holstein,West,Yes,0.10480,60,593,0.08013,0.12947
