year,age_gr,sex,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,male,No,0.97930,1439,1439,0.97195,0.98666
2011,17-29 y.,female,Yes,0.03030,43,1531,0.02171,0.03889
2011,17-29 y.,female,No,0.96970,1488,1531,0.96111,0.97829
2011,30-45 y.,male,Yes,0.05494,102,2193,0.04540,0.06448
2011,30-45 y.,male,No,0.94506,2091,2193,0.93552,0.95460
2011,30-45 y.,female,Yes,0.06840,200,2663,0.05881,0.07799
2011,30-45 y.,female,No,0.93160,2463,2663,0.92201,0.94119
2011,46-65 y.,male,Yes,0.09229,305,3675,0.08293,0.10165
2011,46-65 y.,male,No,0.90771,3370,3675,0.89835,0.91707
2011,46-65 y.,female,Yes,0.13247,542,4099,0.12209,0.14285
2011,46-65 y.,female,No,0.86753,3557,4099,0.85715,0.87791
2011,66 and older,male,Yes,0.09846,215,2458,0.08668,0.11024
2011,66 and older,male,No,0.90154,2243,2458,0.88976,0.91332
2011,66 and older,female,Yes,0.17565,433,2663,0.16119,0.19010
2011,66 and older,female,No,0.82435,2230,2663,0.80990,0.83881
2013,17-29 y.,male,No,0.97905,1209,1209,0.97097,0.98712
2013,17-29 y.,female,Yes,0.03307,43,1304,0.02336,0.04278
2013,17-29 y.,female,No,0.96693,1261,1304,0.95722,0.97664
2013,30-45 y.,male,Yes,0.05748,89,1817,0.04678,0.06819
2013,30-45 y.,male,No,0.94252,1728,1817,0.93181,0.95322
2013,30-45 y.,female,Yes,0.07656,145,2256,0.06558,0.08753
2013,30-45 y.,female,No,0.92344,2111,2256,0.91247,0.93442
2013,46-65 y.,male,Yes,0.11920,338,3397,0.10831,0.13010
2013,46-65 y.,male,No,0.88080,3059,3397,0.86990,0.89169
2013,46-65 y.,female,Yes,0.14029,535,3922,0.12942,0.15116
2013,46-65 y.,female,No,0.85971,3387,3922,0.84884,0.87058
2013,66 and older,male,Yes,0.08756,188,2388,0.07622,0.09890
2013,66 and older,male,No,0.91244,2200,2388,0.90110,0.92378
2013,66 and older,female,Yes,0.15797,385,2550,0.14381,0.17213
2013,66 and older,female,No,0.84203,2165,2550,0.82787,0.85619
2015,17-29 y.,male,Yes,0.02636,48,1887,0.01913,0.03360
2015,17-29 y.,male,No,0.97364,1839,1887,0.96640,0.98087
2015,17-29 y.,female,Yes,0.03813,85,2036,0.02981,0.04645
2015,17-29 y.,female,No,0.96187,1951,2036,0.95355,0.97019
2015,30-45 y.,male,Yes,0.04131,136,3050,0.03425,0.04838
2015,30-45 y.,male,No,0.95869,2914,3050,0.95162,0.96575
2015,30-45 y.,female,Yes,0.07864,319,4306,0.07060,0.08668
2015,30-45 y.,female,No,0.92136,3987,4306,0.91332,0.92940
2015,46-65 y.,male,Yes,0.10941,395,4138,0.09989,0.11892
2015,46-65 y.,male,No,0.89059,3743,4138,0.88108,0.90011
2015,46-65 y.,female,Yes,0.13177,635,4739,0.12214,0.14140
2015,46-65 y.,female,No,0.86823,4104,4739,0.85860,0.87786
2015,66 and older,male,Yes,0.08894,197,2384,0.07751,0.10037
2015,66 and older,male,No,0.91106,2187,2384,0.89963,0.92249
2015,66 and older,female,Yes,0.15698,369,2500,0.14271,0.17124
2015,66 and older,female,No,0.84302,2131,2500,0.82876,0.85729
2017,17-29 y.,male,Yes,0.02789,55,2137,0.02091,0.03487
2017,17-29 y.,male,No,0.97211,2082,2137,0.96513,0.97909
2017,17-29 y.,female,Yes,0.04093,109,2222,0.03269,0.04917
2017,17-29 y.,female,No,0.95907,2113,2222,0.95083,0.96731
2017,30-45 y.,male,Yes,0.04925,152,3051,0.04157,0.05693
2017,30-45 y.,male,No,0.95075,2899,3051,0.94307,0.95843
2017,30-45 y.,female,Yes,0.07521,286,4206,0.06724,0.08318
2017,30-45 y.,female,No,0.92479,3920,4206,0.91682,0.93276
2017,46-65 y.,male,Yes,0.10285,464,4621,0.09410,0.11161
2017,46-65 y.,male,No,0.89715,4157,4621,0.88839,0.90590
2017,46-65 y.,female,Yes,0.15420,745,5352,0.14453,0.16388
2017,46-65 y.,female,No,0.84580,4607,5352,0.83612,0.85547
2017,66 and older,male,Yes,0.09387,206,2452,0.08232,0.10542
2017,66 and older,male,No,0.90613,2246,2452,0.89458,0.91768
2017,66 and older,female,Yes,0.14151,341,2508,0.12787,0.15516
2017,66 and older,female,No,0.85849,2167,2508,0.84484,0.87213
2019,17-29 y.,male,Yes,0.03372,56,1868,0.02553,0.04191
2019,17-29 y.,male,No,0.96628,1812,1868,0.95809,0.97447
2019,17-29 y.,female,Yes,0.05308,102,1972,0.04318,0.06297
2019,17-29 y.,female,No,0.94692,1870,1972,0.93703,0.95682
2019,30-45 y.,male,Yes,0.05330,148,2702,0.04483,0.06177
2019,30-45 y.,male,No,0.94670,2554,2702,0.93823,0.95517
2019,30-45 y.,female,Yes,0.07030,262,3584,0.06193,0.07867
2019,30-45 y.,female,No,0.92970,3322,3584,0.92133,0.93807
2019,46-65 y.,male,Yes,0.11563,496,5088,0.10684,0.12442
2019,46-65 y.,male,No,0.88437,4592,5088,0.87558,0.89316
2019,46-65 y.,female,Yes,0.13964,671,5331,0.13034,0.14895
2019,46-65 y.,female,No,0.86036,4660,5331,0.85105,0.86966
2019,66 and older,male,Yes,0.09759,234,2621,0.08623,0.10895
2019,66 and older,male,No,0.90241,2387,2621,0.89105,0.91377
2019,66 and older,female,Yes,0.14761,344,2554,0.13385,0.16137
2019,66 and older,female,No,0.85239,2210,2554,0.83863,0.86615
2021,17-29 y.,male,Yes,0.05791,74,1626,0.04656,0.06927
2021,17-29 y.,male,No,0.94209,1552,1626,0.93073,0.95344
2021,17-29 y.,female,Yes,0.06734,85,1550,0.05486,0.07982
2021,17-29 y.,female,No,0.93266,1465,1550,0.92018,0.94514
2021,30-45 y.,male,Yes,0.05631,132,2440,0.04716,0.06546
2021,30-45 y.,male,No,0.94369,2308,2440,0.93454,0.95284
2021,30-45 y.,female,Yes,0.09601,249,2764,0.08503,0.10700
2021,30-45 y.,female,No,0.90399,2515,2764,0.89300,0.91497
2021,46-65 y.,male,Yes,0.13876,380,3432,0.12719,0.15033
2021,46-65 y.,male,No,0.86124,3052,3432,0.84967,0.87281
2021,46-65 y.,female,Yes,0.17332,578,3780,0.16125,0.18538
2021,46-65 y.,female,No,0.82668,3202,3780,0.81462,0.83875
2021,66 and older,male,Yes,0.10427,172,1791,0.09011,0.11843
2021,66 and older,male,No,0.89573,1619,1791,0.88157,0.90989
2021,66 and older,female,Yes,0.15707,280,1773,0.14013,0.17401
2021,66 and older,female,No,0.84293,1493,1773,0.82599,0.85987
