year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2012,Lower Secondary Level,2715,7.87649,7.80086,7.95212,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2012,Upper Secondary Level,12724,7.83102,7.79577,7.86628,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2012,Post-secondary Non-tertiary Level,1857,7.83610,7.74508,7.92711,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2012,First Stage of Tertiary Education,1713,7.81313,7.72687,7.89939,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2012,Second Stage of Tertiary Education,5865,7.87097,7.82344,7.91850,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2013,Pre-primary Level,440,7.89834,7.73079,8.06589,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
2013,Primary Level,323,7.18348,6.90657,7.46039,5.00000,8.00000,9.00000,0.00000,10.00000,8.00000,7.00000,8.00000
2013,Lower Secondary Level,2562,7.76416,7.68301,7.84530,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2013,Upper Secondary Level,12265,7.81754,7.78139,7.85369,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2013,Post-secondary Non-tertiary Level,1757,7.79908,7.70581,7.89236,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2013,First Stage of Tertiary Education,1651,7.87840,7.78808,7.96873,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2013,Second Stage of Tertiary Education,5774,7.86616,7.81855,7.91376,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,Pre-primary Level,447,8.10744,7.95797,8.25691,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
2014,Primary Level,502,7.47748,7.26532,7.68964,5.00000,8.00000,10.00000,0.00000,10.00000,8.00000,8.00000,9.00000
2014,Lower Secondary Level,3079,7.92986,7.85926,8.00046,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
2014,Upper Secondary Level,12363,7.81640,7.78188,7.85092,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,Post-secondary Non-tertiary Level,2028,7.93857,7.85618,8.02096,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,First Stage of Tertiary Education,1574,7.68743,7.58543,7.78943,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2014,Second Stage of Tertiary Education,6173,7.84826,7.80178,7.89475,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2015,Pre-primary Level,343,7.99827,7.82600,8.17055,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
2015,Primary Level,409,7.19384,6.95276,7.43492,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2015,Lower Secondary Level,2644,7.81856,7.73869,7.89843,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2015,Upper Secondary Level,11511,7.79923,7.76241,7.83604,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2015,Post-secondary Non-tertiary Level,1930,7.81714,7.73125,7.90304,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2015,First Stage of Tertiary Education,1502,7.74243,7.64942,7.83544,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2015,Second Stage of Tertiary Education,5812,7.82364,7.77589,7.87139,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2016,Pre-primary Level,331,8.08356,7.88350,8.28362,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
2016,Primary Level,391,7.61983,7.41757,7.82208,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
2016,Lower Secondary Level,2524,7.94173,7.86557,8.01788,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2016,Upper Secondary Level,10846,7.85235,7.81550,7.88919,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2016,Post-secondary Non-tertiary Level,1998,7.80301,7.71883,7.88718,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2016,First Stage of Tertiary Education,1379,7.77412,7.67778,7.87045,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2016,Second Stage of Tertiary Education,5819,7.79000,7.74176,7.83824,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2017,Pre-primary Level,396,8.27137,8.12690,8.41583,8.00000,8.13047,9.00000,6.50000,10.00000,8.00000,8.00000,9.00000
2017,Primary Level,441,7.80064,7.59758,8.00369,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
2017,Lower Secondary Level,2682,7.88490,7.80827,7.96153,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2017,Upper Secondary Level,11876,7.82533,7.79022,7.86043,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2017,Post-secondary Non-tertiary Level,2184,7.91859,7.84117,7.99602,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2017,First Stage of Tertiary Education,1509,7.67298,7.57637,7.76960,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2017,Second Stage of Tertiary Education,6435,7.85900,7.81395,7.90406,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2018,Pre-primary Level,330,8.35712,8.18874,8.52551,8.00000,9.00000,10.00000,5.00000,10.00000,9.00000,8.00000,9.00000
2018,Primary Level,473,7.71565,7.51070,7.92061,6.00000,8.00000,10.00000,0.00000,10.00000,8.00000,8.00000,9.00000
2018,Lower Secondary Level,2652,7.87686,7.79744,7.95629,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2018,Upper Secondary Level,11396,7.81663,7.78109,7.85217,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2018,Post-secondary Non-tertiary Level,2113,7.89026,7.81193,7.96860,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2018,First Stage of Tertiary Education,1426,7.69166,7.59209,7.79122,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2018,Second Stage of Tertiary Education,6278,7.84891,7.80386,7.89397,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,Pre-primary Level,328,8.31042,8.13771,8.48313,7.00000,9.00000,10.00000,2.50000,10.00000,9.00000,8.00000,9.00000
2019,Primary Level,382,7.96688,7.75416,8.17960,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,9.00000
2019,Lower Secondary Level,2387,7.88888,7.80641,7.97134,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
2019,Upper Secondary Level,11010,7.83430,7.79751,7.87110,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,Post-secondary Non-tertiary Level,2146,7.83252,7.75342,7.91163,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,First Stage of Tertiary Education,1630,7.79381,7.69405,7.89357,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,Second Stage of Tertiary Education,6922,7.91329,7.87038,7.95621,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2020,Pre-primary Level,339,8.11724,7.93184,8.30263,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,9.00000
2020,Primary Level,492,7.57459,7.35234,7.79684,6.00000,8.00000,10.00000,0.00000,10.00000,8.00000,8.00000,9.00000
2020,Lower Secondary Level,2437,7.77586,7.69357,7.85814,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2020,Upper Secondary Level,10532,7.77581,7.73865,7.81297,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2020,Post-secondary Non-tertiary Level,2230,7.66255,7.57952,7.74558,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2020,First Stage of Tertiary Education,1444,7.69668,7.59715,7.79620,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2020,Second Stage of Tertiary Education,7044,7.76998,7.72586,7.81410,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2021,Pre-primary Level,191,7.74926,7.46153,8.03699,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,7.00000,9.00000
2021,Primary Level,209,7.64617,7.36547,7.92688,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,7.00000,8.00000
2021,Lower Secondary Level,1356,7.91708,7.81158,8.02258,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
2021,Upper Secondary Level,6871,7.93134,7.88792,7.97477,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2021,Post-secondary Non-tertiary Level,1519,7.77352,7.68129,7.86575,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2021,First Stage of Tertiary Education,987,7.90268,7.79381,8.01155,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2021,Second Stage of Tertiary Education,5245,7.89965,7.85214,7.94716,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2022,Pre-primary Level,311,7.53712,7.28104,7.79320,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
2022,Primary Level,294,7.49820,7.25625,7.74015,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
2022,Lower Secondary Level,1541,7.59000,7.47945,7.70056,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2022,Upper Secondary Level,8714,7.78698,7.74519,7.82877,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2022,Post-secondary Non-tertiary Level,2113,7.62986,7.54770,7.71202,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2022,First Stage of Tertiary Education,1336,7.69857,7.59671,7.80044,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2022,Second Stage of Tertiary Education,8212,7.74765,7.70721,7.78808,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
