year,bula_h,quintil_oecd,region_secnat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2000,Baden-Wuerttemberg,4th Quintile,Western Europe,0.09090909090909091,30607,0.08768837065496607,0.09412981116321575
2000,Bavaria,1st Quintile,Southern Europe,1.0,30607,1.0,1.0
2000,Bavaria,2nd Quintile,Eastern Europe,0.5,30607,0.494398353559901,0.505601646440099
2000,Bavaria,2nd Quintile,Western Europe,0.5,30607,0.494398353559901,0.505601646440099
2000,Bavaria,3rd Quintile,Southern Europe,1.0,30607,1.0,1.0
2000,Bavaria,4th Quintile,Western Europe,0.3333333333333333,30607,0.32805205042186203,0.3386146162448046
2000,Bavaria,4th Quintile,Eastern Europe,0.3333333333333333,30607,0.32805205042186203,0.3386146162448046
2000,Bavaria,4th Quintile,Southern Europe,0.3333333333333333,30607,0.32805205042186203,0.3386146162448046
2000,Bavaria,5th Quintile,Western Europe,0.6666666666666666,30607,0.6613853837551954,0.6719479495781379
2000,Bavaria,5th Quintile,Northern America,0.3333333333333333,30607,0.32805205042186203,0.3386146162448046
2000,Berlin,1st Quintile,Western Asia,1.0,30607,1.0,1.0
2000,Berlin,4th Quintile,Eastern Europe,1.0,30607,1.0,1.0
2001,Schleswig-Holstein,1st Quintile,Central Asia,0.8,27798,0.795297711321675,0.804702288678325
2001,Schleswig-Holstein,1st Quintile,Northern Europe,0.2,27798,0.19529771132167503,0.204702288678325
2001,Schleswig-Holstein,3rd Quintile,Northern Europe,1.0,27798,1.0,1.0
2001,Schleswig-Holstein,5th Quintile,Southern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Schleswig-Holstein,5th Quintile,Western Asia,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Hamburg,5th Quintile,Southern Europe,1.0,27798,1.0,1.0
2001,Lower Saxony,1st Quintile,Eastern Europe,0.6666666666666666,27798,0.6611249663140994,0.6722083670192338
2001,Lower Saxony,1st Quintile,Western Asia,0.2222222222222222,27798,0.2173349018977783,0.22710954254666613
2001,Lower Saxony,1st Quintile,Western Europe,0.1111111111111111,27798,0.10741664420939964,0.11480557801282257
2001,Lower Saxony,2nd Quintile,Western Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Lower Saxony,2nd Quintile,Northern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Lower Saxony,3rd Quintile,Western Asia,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Lower Saxony,3rd Quintile,Sub-Saharan Africa,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Lower Saxony,3rd Quintile,Eastern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Lower Saxony,4th Quintile,Eastern Europe,0.6666666666666666,27798,0.6611249663140994,0.6722083670192338
2001,Lower Saxony,4th Quintile,Northern America,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Lower Saxony,5th Quintile,Northern Europe,1.0,27798,1.0,1.0
2001,Bremen,2nd Quintile,Eastern Europe,0.75,27798,0.7449096231858032,0.7550903768141968
2001,Bremen,2nd Quintile,Southern Asia,0.25,27798,0.24490962318580328,0.2550903768141967
