year,bula_h,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,North Rhine-Westphalia,Urban regions,Eastern Europe,0.49908,37,37,0.33575,0.66241
2005,North Rhine-Westphalia,Urban regions,Eastern Europe,0.55284,32,32,0.37781,0.72787
2008,North Rhine-Westphalia,Urban regions,Eastern Europe,0.60744,37,37,0.44792,0.76696
2010,North Rhine-Westphalia,Urban regions,Eastern Europe,0.54192,62,62,0.41689,0.66696
2011,North Rhine-Westphalia,Urban regions,Eastern Europe,0.53495,38,38,0.37424,0.69567
2012,North Rhine-Westphalia,Urban regions,Eastern Europe,0.52175,71,71,0.40473,0.63877
2012,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.41300,31,31,0.23681,0.58920
2013,North Rhine-Westphalia,Urban regions,Southern Europe,0.13500,47,221,0.08984,0.18016
2013,North Rhine-Westphalia,Urban regions,Western Asia,0.12664,39,221,0.08270,0.17059
2013,North Rhine-Westphalia,Urban regions,Eastern Europe,0.49356,135,221,0.42750,0.55963
2013,Hesse,Urban regions,Eastern Europe,0.38897,40,40,0.23597,0.54198
2013,"Rhineland-Palatinate, Saarland",Urban regions,Eastern Europe,0.36340,37,37,0.20628,0.52052
2013,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.43407,79,79,0.32407,0.54406
2013,Bavaria,Urban regions,Eastern Europe,0.34396,32,32,0.17674,0.51118
2013,Bavaria,Rural regions,Eastern Europe,0.67185,72,72,0.56263,0.78107
2014,Lower Saxony,Rural regions,Eastern Europe,0.61178,32,32,0.44022,0.78334
2014,North Rhine-Westphalia,Urban regions,Southern Europe,0.11887,47,162,0.06888,0.16886
2014,North Rhine-Westphalia,Urban regions,Eastern Europe,0.48528,115,162,0.40808,0.56248
2014,"Rhineland-Palatinate, Saarland",Urban regions,Eastern Europe,0.33786,35,35,0.17888,0.49685
2014,Baden-Wuerttemberg,Urban regions,Southern Europe,0.19922,32,105,0.12246,0.27599
2014,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.45209,73,105,0.35644,0.54775
2014,Bavaria,Urban regions,Eastern Europe,0.36555,32,32,0.19602,0.53508
2014,Bavaria,Rural regions,Eastern Europe,0.55779,56,56,0.42654,0.68905
2015,Lower Saxony,Rural regions,Eastern Europe,0.67786,34,34,0.51842,0.83729
2015,North Rhine-Westphalia,Urban regions,Southern Europe,0.07752,35,185,0.03888,0.11615
2015,North Rhine-Westphalia,Urban regions,Western Asia,0.22674,41,185,0.16623,0.28724
2015,North Rhine-Westphalia,Urban regions,Eastern Europe,0.36515,109,185,0.29558,0.43472
2015,"Rhineland-Palatinate, Saarland",Urban regions,Eastern Europe,0.43353,35,35,0.26695,0.60010
2015,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.45631,61,61,0.33027,0.58234
2015,Bavaria,Rural regions,Eastern Europe,0.59146,56,56,0.46154,0.72137
2016,Lower Saxony,Rural regions,Eastern Europe,0.62966,33,33,0.46235,0.79697
2016,North Rhine-Westphalia,Urban regions,Southern Europe,0.12732,41,173,0.07750,0.17714
2016,North Rhine-Westphalia,Urban regions,Western Asia,0.15240,34,173,0.09868,0.20611
2016,North Rhine-Westphalia,Urban regions,Eastern Europe,0.46341,98,173,0.38888,0.53793
2016,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.35094,56,56,0.22481,0.47708
2016,Bavaria,Urban regions,Eastern Europe,0.37780,31,31,0.20430,0.55129
2016,Bavaria,Rural regions,Eastern Europe,0.56757,43,43,0.41774,0.71740
