"plh0037","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","2009","16-34 Jahre alt","kein Migrationshintergrund","799","0.265488191310053","0.250125524011583","0.280850858608524"
"Grosse Sorgen","2009","16-34 Jahre alt","direkter Migrationshintergrund","70","0.255064075094912","0.20540640465265","0.304721745537174"
"Grosse Sorgen","2009","16-34 Jahre alt","indirekter Migrationshintergrund","141","0.262982302810719","0.224959275053321","0.301005330568118"
"Grosse Sorgen","2009","35-65 Jahre alt","kein Migrationshintergrund","2419","0.286170939340335","0.276646820368835","0.295695058311834"
"Grosse Sorgen","2009","35-65 Jahre alt","direkter Migrationshintergrund","307","0.291791592707154","0.263935050923905","0.319648134490404"
"Grosse Sorgen","2009","35-65 Jahre alt","indirekter Migrationshintergrund","60","0.230247473953183","0.170386429647432","0.290108518258935"
"Grosse Sorgen","2009","66 und älter","kein Migrationshintergrund","1143","0.299147899600573","0.284671216510275","0.31362458269087"
"Grosse Sorgen","2009","66 und älter","direkter Migrationshintergrund","102","0.336158029552131","0.285647426887595","0.386668632216667"
"Grosse Sorgen","2009","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","2009","16-34 Jahre alt","kein Migrationshintergrund","1684","0.516008759474681","0.498623070031018","0.533394448918343"
"Einige Sorgen","2009","16-34 Jahre alt","direkter Migrationshintergrund","172","0.568300755615956","0.511874400663632","0.62472711056828"
"Einige Sorgen","2009","16-34 Jahre alt","indirekter Migrationshintergrund","279","0.556380207457611","0.51347245467285","0.599287960242373"
"Einige Sorgen","2009","35-65 Jahre alt","kein Migrationshintergrund","4969","0.565100675613506","0.554654141789525","0.575547209437487"
"Einige Sorgen","2009","35-65 Jahre alt","direkter Migrationshintergrund","544","0.558721838514383","0.528294475555635","0.58914920147313"
"Einige Sorgen","2009","35-65 Jahre alt","indirekter Migrationshintergrund","105","0.661656770261876","0.594379801407076","0.728933739116677"
"Einige Sorgen","2009","66 und älter","kein Migrationshintergrund","2087","0.540484471467012","0.524728158256207","0.556240784677816"
"Einige Sorgen","2009","66 und älter","direkter Migrationshintergrund","178","0.50165890339333","0.448196796941358","0.555121009845301"
"Einige Sorgen","2009","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","2009","16-34 Jahre alt","kein Migrationshintergrund","691","0.218503049215266","0.204127083621357","0.232879014809175"
"Keine Sorgen","2009","16-34 Jahre alt","direkter Migrationshintergrund","54","0.176635169289131","0.133190451423126","0.220079887155136"
"Keine Sorgen","2009","16-34 Jahre alt","indirekter Migrationshintergrund","95","0.180637489731669","0.147410846698207","0.213864132765132"
"Keine Sorgen","2009","35-65 Jahre alt","kein Migrationshintergrund","1263","0.148728385046159","0.141230376306183","0.156226393786136"
"Keine Sorgen","2009","35-65 Jahre alt","direkter Migrationshintergrund","172","0.149486568778463","0.127636543231975","0.171336594324951"
"Keine Sorgen","2009","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","2009","66 und älter","kein Migrationshintergrund","613","0.160367628932416","0.148766083640675","0.171969174224156"
"Keine Sorgen","2009","66 und älter","direkter Migrationshintergrund","56","0.162183067054539","0.122768589556764","0.201597544552315"
"Keine Sorgen","2009","66 und älter","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","2010","16-34 Jahre alt","kein Migrationshintergrund","1264","0.275460223633498","0.262933660720772","0.287986786546223"
"Grosse Sorgen","2010","16-34 Jahre alt","direkter Migrationshintergrund","252","0.278819526978893","0.249890700727683","0.307748353230103"
"Grosse Sorgen","2010","16-34 Jahre alt","indirekter Migrationshintergrund","228","0.286717002010193","0.254523283105516","0.318910720914871"
"Grosse Sorgen","2010","35-65 Jahre alt","kein Migrationshintergrund","3285","0.289046053112091","0.280697813662184","0.297394292561999"
"Grosse Sorgen","2010","35-65 Jahre alt","direkter Migrationshintergrund","478","0.305258758674726","0.283004622205745","0.327512895143708"
"Grosse Sorgen","2010","35-65 Jahre alt","indirekter Migrationshintergrund","157","0.41341290404082","0.36415899030029","0.46266681778135"
"Grosse Sorgen","2010","66 und älter","kein Migrationshintergrund","1111","0.312766537236254","0.297862150864201","0.327670923608306"
