"plh0037","year","alter_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","2009","16-34 J.","Staedtischer Raum","1382","0.52548561833","0.506276790936601","0.544694445723399"
"Einige Sorgen","2009","16-34 J.","Laendlicher Raum","735","0.535690686999616","0.509126317998772","0.56225505600046"
"Einige Sorgen","2009","35-65 J.","Staedtischer Raum","3556","0.561173130295916","0.548942546134026","0.573403714457806"
"Einige Sorgen","2009","35-65 J.","Laendlicher Raum","2055","0.580241084381593","0.563946835563906","0.59653533319928"
"Einige Sorgen","2009","66 und älter","Staedtischer Raum","1471","0.537924309203903","0.519041789314744","0.556806829093063"
"Einige Sorgen","2009","66 und älter","Laendlicher Raum","768","0.536109398343668","0.510467523199209","0.561751273488127"
"Große Sorgen","2009","16-34 J.","Staedtischer Raum","710","0.285025762107647","0.267660433679164","0.302391090536131"
"Große Sorgen","2009","16-34 J.","Laendlicher Raum","290","0.215563373149964","0.193660293824764","0.237466452475163"
"Große Sorgen","2009","35-65 J.","Staedtischer Raum","1871","0.296464094591938","0.285208165589878","0.307720023593999"
"Große Sorgen","2009","35-65 J.","Laendlicher Raum","911","0.262967724323203","0.248432403615116","0.277503045031289"
"Große Sorgen","2009","66 und älter","Staedtischer Raum","808","0.312742160899073","0.295183318851303","0.330301002946843"
"Große Sorgen","2009","66 und älter","Laendlicher Raum","426","0.280768885608452","0.257662926176959","0.303874845039946"
"Keine Sorgen","2009","16-34 J.","Staedtischer Raum","504","0.189488619562353","0.174413288039865","0.20456395108484"
"Keine Sorgen","2009","16-34 J.","Laendlicher Raum","329","0.24874593985042","0.22572038123436","0.271771498466481"
"Keine Sorgen","2009","35-65 J.","Staedtischer Raum","897","0.142362775112145","0.133750811335521","0.15097473888877"
"Keine Sorgen","2009","35-65 J.","Laendlicher Raum","558","0.156791191295204","0.144786291523702","0.168796091066706"
"Keine Sorgen","2009","66 und älter","Staedtischer Raum","399","0.149333529897024","0.135834544496721","0.162832515297326"
"Keine Sorgen","2009","66 und älter","Laendlicher Raum","259","0.183121716047879","0.163234962848694","0.203008469247065"
"Einige Sorgen","2010","16-34 J.","Staedtischer Raum","2179","0.495854596757948","0.480845812934215","0.510863380581681"
"Einige Sorgen","2010","16-34 J.","Laendlicher Raum","1246","0.548062448221215","0.527571013080478","0.568553883361952"
"Einige Sorgen","2010","35-65 J.","Staedtischer Raum","4618","0.535793576032573","0.52528924147318","0.546297910591967"
"Einige Sorgen","2010","35-65 J.","Laendlicher Raum","2601","0.54200751207791","0.527737713520045","0.556277310635776"
"Einige Sorgen","2010","66 und älter","Staedtischer Raum","1367","0.518222016974956","0.499000965062411","0.5374430688875"
"Einige Sorgen","2010","66 und älter","Laendlicher Raum","712","0.492532772177784","0.466278855676687","0.51878668867888"
"Große Sorgen","2010","16-34 J.","Staedtischer Raum","1242","0.29972381731849","0.28597118823009","0.313476446406889"
"Große Sorgen","2010","16-34 J.","Laendlicher Raum","486","0.218511382382247","0.201496987853546","0.235525776910949"
"Große Sorgen","2010","35-65 J.","Staedtischer Raum","2681","0.306224685346241","0.296516372982259","0.315932997710223"
"Große Sorgen","2010","35-65 J.","Laendlicher Raum","1235","0.269857677363243","0.25714441051865","0.282570944207837"
"Große Sorgen","2010","66 und älter","Staedtischer Raum","790","0.317145677324117","0.29924418747336","0.335047167174873"
"Große Sorgen","2010","66 und älter","Laendlicher Raum","401","0.303737847908132","0.279588334605537","0.327887361210728"
"Keine Sorgen","2010","16-34 J.","Staedtischer Raum","842","0.204421585923562","0.192315735686021","0.216527436161104"
"Keine Sorgen","2010","16-34 J.","Laendlicher Raum","534","0.233426169396537","0.216009307651444","0.25084303114163"
"Keine Sorgen","2010","35-65 J.","Staedtischer Raum","1360","0.157981738621185","0.15029966577824","0.165663811464131"
"Keine Sorgen","2010","35-65 J.","Laendlicher Raum","847","0.188134810558846","0.176941396927901","0.199328224189791"
"Keine Sorgen","2010","66 und älter","Staedtischer Raum","439","0.164632305700928","0.150366637613866","0.17889797378799"
"Keine Sorgen","2010","66 und älter","Laendlicher Raum","280","0.203729379914084","0.182578438103859","0.22488032172431"
"Einige Sorgen","2011","16-34 J.","Staedtischer Raum","1476","0.53548256818664","0.517104269975035","0.553860866398245"
"Einige Sorgen","2011","16-34 J.","Laendlicher Raum","729","0.517560300499991","0.491366621401168","0.543753979598815"
"Einige Sorgen","2011","35-65 J.","Staedtischer Raum","3871","0.541591967518396","0.530011810881782","0.553172124155011"
"Einige Sorgen","2011","35-65 J.","Laendlicher Raum","2276","0.553537477479278","0.538381588758999","0.568693366199556"
"Einige Sorgen","2011","66 und älter","Staedtischer Raum","1730","0.541886254764392","0.52476718958373","0.559005319945053"
"Einige Sorgen","2011","66 und älter","Laendlicher Raum","944","0.545683244012462","0.522341835294194","0.569024652730729"
"Große Sorgen","2011","16-34 J.","Staedtischer Raum","790","0.266564958551253","0.250271473960133","0.282858443142373"
"Große Sorgen","2011","16-34 J.","Laendlicher Raum","327","0.244425063878361","0.221897919341357","0.266952208415364"
"Große Sorgen","2011","35-65 J.","Staedtischer Raum","2277","0.315631592821711","0.304830009329545","0.326433176313878"
