"plh0037","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","2009","16-34 Jahre alt","(Fach-)Abitur","265","0.308495117196588","0.278921798167812","0.338068436225364"
"Grosse Sorgen","2009","16-34 Jahre alt","(noch) kein Abschluss","89","0.25890470216881","0.211857589858205","0.305951814479415"
"Grosse Sorgen","2009","16-34 Jahre alt","AkademikerInnen","152","0.27755584762024","0.239752432152862","0.315359263087617"
"Grosse Sorgen","2009","16-34 Jahre alt","Hauptschulabschluss","145","0.225777717403553","0.193078177545944","0.258477257261161"
"Grosse Sorgen","2009","16-34 Jahre alt","Realschulabschluss","259","0.253476542301944","0.228011998434022","0.278941086169867"
"Grosse Sorgen","2009","35-65 Jahre alt","(Fach-)Abitur","301","0.367325624860302","0.336123860073069","0.398527389647535"
"Grosse Sorgen","2009","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Grosse Sorgen","2009","35-65 Jahre alt","AkademikerInnen","781","0.299865138902428","0.28227990543741","0.317450372367446"
"Grosse Sorgen","2009","35-65 Jahre alt","Hauptschulabschluss","845","0.270022261602463","0.254360725012034","0.285683798192892"
"Grosse Sorgen","2009","35-65 Jahre alt","Realschulabschluss","824","0.268508266528921","0.252974824817666","0.284041708240176"
"Grosse Sorgen","2009","66 und älter","(Fach-)Abitur","66","0.437459114605233","0.362667911447671","0.512250317762794"
"Grosse Sorgen","2009","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","2009","66 und älter","AkademikerInnen","255","0.293520516573089","0.26355268703205","0.323488346114128"
"Grosse Sorgen","2009","66 und älter","Hauptschulabschluss","713","0.285561434545883","0.267859388440472","0.303263480651294"
"Grosse Sorgen","2009","66 und älter","Realschulabschluss","194","0.33504138760458","0.296087117076556","0.373995658132604"
"Einige Sorgen","2009","16-34 Jahre alt","(Fach-)Abitur","496","0.506635260614021","0.474623463520928","0.538647057707113"
"Einige Sorgen","2009","16-34 Jahre alt","(noch) kein Abschluss","163","0.513803726281679","0.460121513139091","0.567485939424266"
"Einige Sorgen","2009","16-34 Jahre alt","AkademikerInnen","311","0.564307071204076","0.522446831554328","0.606167310853824"
"Einige Sorgen","2009","16-34 Jahre alt","Hauptschulabschluss","331","0.55228157324847","0.513390401306632","0.591172745190308"
"Einige Sorgen","2009","16-34 Jahre alt","Realschulabschluss","608","0.524797717777974","0.495564238120442","0.554031197435506"
"Einige Sorgen","2009","35-65 Jahre alt","(Fach-)Abitur","490","0.49479295752444","0.462432855965036","0.527153059083844"
"Einige Sorgen","2009","35-65 Jahre alt","(noch) kein Abschluss","49","0.584397823044569","0.483693670531448","0.68510197555769"
