year,quintil_oecd,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.04913,179,2879,0.04123,0.05703
2009,1st Quintile,No,0.76981,2700,2879,0.75443,0.78519
2009,2nd Quintile,Yes,0.04274,162,3166,0.03569,0.04978
2009,2nd Quintile,No,0.76484,3004,3166,0.75006,0.77962
2009,3rd Quintile,Yes,0.03597,154,3434,0.02974,0.04220
2009,3rd Quintile,No,0.80463,3280,3434,0.79137,0.81789
2009,4th Quintile,Yes,0.04562,181,3732,0.03892,0.05231
2009,4th Quintile,No,0.80738,3551,3732,0.79473,0.82004
2009,5th Quintile,Yes,0.04517,249,4802,0.03930,0.05105
2009,5th Quintile,No,0.85284,4553,4802,0.84282,0.86286
2011,1st Quintile,Yes,0.04060,156,2462,0.03281,0.04840
2011,1st Quintile,No,0.63220,2306,2462,0.61315,0.65125
2011,2nd Quintile,Yes,0.03319,161,2762,0.02651,0.03987
2011,2nd Quintile,No,0.68465,2601,2762,0.66731,0.70198
2011,3rd Quintile,Yes,0.04910,175,3070,0.04146,0.05675
2011,3rd Quintile,No,0.73103,2895,3070,0.71535,0.74672
2011,4th Quintile,Yes,0.04059,173,3218,0.03377,0.04741
2011,4th Quintile,No,0.76379,3045,3218,0.74911,0.77847
2011,5th Quintile,Yes,0.04721,226,4150,0.04076,0.05367
2011,5th Quintile,No,0.80251,3924,4150,0.79039,0.81462
2013,1st Quintile,Yes,0.04985,233,3103,0.04219,0.05751
2013,1st Quintile,No,0.65945,2870,3103,0.64277,0.67612
2013,2nd Quintile,Yes,0.04287,216,3436,0.03609,0.04964
2013,2nd Quintile,No,0.70453,3220,3436,0.68928,0.71979
2013,3rd Quintile,Yes,0.05274,237,3592,0.04543,0.06005
2013,3rd Quintile,No,0.72674,3355,3592,0.71216,0.74131
2013,4th Quintile,Yes,0.05223,226,3938,0.04528,0.05918
2013,4th Quintile,No,0.76786,3712,3938,0.75467,0.78104
2013,5th Quintile,Yes,0.05174,303,4793,0.04547,0.05802
2013,5th Quintile,No,0.81297,4490,4793,0.80193,0.82401
2015,1st Quintile,Yes,0.05782,382,5007,0.05136,0.06429
2015,1st Quintile,No,0.73823,4625,5007,0.72605,0.75041
2015,2nd Quintile,Yes,0.05269,370,5281,0.04667,0.05872
2015,2nd Quintile,No,0.77422,4911,5281,0.76294,0.78550
2015,3rd Quintile,Yes,0.05004,315,4880,0.04392,0.05616
2015,3rd Quintile,No,0.78840,4565,4880,0.77694,0.79986
2015,4th Quintile,Yes,0.05866,311,4767,0.05199,0.06534
2015,4th Quintile,No,0.80416,4456,4767,0.79290,0.81543
2015,5th Quintile,Yes,0.05711,335,5101,0.05074,0.06348
2015,5th Quintile,No,0.83929,4766,5101,0.82921,0.84937
2017,1st Quintile,Yes,0.06687,407,4676,0.05971,0.07403
2017,1st Quintile,No,0.70099,4269,4676,0.68787,0.71412
2017,2nd Quintile,Yes,0.05696,343,4851,0.05043,0.06348
2017,2nd Quintile,No,0.77257,4508,4851,0.76078,0.78437
2017,3rd Quintile,Yes,0.05453,300,4415,0.04784,0.06123
2017,3rd Quintile,No,0.78239,4115,4415,0.77022,0.79456
2017,4th Quintile,Yes,0.05606,279,4340,0.04922,0.06291
2017,4th Quintile,No,0.82034,4061,4340,0.80892,0.83176
2017,5th Quintile,Yes,0.06056,304,4554,0.05363,0.06748
2017,5th Quintile,No,0.83201,4250,4554,0.82115,0.84287
2019,1st Quintile,Yes,0.05832,370,4398,0.05140,0.06525
2019,1st Quintile,No,0.70112,4028,4398,0.68759,0.71465
2019,2nd Quintile,Yes,0.06205,373,4763,0.05520,0.06891
2019,2nd Quintile,No,0.75549,4390,4763,0.74329,0.76770
2019,3rd Quintile,Yes,0.06554,348,4509,0.05831,0.07276
2019,3rd Quintile,No,0.77261,4161,4509,0.76037,0.78485
2019,4th Quintile,Yes,0.05191,309,4270,0.04525,0.05856
2019,4th Quintile,No,0.80483,3961,4270,0.79294,0.81672
2019,5th Quintile,Yes,0.06015,333,4786,0.05341,0.06689
2019,5th Quintile,No,0.83793,4453,4786,0.82748,0.84837
2021,1st Quintile,Yes,0.07773,394,4717,0.07009,0.08537
2021,1st Quintile,No,0.71079,4323,4717,0.69785,0.72373
2021,2nd Quintile,Yes,0.06686,316,3582,0.05868,0.07504
2021,2nd Quintile,No,0.73584,3266,3582,0.72140,0.75028
2021,3rd Quintile,Yes,0.07339,267,3034,0.06411,0.08267
2021,3rd Quintile,No,0.74141,2767,3034,0.72582,0.75699
2021,4th Quintile,Yes,0.07252,269,3246,0.06360,0.08145
2021,4th Quintile,No,0.78231,2977,3246,0.76811,0.79651
2021,5th Quintile,Yes,0.06050,331,4281,0.05336,0.06765
2021,5th Quintile,No,0.80803,3950,4281,0.79623,0.81983
