year,migback,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04229,788,15653,0.03913,0.04544
2009,No migration background,No,0.81468,14865,15653,0.80859,0.82077
2009,Direct migration background,Yes,0.06268,95,1659,0.05101,0.07434
2009,Direct migration background,No,0.91330,1564,1659,0.89976,0.92685
2009,Indirect migration background,Yes,0.03381,43,706,0.02047,0.04715
2009,Indirect migration background,No,0.49595,663,706,0.45904,0.53286
2011,No migration background,Yes,0.04278,996,17940,0.03981,0.04574
2011,No migration background,No,0.74904,16944,17940,0.74269,0.75538
2011,Direct migration background,Yes,0.04606,113,2015,0.03690,0.05521
2011,Direct migration background,No,0.78326,1902,2015,0.76527,0.80126
2011,Indirect migration background,Yes,0.02425,47,790,0.01352,0.03499
2011,Indirect migration background,No,0.37538,743,790,0.34159,0.40917
2013,No migration background,Yes,0.05055,1052,16436,0.04720,0.05390
2013,No migration background,No,0.74096,15384,16436,0.73426,0.74766
2013,Direct migration background,Yes,0.03145,109,1730,0.02322,0.03968
2013,Direct migration background,No,0.47189,1621,1730,0.44836,0.49542
2013,Indirect migration background,Yes,0.01322,54,700,0.00476,0.02169
2013,Indirect migration background,No,0.22888,646,700,0.19774,0.26003
2015,No migration background,Yes,0.05480,1308,19063,0.05157,0.05803
2015,No migration background,No,0.80546,17755,19063,0.79984,0.81108
2015,Direct migration background,Yes,0.05936,287,4415,0.05239,0.06633
2015,Direct migration background,No,0.77687,4128,4415,0.76459,0.78915
2015,Indirect migration background,Yes,0.03817,118,1562,0.02867,0.04768
2015,Indirect migration background,No,0.44382,1444,1562,0.41918,0.46847
2017,No migration background,Yes,0.05938,1437,20158,0.05611,0.06264
2017,No migration background,No,0.80074,18721,20158,0.79522,0.80625
2017,Direct migration background,Yes,0.06215,328,4754,0.05529,0.06901
2017,Direct migration background,No,0.84209,4426,4754,0.83172,0.85245
2017,Indirect migration background,Yes,0.04585,140,1637,0.03571,0.05598
2017,Indirect migration background,No,0.46152,1497,1637,0.43736,0.48567
2019,No migration background,Yes,0.06167,1502,20183,0.05835,0.06499
2019,No migration background,No,0.79705,18681,20183,0.79150,0.80260
2019,Direct migration background,Yes,0.06256,286,3963,0.05502,0.07010
2019,Direct migration background,No,0.83735,3677,3963,0.82586,0.84884
2019,Indirect migration background,Yes,0.04219,126,1579,0.03227,0.05211
2019,Indirect migration background,No,0.47105,1453,1579,0.44642,0.49568
2021,No migration background,Yes,0.07301,1158,13109,0.06856,0.07747
2021,No migration background,No,0.77490,11951,13109,0.76775,0.78205
2021,Direct migration background,Yes,0.07694,350,5120,0.06964,0.08424
2021,Direct migration background,No,0.84514,4770,5120,0.83523,0.85505
2021,Indirect migration background,Yes,0.03303,76,935,0.02157,0.04449
2021,Indirect migration background,No,0.44307,859,935,0.41122,0.47493
