"pgisced97","year","bula_h","n","percent","lower_confidence","upper_confidence"
"in school","1984","Schleswig-Holstein","","","",""
"in school","1984","Hamburg","","","",""
"in school","1984","Niedersachsen","31","0.0245814284629059","0.0159454076431283","0.0332174492826836"
"in school","1984","Bremen","","","",""
"in school","1984","Nordrhein-Westfalen","63","0.0199125691050535","0.0151082025110116","0.0247169356990955"
"in school","1984","Hessen","","","",""
"in school","1984","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","Baden-Wuerttemberg","36","0.0191149071214958","0.0134695810103759","0.0247602332326158"
"in school","1984","Bayern","","","",""
"in school","1984","Saarland","","","",""
"in school","1984","Berlin","","","",""
"in school","1984","Brandenburg","","","",""
"in school","1984","Mecklenburg-Vorpommern","","","",""
"in school","1984","Sachsen","","","",""
"in school","1984","Sachsen-Anhalt","","","",""
"in school","1984","Thueringen","","","",""
"inadequately","1984","Schleswig-Holstein","","","",""
"inadequately","1984","Hamburg","","","",""
"inadequately","1984","Niedersachsen","66","0.0195583014568896","0.0118352119714434","0.0272813909423358"
"inadequately","1984","Bremen","","","",""
"inadequately","1984","Nordrhein-Westfalen","307","0.0288626216633286","0.0231049313215677","0.0346203120050896"
"inadequately","1984","Hessen","107","0.0266607922150031","0.0177090712797123","0.035612513150294"
"inadequately","1984","Rheinland-Pfalz,Saarland","62","0.0257407560562265","0.0151010108478283","0.0363805012646247"
"inadequately","1984","Baden-Wuerttemberg","291","0.0281761031751635","0.0213538454320107","0.0349983609183164"
"inadequately","1984","Bayern","107","0.0163685742105765","0.0109454434232139","0.0217917049979392"
"inadequately","1984","Saarland","","","",""
"inadequately","1984","Berlin","40","0.0300523277361759","0.0135262659004981","0.0465783895718537"
"inadequately","1984","Brandenburg","","","",""
"inadequately","1984","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","Sachsen","","","",""
"inadequately","1984","Sachsen-Anhalt","","","",""
"inadequately","1984","Thueringen","","","",""
"general elemantary","1984","Schleswig-Holstein","86","0.23030832255708","0.188197309408529","0.272419335705631"
"general elemantary","1984","Hamburg","67","0.211126411996808","0.165696464428819","0.256556359564798"
"general elemantary","1984","Niedersachsen","367","0.313684583329401","0.2878070380626","0.339562128596202"
"general elemantary","1984","Bremen","42","0.352232691060235","0.271053145800814","0.433412236319656"
"general elemantary","1984","Nordrhein-Westfalen","872","0.262590576830429","0.247457264658216","0.277723889002642"
"general elemantary","1984","Hessen","355","0.263815768323784","0.239326177365663","0.288305359281905"
"general elemantary","1984","Rheinland-Pfalz,Saarland","299","0.368294270845432","0.335887317764963","0.400701223925902"
"general elemantary","1984","Baden-Wuerttemberg","695","0.319779404507308","0.300550966573015","0.339007842441602"
"general elemantary","1984","Bayern","590","0.277506748745035","0.258369384335468","0.296644113154602"
"general elemantary","1984","Saarland","","","",""
"general elemantary","1984","Berlin","100","0.237158778847564","0.195987643657501","0.278329914037627"
"general elemantary","1984","Brandenburg","","","",""
