year,bula_h,quintil_oecd,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,Nordrhein-Westfalen,1. Quintil,middle vocational,0.07419627749576989,16099,0.07014765633289978,0.07824489865864
1984,Nordrhein-Westfalen,1. Quintil,general elemantary,0.05338409475465313,16099,0.04991153713091473,0.056856652378391534
1984,Bayern,1. Quintil,middle vocational,0.05093062605752961,16099,0.047534411586963664,0.05432684052809556
1984,Baden-Wuerttemberg,1. Quintil,middle vocational,0.0428087986463621,16099,0.039681837462313574,0.04593575983041062
1984,Baden-Wuerttemberg,1. Quintil,general elemantary,0.03908629441624366,16099,0.03609257520313438,0.04208001362935294
1984,Nordrhein-Westfalen,2. Quintil,middle vocational,0.03409475465313029,16099,0.031291466974124764,0.03689804233213582
1984,Bayern,1. Quintil,general elemantary,0.0338409475465313,16099,0.03104774652474343,0.036634148568319175
1984,Niedersachsen,1. Quintil,middle vocational,0.029780033840947545,16099,0.02715427813144947,0.032405789550445624
1984,Hessen,1. Quintil,middle vocational,0.025126903553299492,16099,0.022709216136101187,0.027544590970497797
1984,Bayern,2. Quintil,middle vocational,0.022758037225042303,16099,0.020454341711341372,0.025061732738743233
1984,Baden-Wuerttemberg,2. Quintil,middle vocational,0.022250423011844333,16099,0.019971972629063597,0.02452887339462507
1984,Niedersachsen,1. Quintil,general elemantary,0.02081218274111675,16099,0.018606980439012426,0.023017385043221074
1984,"Rheinland-Pfalz,Saarland",1. Quintil,middle vocational,0.01996615905245347,16099,0.017805310047173756,0.022127008057733183
1984,Nordrhein-Westfalen,1. Quintil,inadequately,0.019712351945854484,16099,0.017565003072892556,0.021859700818816413
1984,"Rheinland-Pfalz,Saarland",1. Quintil,general elemantary,0.01954314720812183,16099,0.017404849768182937,0.02168144464806072
1984,Hessen,1. Quintil,general elemantary,0.019289340101522844,16099,0.017164698140774703,0.021413982062270985
1984,Baden-Wuerttemberg,1. Quintil,inadequately,0.016328257191201352,16099,0.014370532422949183,0.01828598195945352
