year,age_gr,quintil_oecd,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,30-45 J.,1. Quintil,middle vocational,0.09500846023688664,16099,0.09047885847808738,0.09953806199568589
1984,18-29 J.,1. Quintil,middle vocational,0.07605752961082911,16099,0.07196256461198372,0.0801524946096745
1984,46-65 J.,1. Quintil,middle vocational,0.06751269035532995,16099,0.06363680615080061,0.07138857455985928
1984,46-65 J.,1. Quintil,general elemantary,0.06065989847715736,16099,0.05697251001569196,0.06434728693862275
1984,18-29 J.,1. Quintil,general elemantary,0.0538917089678511,16099,0.0504036162280343,0.057379801707667905
1984,30-45 J.,1. Quintil,general elemantary,0.05143824027072758,16099,0.04802605598315558,0.05485042455829958
1984,30-45 J.,2. Quintil,middle vocational,0.04272419627749577,16099,0.03960018845393598,0.045848204101055556
1984,18-29 J.,2. Quintil,middle vocational,0.03959390862944162,16099,0.036581608347939984,0.04260620891094326
1984,46-65 J.,2. Quintil,middle vocational,0.03781725888324873,16099,0.0348705961826133,0.04076392158388416
1984,66 und älter,1. Quintil,general elemantary,0.03620981387478849,16099,0.03332404850597253,0.039095579243604454
1984,66 und älter,1. Quintil,middle vocational,0.03240270727580372,16099,0.029667472608889814,0.03513794194271763
1984,30-45 J.,1. Quintil,inadequately,0.025465313028764806,16099,0.02303182182052292,0.02789880423700669
1984,46-65 J.,1. Quintil,inadequately,0.02233502538071066,16099,0.02005234621677908,0.024617704544642238
1984,46-65 J.,2. Quintil,general elemantary,0.021150592216582064,16099,0.01892791791404681,0.02337326651911732
1984,30-45 J.,3. Quintil,middle vocational,0.01835871404399323,16099,0.01628497474645496,0.0204324533415315
1984,46-65 J.,3. Quintil,middle vocational,0.01802030456852792,16099,0.015965412865748038,0.020075196271307803
1984,18-29 J.,2. Quintil,general elemantary,0.016751269035532996,16099,0.014768773694836186,0.018733764376229808
1984,18-29 J.,3. Quintil,middle vocational,0.014974619289340102,16099,0.013098509599481232,0.01685072897919897
