year,regtyp,sampreg,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,-1,Westdeutschland,middle vocational,0.48130287648054143,16099,0.47358455667253047,0.4890211962885524
1984,-1,Westdeutschland,general elemantary,0.2799492385786802,16099,0.27301373782186866,0.28688473933549175
1984,-1,Westdeutschland,inadequately,0.08265651438240271,16099,0.07840287022898539,0.08691015853582003
1984,-1,Westdeutschland,higher education,0.06683587140439932,16099,0.0629780648511889,0.07069367795760975
1984,-1,Westdeutschland,higher vocational,0.05583756345177665,16099,0.05229071028627378,0.05938441661727952
1984,-1,Westdeutschland,vocational + Abi,0.02614213197969543,16099,0.02367737042473126,0.028606893534659603
1984,-1,Westdeutschland,in school,0.00727580372250423,16099,0.005962964896238678,0.008588642548769782
1985,Staedtischer Raum,Westdeutschland,middle vocational,0.37752323725471787,14443,0.3696171649508951,0.38542930955854066
1985,Staedtischer Raum,Westdeutschland,general elemantary,0.2073983663505774,14443,0.20078599077729747,0.21401074192385733
1985,Laendlicher Raum,Westdeutschland,middle vocational,0.10797108252746221,14443,0.10290968369846569,0.11303248135645873
1985,Staedtischer Raum,Westdeutschland,inadequately,0.06750539855412638,14443,0.0634135478303625,0.07159724927789025
1985,Laendlicher Raum,Westdeutschland,general elemantary,0.06703595906487654,14443,0.06295733448821861,0.07111458364153447
1985,Staedtischer Raum,Westdeutschland,higher education,0.0594310393390292,14443,0.055575107487391376,0.06328697119066702
1985,Staedtischer Raum,Westdeutschland,higher vocational,0.045160078865834195,14443,0.04177343136316686,0.04854672636850153
1985,Staedtischer Raum,Westdeutschland,vocational + Abi,0.021500328607642474,14443,0.01913478882278318,0.023865868392501766
1985,Laendlicher Raum,Westdeutschland,higher vocational,0.013050417801145433,14443,0.011199500319538517,0.01490133528275235
1985,Laendlicher Raum,Westdeutschland,higher education,0.01145432353769599,14443,0.009718880117186971,0.01318976695820501
1985,Laendlicher Raum,Westdeutschland,inadequately,0.009294901887146746,14443,0.007729874400020714,0.010859929374272779
1985,Staedtischer Raum,Westdeutschland,in school,0.006666040747347667,14443,0.0053389244292303215,0.007993157065465013
1985,Laendlicher Raum,Westdeutschland,vocational + Abi,0.004318843301098488,14443,0.0032493668325834883,0.005388319769613488
1985,Laendlicher Raum,Westdeutschland,in school,0.0016899821612994085,14443,0.001020095792639389,0.002359868529959428
1986,Staedtischer Raum,Westdeutschland,middle vocational,0.380621142353287,13742,0.37250301721012546,0.3887392674964485
1986,Staedtischer Raum,Westdeutschland,general elemantary,0.20495738218869403,13742,0.1982080922263186,0.21170667215106945
1986,Laendlicher Raum,Westdeutschland,middle vocational,0.10776917801508769,13742,0.10258455724497118,0.1129537987852042
1986,Laendlicher Raum,Westdeutschland,general elemantary,0.06603311452924464,13742,0.06188091964280789,0.07018530941568138
