"pgisced97","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"in school","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"in school","1984","(noch) kein Abschluss","Hamburg","","","",""
"in school","1984","(noch) kein Abschluss","Niedersachsen","31","0.593431358556052","0.49667429515549","0.690188421956614"
"in school","1984","(noch) kein Abschluss","Bremen","","","",""
"in school","1984","(noch) kein Abschluss","Nordrhein-Westfalen","63","0.38289630085201","0.335729364350609","0.430063237353411"
"in school","1984","(noch) kein Abschluss","Hessen","","","",""
"in school","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","(noch) kein Abschluss","Baden-Wuerttemberg","36","0.404345162505884","0.352559205562369","0.456131119449398"
"in school","1984","(noch) kein Abschluss","Bayern","","","",""
"in school","1984","(noch) kein Abschluss","Saarland","","","",""
"in school","1984","(noch) kein Abschluss","Berlin","","","",""
"in school","1984","(noch) kein Abschluss","Brandenburg","","","",""
"in school","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"in school","1984","(noch) kein Abschluss","Sachsen","","","",""
"in school","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"in school","1984","(noch) kein Abschluss","Thueringen","","","",""
"in school","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"in school","1984","Hauptschulabschluss","Hamburg","","","",""
"in school","1984","Hauptschulabschluss","Niedersachsen","","","",""
"in school","1984","Hauptschulabschluss","Bremen","","","",""
"in school","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"in school","1984","Hauptschulabschluss","Hessen","","","",""
"in school","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"in school","1984","Hauptschulabschluss","Bayern","","","",""
"in school","1984","Hauptschulabschluss","Saarland","","","",""
"in school","1984","Hauptschulabschluss","Berlin","","","",""
"in school","1984","Hauptschulabschluss","Brandenburg","","","",""
"in school","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"in school","1984","Hauptschulabschluss","Sachsen","","","",""
"in school","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"in school","1984","Hauptschulabschluss","Thueringen","","","",""
"in school","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"in school","1984","Realschulabschluss","Hamburg","","","",""
"in school","1984","Realschulabschluss","Niedersachsen","","","",""
"in school","1984","Realschulabschluss","Bremen","","","",""
"in school","1984","Realschulabschluss","Nordrhein-Westfalen","","","",""
"in school","1984","Realschulabschluss","Hessen","","","",""
"in school","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","Realschulabschluss","Baden-Wuerttemberg","","","",""
"in school","1984","Realschulabschluss","Bayern","","","",""
"in school","1984","Realschulabschluss","Saarland","","","",""
"in school","1984","Realschulabschluss","Berlin","","","",""
"in school","1984","Realschulabschluss","Brandenburg","","","",""
"in school","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"in school","1984","Realschulabschluss","Sachsen","","","",""
"in school","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"in school","1984","Realschulabschluss","Thueringen","","","",""
"in school","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"in school","1984","(Fach-)Abitur","Hamburg","","","",""
"in school","1984","(Fach-)Abitur","Niedersachsen","","","",""
"in school","1984","(Fach-)Abitur","Bremen","","","",""
"in school","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"in school","1984","(Fach-)Abitur","Hessen","","","",""
"in school","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"in school","1984","(Fach-)Abitur","Bayern","","","",""
"in school","1984","(Fach-)Abitur","Saarland","","","",""
"in school","1984","(Fach-)Abitur","Berlin","","","",""
"in school","1984","(Fach-)Abitur","Brandenburg","","","",""
"in school","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"in school","1984","(Fach-)Abitur","Sachsen","","","",""
"in school","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"in school","1984","(Fach-)Abitur","Thueringen","","","",""
"in school","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"in school","1984","AkademikerInnen","Hamburg","","","",""
"in school","1984","AkademikerInnen","Niedersachsen","","","",""
"in school","1984","AkademikerInnen","Bremen","","","",""
"in school","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"in school","1984","AkademikerInnen","Hessen","","","",""
"in school","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"in school","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"in school","1984","AkademikerInnen","Bayern","","","",""
"in school","1984","AkademikerInnen","Saarland","","","",""
"in school","1984","AkademikerInnen","Berlin","","","",""
"in school","1984","AkademikerInnen","Brandenburg","","","",""
"in school","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"in school","1984","AkademikerInnen","Sachsen","","","",""
"in school","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"in school","1984","AkademikerInnen","Thueringen","","","",""
"inadequately","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"inadequately","1984","(noch) kein Abschluss","Hamburg","","","",""
"inadequately","1984","(noch) kein Abschluss","Niedersachsen","62","0.367764775745919","0.272779802846125","0.462749748645713"
"inadequately","1984","(noch) kein Abschluss","Bremen","","","",""
"inadequately","1984","(noch) kein Abschluss","Nordrhein-Westfalen","305","0.543420095142316","0.495087039405722","0.591753150878909"
"inadequately","1984","(noch) kein Abschluss","Hessen","102","0.534245971908871","0.4524882069914","0.616003736826342"
"inadequately","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","61","0.684019577047135","0.579498073427247","0.788541080667022"
"inadequately","1984","(noch) kein Abschluss","Baden-Wuerttemberg","286","0.551788199214548","0.499311514396038","0.604264884033057"
"inadequately","1984","(noch) kein Abschluss","Bayern","102","0.525823468327068","0.442209695907677","0.609437240746458"
"inadequately","1984","(noch) kein Abschluss","Saarland","","","",""
"inadequately","1984","(noch) kein Abschluss","Berlin","39","0.580647772814011","0.443872072194816","0.717423473433206"
"inadequately","1984","(noch) kein Abschluss","Brandenburg","","","",""
"inadequately","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","(noch) kein Abschluss","Sachsen","","","",""
"inadequately","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"inadequately","1984","(noch) kein Abschluss","Thueringen","","","",""
"inadequately","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"inadequately","1984","Hauptschulabschluss","Hamburg","","","",""
"inadequately","1984","Hauptschulabschluss","Niedersachsen","","","",""
"inadequately","1984","Hauptschulabschluss","Bremen","","","",""
"inadequately","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"inadequately","1984","Hauptschulabschluss","Hessen","","","",""
"inadequately","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"inadequately","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"inadequately","1984","Hauptschulabschluss","Bayern","","","",""
"inadequately","1984","Hauptschulabschluss","Saarland","","","",""
"inadequately","1984","Hauptschulabschluss","Berlin","","","",""
"inadequately","1984","Hauptschulabschluss","Brandenburg","","","",""
"inadequately","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","Hauptschulabschluss","Sachsen","","","",""
"inadequately","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"inadequately","1984","Hauptschulabschluss","Thueringen","","","",""
"inadequately","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"inadequately","1984","Realschulabschluss","Hamburg","","","",""
"inadequately","1984","Realschulabschluss","Niedersachsen","","","",""
"inadequately","1984","Realschulabschluss","Bremen","","","",""
"inadequately","1984","Realschulabschluss","Nordrhein-Westfalen","","","",""
"inadequately","1984","Realschulabschluss","Hessen","","","",""
"inadequately","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"inadequately","1984","Realschulabschluss","Baden-Wuerttemberg","","","",""
"inadequately","1984","Realschulabschluss","Bayern","","","",""
"inadequately","1984","Realschulabschluss","Saarland","","","",""
"inadequately","1984","Realschulabschluss","Berlin","","","",""
"inadequately","1984","Realschulabschluss","Brandenburg","","","",""
"inadequately","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","Realschulabschluss","Sachsen","","","",""
"inadequately","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"inadequately","1984","Realschulabschluss","Thueringen","","","",""
"inadequately","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"inadequately","1984","(Fach-)Abitur","Hamburg","","","",""
"inadequately","1984","(Fach-)Abitur","Niedersachsen","","","",""
"inadequately","1984","(Fach-)Abitur","Bremen","","","",""
"inadequately","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"inadequately","1984","(Fach-)Abitur","Hessen","","","",""
"inadequately","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"inadequately","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"inadequately","1984","(Fach-)Abitur","Bayern","","","",""
"inadequately","1984","(Fach-)Abitur","Saarland","","","",""
"inadequately","1984","(Fach-)Abitur","Berlin","","","",""
"inadequately","1984","(Fach-)Abitur","Brandenburg","","","",""
"inadequately","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","(Fach-)Abitur","Sachsen","","","",""
"inadequately","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"inadequately","1984","(Fach-)Abitur","Thueringen","","","",""
"inadequately","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"inadequately","1984","AkademikerInnen","Hamburg","","","",""
"inadequately","1984","AkademikerInnen","Niedersachsen","","","",""
"inadequately","1984","AkademikerInnen","Bremen","","","",""
"inadequately","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"inadequately","1984","AkademikerInnen","Hessen","","","",""
"inadequately","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"inadequately","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"inadequately","1984","AkademikerInnen","Bayern","","","",""
"inadequately","1984","AkademikerInnen","Saarland","","","",""
"inadequately","1984","AkademikerInnen","Berlin","","","",""
"inadequately","1984","AkademikerInnen","Brandenburg","","","",""
"inadequately","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"inadequately","1984","AkademikerInnen","Sachsen","","","",""
"inadequately","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"inadequately","1984","AkademikerInnen","Thueringen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"general elemantary","1984","(noch) kein Abschluss","Hamburg","","","",""
"general elemantary","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Bremen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Hessen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"general elemantary","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"general elemantary","1984","(noch) kein Abschluss","Bayern","","","",""
"general elemantary","1984","(noch) kein Abschluss","Saarland","","","",""
"general elemantary","1984","(noch) kein Abschluss","Berlin","","","",""
"general elemantary","1984","(noch) kein Abschluss","Brandenburg","","","",""
"general elemantary","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"general elemantary","1984","(noch) kein Abschluss","Sachsen","","","",""
"general elemantary","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"general elemantary","1984","(noch) kein Abschluss","Thueringen","","","",""
"general elemantary","1984","Hauptschulabschluss","Schleswig-Holstein","71","0.317075266070654","0.256272346144477","0.377878185996831"
"general elemantary","1984","Hauptschulabschluss","Hamburg","58","0.309420634740481","0.238673704213782","0.380167565267181"
"general elemantary","1984","Hauptschulabschluss","Niedersachsen","303","0.403532120146059","0.368397135541412","0.438667104750706"
"general elemantary","1984","Hauptschulabschluss","Bremen","34","0.390858768556251","0.291689857383268","0.490027679729235"
"general elemantary","1984","Hauptschulabschluss","Nordrhein-Westfalen","744","0.349471462259049","0.327947042695246","0.370995881822853"
"general elemantary","1984","Hauptschulabschluss","Hessen","312","0.37766942153407","0.341983948717833","0.413354894350308"
"general elemantary","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","269","0.446592044880914","0.406646550695818","0.48653753906601"
"general elemantary","1984","Hauptschulabschluss","Baden-Wuerttemberg","618","0.424804999100304","0.398543386574312","0.451066611626297"
"general elemantary","1984","Hauptschulabschluss","Bayern","496","0.357947537521113","0.331847535692265","0.38404753934996"
"general elemantary","1984","Hauptschulabschluss","Saarland","","","",""
"general elemantary","1984","Hauptschulabschluss","Berlin","91","0.381817386192687","0.316419094510731","0.447215677874642"
"general elemantary","1984","Hauptschulabschluss","Brandenburg","","","",""
"general elemantary","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"general elemantary","1984","Hauptschulabschluss","Sachsen","","","",""
"general elemantary","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"general elemantary","1984","Hauptschulabschluss","Thueringen","","","",""
"general elemantary","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"general elemantary","1984","Realschulabschluss","Hamburg","","","",""
"general elemantary","1984","Realschulabschluss","Niedersachsen","64","0.282044659316356","0.223634509117847","0.340454809514866"
"general elemantary","1984","Realschulabschluss","Bremen","","","",""
"general elemantary","1984","Realschulabschluss","Nordrhein-Westfalen","128","0.266959266005792","0.226664916462935","0.307253615548648"
"general elemantary","1984","Realschulabschluss","Hessen","43","0.208918771046642","0.150960361423494","0.266877180669791"
"general elemantary","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","30","0.267974543161772","0.184827903167684","0.351121183155859"
"general elemantary","1984","Realschulabschluss","Baden-Wuerttemberg","77","0.248808009559196","0.198439102649042","0.299176916469351"
"general elemantary","1984","Realschulabschluss","Bayern","94","0.244917452595853","0.20109927492486","0.288735630266846"
"general elemantary","1984","Realschulabschluss","Saarland","","","",""
"general elemantary","1984","Realschulabschluss","Berlin","","","",""
"general elemantary","1984","Realschulabschluss","Brandenburg","","","",""
"general elemantary","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"general elemantary","1984","Realschulabschluss","Sachsen","","","",""
"general elemantary","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"general elemantary","1984","Realschulabschluss","Thueringen","","","",""
"general elemantary","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"general elemantary","1984","(Fach-)Abitur","Hamburg","","","",""
"general elemantary","1984","(Fach-)Abitur","Niedersachsen","","","",""
"general elemantary","1984","(Fach-)Abitur","Bremen","","","",""
"general elemantary","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"general elemantary","1984","(Fach-)Abitur","Hessen","","","",""
"general elemantary","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"general elemantary","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"general elemantary","1984","(Fach-)Abitur","Bayern","","","",""
"general elemantary","1984","(Fach-)Abitur","Saarland","","","",""
"general elemantary","1984","(Fach-)Abitur","Berlin","","","",""
"general elemantary","1984","(Fach-)Abitur","Brandenburg","","","",""
"general elemantary","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"general elemantary","1984","(Fach-)Abitur","Sachsen","","","",""
"general elemantary","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"general elemantary","1984","(Fach-)Abitur","Thueringen","","","",""
"general elemantary","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"general elemantary","1984","AkademikerInnen","Hamburg","","","",""
"general elemantary","1984","AkademikerInnen","Niedersachsen","","","",""
"general elemantary","1984","AkademikerInnen","Bremen","","","",""
"general elemantary","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"general elemantary","1984","AkademikerInnen","Hessen","","","",""
"general elemantary","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"general elemantary","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"general elemantary","1984","AkademikerInnen","Bayern","","","",""
"general elemantary","1984","AkademikerInnen","Saarland","","","",""
"general elemantary","1984","AkademikerInnen","Berlin","","","",""
"general elemantary","1984","AkademikerInnen","Brandenburg","","","",""
"general elemantary","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"general elemantary","1984","AkademikerInnen","Sachsen","","","",""
"general elemantary","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"general elemantary","1984","AkademikerInnen","Thueringen","","","",""
"middle vocational","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"middle vocational","1984","(noch) kein Abschluss","Hamburg","","","",""
"middle vocational","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"middle vocational","1984","(noch) kein Abschluss","Bremen","","","",""
"middle vocational","1984","(noch) kein Abschluss","Nordrhein-Westfalen","39","0.0675240436749806","0.0431758890142921","0.0918721983356692"
"middle vocational","1984","(noch) kein Abschluss","Hessen","","","",""
"middle vocational","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"middle vocational","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"middle vocational","1984","(noch) kein Abschluss","Bayern","","","",""
"middle vocational","1984","(noch) kein Abschluss","Saarland","","","",""
"middle vocational","1984","(noch) kein Abschluss","Berlin","","","",""
"middle vocational","1984","(noch) kein Abschluss","Brandenburg","","","",""
"middle vocational","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"middle vocational","1984","(noch) kein Abschluss","Sachsen","","","",""
"middle vocational","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"middle vocational","1984","(noch) kein Abschluss","Thueringen","","","",""
"middle vocational","1984","Hauptschulabschluss","Schleswig-Holstein","143","0.627778539995183","0.564615827992261","0.690941251998104"
"middle vocational","1984","Hauptschulabschluss","Hamburg","100","0.644906269119685","0.571666668256204","0.718145869983167"
"middle vocational","1984","Hauptschulabschluss","Niedersachsen","406","0.536889913728141","0.501179743154949","0.572600084301334"
"middle vocational","1984","Hauptschulabschluss","Bremen","58","0.592909436279138","0.493059839431338","0.692759033126937"
"middle vocational","1984","Hauptschulabschluss","Nordrhein-Westfalen","1066","0.607136848774851","0.585089500743004","0.629184196806697"
"middle vocational","1984","Hauptschulabschluss","Hessen","364","0.559581805866325","0.52304005165752","0.59612356007513"
"middle vocational","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","301","0.509136175919772","0.46896753855058","0.549304813288964"
"middle vocational","1984","Hauptschulabschluss","Baden-Wuerttemberg","685","0.52058178724205","0.4940405736063","0.547123000877799"
"middle vocational","1984","Hauptschulabschluss","Bayern","735","0.585112210072066","0.558287780357276","0.611936639786856"
"middle vocational","1984","Hauptschulabschluss","Saarland","","","",""
"middle vocational","1984","Hauptschulabschluss","Berlin","111","0.564406264294911","0.497661548833084","0.631150979756738"
"middle vocational","1984","Hauptschulabschluss","Brandenburg","","","",""
"middle vocational","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"middle vocational","1984","Hauptschulabschluss","Sachsen","","","",""
"middle vocational","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"middle vocational","1984","Hauptschulabschluss","Thueringen","","","",""
"middle vocational","1984","Realschulabschluss","Schleswig-Holstein","62","0.701099762238204","0.60755764026555","0.794641884210857"
"middle vocational","1984","Realschulabschluss","Hamburg","38","0.721708543233431","0.603268759281345","0.840148327185516"
"middle vocational","1984","Realschulabschluss","Niedersachsen","137","0.599337103338419","0.535729971478265","0.662944235198572"
"middle vocational","1984","Realschulabschluss","Bremen","","","",""
"middle vocational","1984","Realschulabschluss","Nordrhein-Westfalen","292","0.63515791402361","0.591309800097862","0.679006027949359"
"middle vocational","1984","Realschulabschluss","Hessen","134","0.73383528763249","0.670827863776969","0.796842711488011"
"middle vocational","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","68","0.631175481010628","0.540598092685953","0.721752869335302"
"middle vocational","1984","Realschulabschluss","Baden-Wuerttemberg","168","0.611345063102027","0.554553977275674","0.668136148928379"
"middle vocational","1984","Realschulabschluss","Bayern","233","0.633174434003239","0.584067964410956","0.682280903595523"
"middle vocational","1984","Realschulabschluss","Saarland","","","",""
"middle vocational","1984","Realschulabschluss","Berlin","56","0.728557044853761","0.628577221924957","0.828536867782566"
"middle vocational","1984","Realschulabschluss","Brandenburg","","","",""
"middle vocational","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"middle vocational","1984","Realschulabschluss","Sachsen","","","",""
"middle vocational","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"middle vocational","1984","Realschulabschluss","Thueringen","","","",""
"middle vocational","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"middle vocational","1984","(Fach-)Abitur","Hamburg","","","",""
"middle vocational","1984","(Fach-)Abitur","Niedersachsen","41","0.429096197023582","0.319953835574578","0.538238558472586"
"middle vocational","1984","(Fach-)Abitur","Bremen","","","",""
