"pgisced97","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"in school","1984","16-34 Jahre alt","maennlich","100","0.0500716314386461","0.0410979191180608","0.0590453437592315"
"in school","1984","16-34 Jahre alt","weiblich","95","0.0489525895356195","0.0401971159824487","0.0577080630887902"
"in school","1984","35-65 Jahre alt","maennlich","","","",""
"in school","1984","35-65 Jahre alt","weiblich","","","",""
"in school","1984","66 und älter","maennlich","","","",""
"in school","1984","66 und älter","weiblich","","","",""
"inadequately","1984","16-34 Jahre alt","maennlich","114","0.0271445791072371","0.0204581144914273","0.033831043723047"
"inadequately","1984","16-34 Jahre alt","weiblich","196","0.0340545438075578","0.0266949379394568","0.0414141496756589"
"inadequately","1984","35-65 Jahre alt","maennlich","308","0.02311996399814","0.0179097099516458","0.0283302180446341"
"inadequately","1984","35-65 Jahre alt","weiblich","387","0.0271046796244347","0.0213901249704894","0.0328192342783799"
"inadequately","1984","66 und älter","maennlich","","","",""
"inadequately","1984","66 und älter","weiblich","","","",""
"general elemantary","1984","16-34 Jahre alt","maennlich","573","0.207827989914448","0.191132752152598","0.224523227676298"
"general elemantary","1984","16-34 Jahre alt","weiblich","718","0.278667385718865","0.260474500576084","0.296860270861646"
"general elemantary","1984","35-65 Jahre alt","maennlich","495","0.121206462940929","0.109891555080675","0.132521370801184"
"general elemantary","1984","35-65 Jahre alt","weiblich","1168","0.406566923569929","0.389281537236421","0.423852309903437"
"general elemantary","1984","66 und älter","maennlich","88","0.167175003091045","0.134727686910142","0.199622319271947"
"general elemantary","1984","66 und älter","weiblich","431","0.555714288392012","0.520618121763373","0.590810455020651"
"middle vocational","1984","16-34 Jahre alt","maennlich","1158","0.555549899254392","0.535104109803385","0.575995688705399"
"middle vocational","1984","16-34 Jahre alt","weiblich","1025","0.490129481298932","0.469844431167838","0.510414531430026"
"middle vocational","1984","35-65 Jahre alt","maennlich","1712","0.605042688079365","0.588094909032495","0.621990467126235"
"middle vocational","1984","35-65 Jahre alt","weiblich","1252","0.457139817832671","0.439609260889875","0.474670374775466"
"middle vocational","1984","66 und älter","maennlich","304","0.614715884800904","0.57239604600144","0.657035723600367"
"middle vocational","1984","66 und älter","weiblich","274","0.365218031630195","0.331209245969574","0.399226817290816"
"vocational + Abi","1984","16-34 Jahre alt","maennlich","94","0.0402935501791997","0.0322022592520557","0.0483848411063438"
"vocational + Abi","1984","16-34 Jahre alt","weiblich","70","0.0315873487386549","0.0244903041065711","0.0386843933707387"
"vocational + Abi","1984","35-65 Jahre alt","maennlich","89","0.0208863748834576","0.0159285316858688","0.0258442180810464"
"vocational + Abi","1984","35-65 Jahre alt","weiblich","39","0.0100922606438036","0.00657488474716719","0.01360963654044"
"vocational + Abi","1984","66 und älter","maennlich","","","",""
"vocational + Abi","1984","66 und älter","weiblich","","","",""
"higher vocational","1984","16-34 Jahre alt","maennlich","86","0.0472061750337554","0.0384798835385924","0.0559324665289184"
"higher vocational","1984","16-34 Jahre alt","weiblich","125","0.0663071052758511","0.0562105603309166","0.0764036502207856"
"higher vocational","1984","35-65 Jahre alt","maennlich","242","0.0982763324116086","0.0879557094993073","0.10859695532391"
"higher vocational","1984","35-65 Jahre alt","weiblich","124","0.0509386094628507","0.0432011588520077","0.0586760600736937"
"higher vocational","1984","66 und älter","maennlich","56","0.106957852877317","0.0800822292261237","0.133833476528509"
"higher vocational","1984","66 und älter","weiblich","","","",""
"higher education","1984","16-34 Jahre alt","maennlich","144","0.071906175072322","0.0612767474636497","0.0825356026809944"
"higher education","1984","16-34 Jahre alt","weiblich","104","0.0503015456245197","0.0414325538488127","0.0591705374002268"
"higher education","1984","35-65 Jahre alt","maennlich","350","0.1314681776865","0.119753026573856","0.143183328799143"
"higher education","1984","35-65 Jahre alt","weiblich","132","0.0481577088663113","0.0406234142043365","0.0556920035282861"
"higher education","1984","66 und älter","maennlich","43","0.0792402748902977","0.055751391119176","0.102729158661419"
"higher education","1984","66 und älter","weiblich","","","",""
"in school","1985","16-34 Jahre alt","maennlich","113","0.0638428635095255","0.0533239812093241","0.074361745809727"
"in school","1985","16-34 Jahre alt","weiblich","75","0.0425190688062565","0.0337676763299873","0.0512704612825257"
"in school","1985","35-65 Jahre alt","maennlich","","","",""
"in school","1985","35-65 Jahre alt","weiblich","","","",""
"in school","1985","66 und älter","maennlich","","","",""
"in school","1985","66 und älter","weiblich","","","",""
"inadequately","1985","16-34 Jahre alt","maennlich","92","0.0316899461049832","0.0241527986575946","0.0392270935523717"
"inadequately","1985","16-34 Jahre alt","weiblich","149","0.0320385509399672","0.024400444866263","0.0396766570136715"
"inadequately","1985","35-65 Jahre alt","maennlich","261","0.0223778679558323","0.0169797132249438","0.0277760226867208"
"inadequately","1985","35-65 Jahre alt","weiblich","333","0.0265008806575913","0.0206112114215636","0.0323905498936191"
"inadequately","1985","66 und älter","maennlich","","","",""
"inadequately","1985","66 und älter","weiblich","","","",""
"general elemantary","1985","16-34 Jahre alt","maennlich","535","0.213808284258322","0.196167595550693","0.231448972965951"
"general elemantary","1985","16-34 Jahre alt","weiblich","611","0.276640108524847","0.257237728458997","0.296042488590698"
"general elemantary","1985","35-65 Jahre alt","maennlich","438","0.117931088174229","0.106160020031492","0.129702156316965"
"general elemantary","1985","35-65 Jahre alt","weiblich","1068","0.400618410955061","0.382649981363339","0.418586840546782"
"general elemantary","1985","66 und älter","maennlich","63","0.137161203418861","0.105269713805103","0.169052693032619"
"general elemantary","1985","66 und älter","weiblich","364","0.536262042895062","0.498473522845155","0.574050562944969"
"middle vocational","1985","16-34 Jahre alt","maennlich","1025","0.521825028125157","0.50033213329497","0.543317922955343"
"middle vocational","1985","16-34 Jahre alt","weiblich","930","0.495388658188692","0.47370304256761","0.517074273809774"
"middle vocational","1985","35-65 Jahre alt","maennlich","1556","0.607874548264414","0.590056096779169","0.625692999749659"
"middle vocational","1985","35-65 Jahre alt","weiblich","1167","0.457473693962545","0.439205886132132","0.475741501792957"
"middle vocational","1985","66 und älter","maennlich","273","0.624107180541044","0.579206188756467","0.669008172325622"
"middle vocational","1985","66 und älter","weiblich","248","0.383243350400829","0.346402532233318","0.42008416856834"
"vocational + Abi","1985","16-34 Jahre alt","maennlich","84","0.0413849150678202","0.0328148877941583","0.0499549423414821"
"vocational + Abi","1985","16-34 Jahre alt","weiblich","67","0.035152565020659","0.0271647489607168","0.0431403810806013"
"vocational + Abi","1985","35-65 Jahre alt","maennlich","76","0.0206956318092137","0.0154998769372279","0.0258913866811995"
"vocational + Abi","1985","35-65 Jahre alt","weiblich","35","0.0103199490044111","0.00661417308757689","0.0140257249212452"
"vocational + Abi","1985","66 und älter","maennlich","","","",""
"vocational + Abi","1985","66 und älter","weiblich","","","",""
"higher vocational","1985","16-34 Jahre alt","maennlich","85","0.0502141712530135","0.0408176947326075","0.0596106477734194"
"higher vocational","1985","16-34 Jahre alt","weiblich","111","0.0654215184756689","0.0546967377670249","0.0761462991843129"
"higher vocational","1985","35-65 Jahre alt","maennlich","223","0.0980038376677528","0.0871527230957318","0.108854952239774"
"higher vocational","1985","35-65 Jahre alt","weiblich","122","0.0526151872731112","0.0444284332804135","0.060801941265809"
"higher vocational","1985","66 und älter","maennlich","53","0.112063153217813","0.0828204990750583","0.141305807360567"
"higher vocational","1985","66 und älter","weiblich","","","",""
"higher education","1985","16-34 Jahre alt","maennlich","141","0.0772347916811788","0.0657482012489971","0.0887213821133605"
"higher education","1985","16-34 Jahre alt","weiblich","99","0.052839530043909","0.0431364083664689","0.0625426517213491"
"higher education","1985","35-65 Jahre alt","maennlich","330","0.133117026128559","0.120719144000781","0.145514908256337"
"higher education","1985","35-65 Jahre alt","weiblich","132","0.0524718781472815","0.0442956626461665","0.0606480936483964"
"higher education","1985","66 und älter","maennlich","40","0.0857816033790825","0.0598209040468344","0.111742302711331"
"higher education","1985","66 und älter","weiblich","","","",""
"in school","1986","16-34 Jahre alt","maennlich","115","0.0546781249058478","0.0448484571659137","0.064507792645782"
"in school","1986","16-34 Jahre alt","weiblich","73","0.0341475535121731","0.0261401851063911","0.0421549219179551"
"in school","1986","35-65 Jahre alt","maennlich","","","",""
"in school","1986","35-65 Jahre alt","weiblich","","","",""
"in school","1986","66 und älter","maennlich","","","",""
"in school","1986","66 und älter","weiblich","","","",""
"inadequately","1986","16-34 Jahre alt","maennlich","95","0.031734572869453","0.02415568085527","0.039313464883636"
"inadequately","1986","16-34 Jahre alt","weiblich","139","0.0340569335658796","0.0260598219648578","0.0420540451669014"
"inadequately","1986","35-65 Jahre alt","maennlich","228","0.0201654686399739","0.014897417821337","0.0254335194586108"
"inadequately","1986","35-65 Jahre alt","weiblich","309","0.0270386182055443","0.0209420766925681","0.0331351597185204"
"inadequately","1986","66 und älter","maennlich","","","",""
"inadequately","1986","66 und älter","weiblich","","","",""
"general elemantary","1986","16-34 Jahre alt","maennlich","535","0.214781913719118","0.197026279937746","0.23253754750049"
"general elemantary","1986","16-34 Jahre alt","weiblich","597","0.269977847093453","0.250403526123002","0.289552168063904"
"general elemantary","1986","35-65 Jahre alt","maennlich","419","0.114014712171186","0.102103303411211","0.125926120931162"
"general elemantary","1986","35-65 Jahre alt","weiblich","977","0.382482512857417","0.364215231853827","0.400749793861007"
"general elemantary","1986","66 und älter","maennlich","61","0.140422185695422","0.107391766212739","0.173452605178106"
"general elemantary","1986","66 und älter","weiblich","338","0.520598776917531","0.481338438461432","0.559859115373629"
"middle vocational","1986","16-34 Jahre alt","maennlich","1012","0.53389968818061","0.512331597129724","0.555467779231496"
"middle vocational","1986","16-34 Jahre alt","weiblich","891","0.504673101128665","0.482628326854171","0.526717875403158"
"middle vocational","1986","35-65 Jahre alt","maennlich","1481","0.61274703240048","0.59449095740077","0.63100310740019"
"middle vocational","1986","35-65 Jahre alt","weiblich","1149","0.473076796670682","0.454310310088845","0.491843283252518"
"middle vocational","1986","66 und älter","maennlich","255","0.619135453078648","0.572968444332893","0.665302461824403"
"middle vocational","1986","66 und älter","weiblich","227","0.391835617625899","0.353472371788957","0.430198863462841"
