"pgisced97","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"in school","1984","16-34 Jahre alt","195","0.049514825279409","0.043247025959125","0.055782624599693"
"in school","1984","35-65 Jahre alt","","","",""
"in school","1984","66 und älter","","","",""
"inadequately","1984","16-34 Jahre alt","310","0.030582797903909","0.0256080766376504","0.0355575191701676"
"inadequately","1984","35-65 Jahre alt","695","0.0251625836563672","0.0212945479563713","0.0290306193563631"
"inadequately","1984","66 und älter","","","",""
"general elemantary","1984","16-34 Jahre alt","1291","0.243075831656435","0.230682962621829","0.255468700691041"
"general elemantary","1984","35-65 Jahre alt","1663","0.26748613286648","0.25655398935528","0.278418276377681"
"general elemantary","1984","66 und älter","519","0.416181724860776","0.38915689243053","0.443206557291022"
"middle vocational","1984","16-34 Jahre alt","2183","0.522998400012992","0.50856778362616","0.537429016399825"
"middle vocational","1984","35-65 Jahre alt","2964","0.529225656550052","0.516898196572014","0.541553116528091"
"middle vocational","1984","66 und älter","578","0.4548179160318","0.427517313397337","0.482118518666263"
"vocational + Abi","1984","16-34 Jahre alt","164","0.0359615706773213","0.0305820784659058","0.0413410628887369"
"vocational + Abi","1984","35-65 Jahre alt","128","0.0153531644848099","0.0123165758728137","0.0183897530968061"
"vocational + Abi","1984","66 und älter","","","",""
"higher vocational","1984","16-34 Jahre alt","211","0.0567103013557383","0.0500279653821814","0.0633926373292952"
"higher vocational","1984","35-65 Jahre alt","366","0.0740103690307387","0.0675449584516691","0.0804757796098082"
"higher vocational","1984","66 und älter","83","0.0602057501675968","0.0471645355564391","0.0732469647787545"
"higher education","1984","16-34 Jahre alt","248","0.0611562731141954","0.0542333111748184","0.0680792350535724"
"higher education","1984","35-65 Jahre alt","482","0.0887620934115517","0.0817382241402606","0.0957859626828428"
"higher education","1984","66 und älter","63","0.0470618249123622","0.035451365391971","0.0586722844327535"
"in school","1985","16-34 Jahre alt","188","0.0533545836316942","0.0464896365588977","0.0602195307044907"
"in school","1985","35-65 Jahre alt","","","",""
"in school","1985","66 und älter","","","",""
"inadequately","1985","16-34 Jahre alt","241","0.0318614101960118","0.0264965436867332","0.0372262767052905"
"inadequately","1985","35-65 Jahre alt","594","0.0245017660453982","0.0205026292894956","0.0285009028013008"
"inadequately","1985","66 und älter","","","",""
"general elemantary","1985","16-34 Jahre alt","1146","0.244712622220317","0.231580287114823","0.257844957325812"
"general elemantary","1985","35-65 Jahre alt","1506","0.263552532547308","0.252156365646384","0.274948699448232"
"general elemantary","1985","66 und älter","427","0.392495593468856","0.363846683502101","0.421144503435611"
"middle vocational","1985","16-34 Jahre alt","1955","0.508822087011443","0.493551348177943","0.524092825844943"
"middle vocational","1985","35-65 Jahre alt","2723","0.530398171103477","0.517488350231046","0.543307991975908"
"middle vocational","1985","66 und älter","521","0.470008734557633","0.440726560739113","0.499290908376153"
"vocational + Abi","1985","16-34 Jahre alt","151","0.038319483586189","0.032455633077035","0.0441833340953429"
"vocational + Abi","1985","35-65 Jahre alt","111","0.0153507797602108","0.0121705367360538","0.0185310227843678"
"vocational + Abi","1985","66 und älter","","","",""
"higher vocational","1985","16-34 Jahre alt","196","0.0576940272584795","0.0505717470296898","0.0648163074872692"
"higher vocational","1985","35-65 Jahre alt","345","0.0746226659774437","0.0678251673777085","0.0814201645771789"
"higher vocational","1985","66 und älter","80","0.0658686906856308","0.0513154579917868","0.0804219233794749"
"higher education","1985","16-34 Jahre alt","240","0.0652357860958651","0.057692655160052","0.0727789170316781"
"higher education","1985","35-65 Jahre alt","462","0.0915740845661625","0.0841132850812663","0.0990348840510587"
"higher education","1985","66 und älter","56","0.0484065189403176","0.035814549848669","0.0609984880319663"
"in school","1986","16-34 Jahre alt","188","0.0446447919592256","0.0382693612290872","0.051020222689364"
"in school","1986","35-65 Jahre alt","","","",""
"in school","1986","66 und älter","","","",""
"inadequately","1986","16-34 Jahre alt","234","0.0328695153726401","0.0273654842776379","0.0383735464676423"
"inadequately","1986","35-65 Jahre alt","537","0.0236945782220649","0.0196580511831876","0.0277311052609423"
"inadequately","1986","66 und älter","","","",""
"general elemantary","1986","16-34 Jahre alt","1132","0.241756281174614","0.228539217390079","0.254973344959149"
"general elemantary","1986","35-65 Jahre alt","1396","0.251863056492217","0.240342769204639","0.263383343779794"
"general elemantary","1986","66 und älter","399","0.383460188449781","0.354008143574125","0.412912233325436"
"middle vocational","1986","16-34 Jahre alt","1903","0.519616594292831","0.504193298191648","0.535039890394014"
"middle vocational","1986","35-65 Jahre alt","2630","0.541031501908304","0.527806576238763","0.554256427577846"
"middle vocational","1986","66 und älter","482","0.473827984627608","0.443583305818884","0.504072663436332"
"vocational + Abi","1986","16-34 Jahre alt","155","0.0394109403437466","0.0334044759268873","0.045417404760606"
"vocational + Abi","1986","35-65 Jahre alt","103","0.0148175549606702","0.0116110115053823","0.0180240984159581"
"vocational + Abi","1986","66 und älter","","","",""
"higher vocational","1986","16-34 Jahre alt","190","0.0562750316670833","0.0491608936128406","0.063389169721326"
"higher vocational","1986","35-65 Jahre alt","319","0.0730190154250208","0.0661143295831402","0.0799237012669014"
"higher vocational","1986","66 und älter","74","0.0664513415720968","0.0513646119770787","0.0815380711671148"
"higher education","1986","16-34 Jahre alt","229","0.0654268451898591","0.0577932990894361","0.0730603912902821"
"higher education","1986","35-65 Jahre alt","469","0.0955742929917231","0.0877715460837039","0.103377039899742"
"higher education","1986","66 und älter","53","0.0468433783935682","0.0340442325004439","0.0596425242866925"
"in school","1987","16-34 Jahre alt","192","0.041739493566573","0.0355128868277402","0.0479661003054058"
"in school","1987","35-65 Jahre alt","","","",""
"in school","1987","66 und älter","","","",""
"inadequately","1987","16-34 Jahre alt","208","0.0299595442194661","0.0246519394046481","0.0352671490342841"
"inadequately","1987","35-65 Jahre alt","537","0.02598183707084","0.0217158984307171","0.0302477757109629"
"inadequately","1987","66 und älter","","","",""
"general elemantary","1987","16-34 Jahre alt","1096","0.219719569489514","0.206828297189765","0.232610841789263"
"general elemantary","1987","35-65 Jahre alt","1348","0.244811567498371","0.233281289429454","0.256341845567288"
"general elemantary","1987","66 und älter","413","0.378249109274763","0.349393490812037","0.407104727737488"
"middle vocational","1987","16-34 Jahre alt","1909","0.543537090470113","0.528029176090232","0.559045004849995"
"middle vocational","1987","35-65 Jahre alt","2571","0.541298184417063","0.527935932231095","0.554660436603031"
"middle vocational","1987","66 und älter","508","0.484309787988981","0.454573326417559","0.514046249560403"
"vocational + Abi","1987","16-34 Jahre alt","156","0.0447891506074915","0.0383493548835547","0.0512289463314283"
"vocational + Abi","1987","35-65 Jahre alt","103","0.0150366627232469","0.0117731755426401","0.0183001499038538"
"vocational + Abi","1987","66 und älter","","","",""
"higher vocational","1987","16-34 Jahre alt","183","0.0539810218227291","0.0469453345091636","0.0610167091362945"
"higher vocational","1987","35-65 Jahre alt","316","0.074024016651302","0.0670032856409133","0.0810447476616907"
"higher vocational","1987","66 und älter","70","0.0623510211310158","0.0479638586073478","0.0767381836546839"
"higher education","1987","16-34 Jahre alt","219","0.0662741298241131","0.0585291949928651","0.0740190646553612"
