"pgisced97","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"higher education","1987","35-65 Jahre alt","467","0.0988477316391769","0.0908442566321969","0.106851206646157"
"higher education","1987","66 und älter","58","0.0514149390930178","0.0382743139925436","0.064555564193492"
"in school","1988","16-34 Jahre alt","164","0.0436497491373028","0.0371130548670844","0.0501864434075213"
"in school","1988","35-65 Jahre alt","","","",""
"in school","1988","66 und älter","","","",""
"inadequately","1988","16-34 Jahre alt","191","0.0284479777392741","0.0231291302391436","0.0337668252394047"
"inadequately","1988","35-65 Jahre alt","494","0.023751178048642","0.0195592889488158","0.0279430671484682"
"inadequately","1988","66 und älter","","","",""
"general elemantary","1988","16-34 Jahre alt","1077","0.216300587057241","0.203128262629965","0.229472911484516"
"general elemantary","1988","35-65 Jahre alt","1274","0.239839303053742","0.228084920316264","0.25159368579122"
"general elemantary","1988","66 und älter","389","0.37100699178878","0.341857175822153","0.400156807755407"
"middle vocational","1988","16-34 Jahre alt","1802","0.546050538256405","0.530121887827312","0.561979188685498"
"middle vocational","1988","35-65 Jahre alt","2450","0.544850731229342","0.531141830261588","0.558559632197095"
"middle vocational","1988","66 und älter","505","0.493925433075147","0.463756509703723","0.524094356446571"
"vocational + Abi","1988","16-34 Jahre alt","153","0.0484120521589334","0.0415451632498385","0.0552789410680284"
"vocational + Abi","1988","35-65 Jahre alt","99","0.0152235178712133","0.0118528707308389","0.0185941650115878"
"vocational + Abi","1988","66 und älter","","","",""
"higher vocational","1988","16-34 Jahre alt","162","0.0498436205457113","0.042881185706575","0.0568060553848476"
"higher vocational","1988","35-65 Jahre alt","310","0.0765436633941583","0.0692246970487456","0.0838626297395711"
"higher vocational","1988","66 und älter","69","0.0615887510828933","0.047082033293293","0.0760954688724936"
"higher education","1988","16-34 Jahre alt","204","0.0672954751051329","0.0592801012718801","0.0753108489383857"
"higher education","1988","35-65 Jahre alt","442","0.0997916064029023","0.091540627411883","0.108042585393922"
"higher education","1988","66 und älter","56","0.0490324259634414","0.0360023662444682","0.0620624856824147"
"in school","1989","16-34 Jahre alt","175","0.0515193942287199","0.0443715000149213","0.0586672884425185"
"in school","1989","35-65 Jahre alt","","","",""
"in school","1989","66 und älter","","","",""
"inadequately","1989","16-34 Jahre alt","172","0.0268762062365946","0.0216468702855827","0.0321055421876064"
"inadequately","1989","35-65 Jahre alt","475","0.0257000558244658","0.0212539948861903","0.0301461167627414"
"inadequately","1989","66 und älter","","","",""
"general elemantary","1989","16-34 Jahre alt","1007","0.210632008101378","0.197446998352666","0.223817017850091"
"general elemantary","1989","35-65 Jahre alt","1196","0.23067243037564","0.218836142140778","0.242508718610502"
"general elemantary","1989","66 und älter","387","0.374781425619483","0.345190639765667","0.404372211473299"
"middle vocational","1989","16-34 Jahre alt","1791","0.537599164982444","0.521477231958365","0.553721098006523"
"middle vocational","1989","35-65 Jahre alt","2367","0.547108705990806","0.533122631478064","0.561094780503549"
"middle vocational","1989","66 und älter","480","0.484730728441939","0.454180185601622","0.515281271282255"
"vocational + Abi","1989","16-34 Jahre alt","166","0.0532367183108347","0.0459772492888425","0.060496187332827"
"vocational + Abi","1989","35-65 Jahre alt","100","0.0164677512941695","0.0128919490662402","0.0200435535220988"
"vocational + Abi","1989","66 und älter","","","",""
"higher vocational","1989","16-34 Jahre alt","157","0.0493378991821406","0.0423349345667148","0.0563408637975664"
"higher vocational","1989","35-65 Jahre alt","291","0.0750818636557439","0.0676776113640889","0.0824861159473989"
"higher vocational","1989","66 und älter","68","0.0625752741740588","0.0477698410655138","0.0773807072826039"
"higher education","1989","16-34 Jahre alt","206","0.0707986089578878","0.0625049570613711","0.0790922608544044"
"higher education","1989","35-65 Jahre alt","437","0.104969192859175","0.0963570354382784","0.113581350280071"
"higher education","1989","66 und älter","56","0.0504618730982108","0.0370808468971295","0.0638428992992922"
"in school","1990","16-34 Jahre alt","195","0.0400153318417875","0.0347126381895573","0.0453180254940177"
"in school","1990","35-65 Jahre alt","","","",""
"in school","1990","66 und älter","","","",""
"inadequately","1990","16-34 Jahre alt","164","0.0235160695780713","0.0194162372424953","0.0276159019136473"
"inadequately","1990","35-65 Jahre alt","466","0.0223827326249158","0.018932439676436","0.0258330255733955"
"inadequately","1990","66 und älter","","","",""
"general elemantary","1990","16-34 Jahre alt","1132","0.188639337707999","0.178054741782102","0.199223933633895"
"general elemantary","1990","35-65 Jahre alt","1349","0.197641389125714","0.188353047230259","0.206929731021169"
"general elemantary","1990","66 und älter","529","0.356507237070802","0.332244309624763","0.380770164516842"
"middle vocational","1990","16-34 Jahre alt","2797","0.555151138030759","0.541706068980322","0.568596207081196"
"middle vocational","1990","35-65 Jahre alt","3595","0.549801353970922","0.538197026391107","0.561405681550737"
"middle vocational","1990","66 und älter","713","0.494547274762027","0.469220413661829","0.519874135862224"
"vocational + Abi","1990","16-34 Jahre alt","222","0.051408615918583","0.0454340174748705","0.0573832143622955"
"vocational + Abi","1990","35-65 Jahre alt","129","0.0161479407477532","0.0132080008075459","0.0190878806879606"
"vocational + Abi","1990","66 und älter","","","",""
"higher vocational","1990","16-34 Jahre alt","217","0.0488994153741472","0.0430647462132957","0.0547340845349988"
"higher vocational","1990","35-65 Jahre alt","454","0.0745168020409711","0.0683915162194403","0.0806420878625018"
"higher vocational","1990","66 und älter","102","0.0664757556694888","0.0538565612042735","0.0790949501347041"
"higher education","1990","16-34 Jahre alt","521","0.0923700915486533","0.0845363134749684","0.100203869622338"
"higher education","1990","35-65 Jahre alt","1068","0.139509781489724","0.131428313008297","0.147591249971151"
"higher education","1990","66 und älter","109","0.0599575729209677","0.0479312477962375","0.0719838980456978"
"in school","1991","16-34 Jahre alt","162","0.0358511954186232","0.0307204034495939","0.0409819873876524"
"in school","1991","35-65 Jahre alt","","","",""
"in school","1991","66 und älter","","","",""
"inadequately","1991","16-34 Jahre alt","190","0.0267154473059594","0.0222654300769164","0.0311654645350024"
"inadequately","1991","35-65 Jahre alt","452","0.0235454613292033","0.0199829661198545","0.0271079565385522"
"inadequately","1991","66 und älter","","","",""
"general elemantary","1991","16-34 Jahre alt","1080","0.182326137828988","0.171670607342735","0.192981668315241"
"general elemantary","1991","35-65 Jahre alt","1299","0.187383218184859","0.178215042793619","0.1965513935761"
"general elemantary","1991","66 und älter","507","0.350932852255261","0.326617864206004","0.375247840304518"
"middle vocational","1991","16-34 Jahre alt","2699","0.555215115022973","0.541501050053441","0.568929179992504"
"middle vocational","1991","35-65 Jahre alt","3527","0.544411582977982","0.532710536939221","0.556112629016744"
"middle vocational","1991","66 und älter","720","0.499557516256545","0.474084107319583","0.525030925193507"
"vocational + Abi","1991","16-34 Jahre alt","225","0.0551092853597492","0.0488118497976005","0.0614067209218979"
"vocational + Abi","1991","35-65 Jahre alt","133","0.0164154120989356","0.013429985312005","0.0194008388858663"
"vocational + Abi","1991","66 und älter","","","",""
"higher vocational","1991","16-34 Jahre alt","211","0.0490098580808679","0.0430519982421037","0.0549677179196321"
"higher vocational","1991","35-65 Jahre alt","454","0.0771738693207161","0.0709038373950341","0.0834439012463981"
"higher vocational","1991","66 und älter","94","0.0636570940993291","0.0512188779311391","0.0760953102675191"
"higher education","1991","16-34 Jahre alt","477","0.0957729609828397","0.0876517507318638","0.103894171233816"
"higher education","1991","35-65 Jahre alt","1094","0.151070456088303","0.14265649950098","0.159484412675627"
"higher education","1991","66 und älter","113","0.0650336431852528","0.0524709062080063","0.0775963801624993"
"in school","1992","16-34 Jahre alt","191","0.0384488345621928","0.033048615222499","0.0438490539018867"
"in school","1992","35-65 Jahre alt","","","",""
"in school","1992","66 und älter","","","",""
"inadequately","1992","16-34 Jahre alt","168","0.0240606664493775","0.0197568984938105","0.0283644344049444"
"inadequately","1992","35-65 Jahre alt","438","0.0251476298454191","0.0214419550278302","0.0288533046630079"
"inadequately","1992","66 und älter","","","",""
"general elemantary","1992","16-34 Jahre alt","1078","0.186658156449775","0.175714973638601","0.197601339260948"
"general elemantary","1992","35-65 Jahre alt","1242","0.180673949605556","0.17156799456715","0.189779904643961"
"general elemantary","1992","66 und älter","491","0.338330069478962","0.314184187187975","0.36247595176995"
"middle vocational","1992","16-34 Jahre alt","2547","0.545013377600899","0.531027603622241","0.558999151579558"
"middle vocational","1992","35-65 Jahre alt","3474","0.542465455850397","0.530674545454556","0.554256366246238"
"middle vocational","1992","66 und älter","730","0.510622256255265","0.485111457419438","0.536133055091093"
"vocational + Abi","1992","16-34 Jahre alt","225","0.0542108623177285","0.0478513482973534","0.0605703763381036"
"vocational + Abi","1992","35-65 Jahre alt","137","0.0182201843607179","0.0150547538523211","0.0213856148691147"
"vocational + Abi","1992","66 und älter","","","",""
"higher vocational","1992","16-34 Jahre alt","215","0.0558940034699901","0.0494422673341898","0.0623457396057904"
"higher vocational","1992","35-65 Jahre alt","462","0.0794593319243055","0.0730583987212582","0.0858602651273528"
"higher vocational","1992","66 und älter","93","0.0650080979562527","0.0524263860869078","0.0775898098255975"
"higher education","1992","16-34 Jahre alt","446","0.0957140991500371","0.0874513522802468","0.103976846019827"
"higher education","1992","35-65 Jahre alt","1105","0.154033448413605","0.145489994801028","0.162576902026183"
"higher education","1992","66 und älter","109","0.0618586019140704","0.0495647980140867","0.074152405814054"
"in school","1993","16-34 Jahre alt","187","0.0388261126545642","0.033346248144651","0.0443059771644774"
"in school","1993","35-65 Jahre alt","","","",""
"in school","1993","66 und älter","","","",""
"inadequately","1993","16-34 Jahre alt","167","0.0269713027818797","0.0223759308169766","0.0315666747467827"
"inadequately","1993","35-65 Jahre alt","421","0.0266360294617751","0.0227828082653645","0.0304892506581857"
"inadequately","1993","66 und älter","","","",""
"general elemantary","1993","16-34 Jahre alt","1034","0.181919650619962","0.170976442198711","0.192862859041214"
"general elemantary","1993","35-65 Jahre alt","1173","0.173013516131031","0.163961594485324","0.182065437776737"
"general elemantary","1993","66 und älter","500","0.342773553149553","0.31872198136644","0.366825124932666"
"middle vocational","1993","16-34 Jahre alt","2541","0.543406870518831","0.529277131760843","0.557536609276818"
"middle vocational","1993","35-65 Jahre alt","3416","0.544420102634983","0.532502170260078","0.556338035009888"
"middle vocational","1993","66 und älter","739","0.503809175735883","0.478473079781281","0.529145271690485"
"vocational + Abi","1993","16-34 Jahre alt","227","0.05526892170948","0.0487870343357","0.0617508090832601"
"vocational + Abi","1993","35-65 Jahre alt","134","0.0177707611994044","0.0146091314566807","0.0209323909421282"
"vocational + Abi","1993","66 und älter","","","",""
"higher vocational","1993","16-34 Jahre alt","206","0.0575523089005313","0.0509458781530518","0.0641587396480108"
"higher vocational","1993","35-65 Jahre alt","453","0.0789486510933976","0.0724955890219154","0.0854017131648798"
"higher vocational","1993","66 und älter","88","0.0624472003139303","0.0501858966585869","0.0747085039692737"
"higher education","1993","16-34 Jahre alt","412","0.0960548328147518","0.0876961559269386","0.104413509702565"
"higher education","1993","35-65 Jahre alt","1111","0.159210939479409","0.150455427575742","0.167966451383076"
"higher education","1993","66 und älter","117","0.0676906560197932","0.0549607067120393","0.0804206053275472"
"in school","1994","16-34 Jahre alt","241","0.0507261146571797","0.0444237063148873","0.0570285229994721"
"in school","1994","35-65 Jahre alt","","","",""
"in school","1994","66 und älter","","","",""
"inadequately","1994","16-34 Jahre alt","142","0.0233664053040183","0.0190277339496055","0.0277050766584311"
"inadequately","1994","35-65 Jahre alt","386","0.0271711820649205","0.0232329672608098","0.0311093968690313"
"inadequately","1994","66 und älter","31","0.0084533410901473","0.0038432177064904","0.0130634644738042"
"general elemantary","1994","16-34 Jahre alt","920","0.166182437885324","0.1554913215833","0.176873554187349"
"general elemantary","1994","35-65 Jahre alt","1110","0.16722940753103","0.158189875741108","0.176268939320953"
"general elemantary","1994","66 und älter","486","0.329063552431427","0.305403137423074","0.352723967439781"
"middle vocational","1994","16-34 Jahre alt","2466","0.539561920063207","0.525246594316386","0.553877245810029"
"middle vocational","1994","35-65 Jahre alt","3380","0.547836495582925","0.53578058123357","0.559892409932279"
"middle vocational","1994","66 und älter","750","0.50469720668146","0.479520865592719","0.5298735477702"
"vocational + Abi","1994","16-34 Jahre alt","250","0.0608401569190882","0.0539748510336273","0.0677054628045491"
"vocational + Abi","1994","35-65 Jahre alt","119","0.0161502309897197","0.0130968522054064","0.019203609774033"
"vocational + Abi","1994","66 und älter","","","",""
"higher vocational","1994","16-34 Jahre alt","219","0.0543836091041984","0.0478705280847245","0.0608966901236724"
"higher vocational","1994","35-65 Jahre alt","447","0.0805930663519138","0.0739993593063565","0.087186773397471"
"higher vocational","1994","66 und älter","92","0.0684886173279563","0.0557698489925659","0.0812073856633466"
"higher education","1994","16-34 Jahre alt","419","0.104939356066983","0.0961371729283806","0.113741539205586"
"higher education","1994","35-65 Jahre alt","1105","0.161019617479491","0.152116497646397","0.169922737312585"
"higher education","1994","66 und älter","132","0.0743237207341587","0.0611157814607684","0.087531660007549"
"in school","1995","16-34 Jahre alt","287","0.0581122887624983","0.0514778525021649","0.0647467250228317"
"in school","1995","35-65 Jahre alt","","","",""
"in school","1995","66 und älter","","","",""
"inadequately","1995","16-34 Jahre alt","124","0.0189923500055475","0.0151215920059484","0.0228631080051466"
"inadequately","1995","35-65 Jahre alt","374","0.0228689054634616","0.0193106891165609","0.0264271218103623"
"inadequately","1995","66 und älter","38","0.0079103911535111","0.003495933408564","0.0123248488984582"
"general elemantary","1995","16-34 Jahre alt","918","0.162362256962507","0.151904437763656","0.172820076161358"
"general elemantary","1995","35-65 Jahre alt","1100","0.156813785464248","0.148158386079974","0.165469184848522"
"general elemantary","1995","66 und älter","498","0.33246924182393","0.308993770983273","0.355944712664587"
"middle vocational","1995","16-34 Jahre alt","2524","0.528865290844356","0.514710105725989","0.543020475962723"
"middle vocational","1995","35-65 Jahre alt","3483","0.544474304892429","0.532619937620929","0.556328672163929"
"middle vocational","1995","66 und älter","750","0.500826825880487","0.475911168814507","0.525742482946466"
"vocational + Abi","1995","16-34 Jahre alt","275","0.072023344403317","0.0646921347741973","0.0793545540324367"
"vocational + Abi","1995","35-65 Jahre alt","181","0.0241710523279254","0.0205153748598254","0.0278267297960253"
"vocational + Abi","1995","66 und älter","","","",""
"higher vocational","1995","16-34 Jahre alt","217","0.0524159492933608","0.0460960367372112","0.0587358618495105"
"higher vocational","1995","35-65 Jahre alt","463","0.0807442091360191","0.0742592517910752","0.087229166480963"
"higher vocational","1995","66 und älter","85","0.0585073208623803","0.0468118822524138","0.0702027594723468"
"higher education","1995","16-34 Jahre alt","432","0.107228519728413","0.0984545571087637","0.116002482348063"
"higher education","1995","35-65 Jahre alt","1178","0.170731302676641","0.161774820681276","0.179687784672005"
"higher education","1995","66 und älter","153","0.0858484300984342","0.0718886615522274","0.099808198644641"
"in school","1996","16-34 Jahre alt","294","0.064360136866454","0.0572641070208249","0.0714561667120832"
"in school","1996","35-65 Jahre alt","","","",""
"in school","1996","66 und älter","","","",""
"inadequately","1996","16-34 Jahre alt","115","0.0184975651286072","0.01460123659605","0.0223938936611645"
"inadequately","1996","35-65 Jahre alt","338","0.023342666183784","0.0197269907408292","0.0269583416267389"
"inadequately","1996","66 und älter","43","0.00903849814764049","0.00435859864990624","0.0137183976453747"
"general elemantary","1996","16-34 Jahre alt","870","0.15525318369415","0.144781026929804","0.165725340458495"
"general elemantary","1996","35-65 Jahre alt","1057","0.151848814480469","0.143255010535466","0.160442618425472"
"general elemantary","1996","66 und älter","482","0.322110939496582","0.299004020147379","0.345217858845784"
"middle vocational","1996","16-34 Jahre alt","2389","0.522815136870887","0.508371718158463","0.537258555583311"
"middle vocational","1996","35-65 Jahre alt","3479","0.550001520132491","0.538088261496539","0.561914778768444"
"middle vocational","1996","66 und älter","779","0.5088166375114","0.484095840175334","0.533537434847467"
"vocational + Abi","1996","16-34 Jahre alt","274","0.0810544697526411","0.073162489953057","0.0889464495522252"
"vocational + Abi","1996","35-65 Jahre alt","177","0.0251432823372729","0.0213942042811579","0.0288923603933879"
"vocational + Abi","1996","66 und älter","","","",""
"higher vocational","1996","16-34 Jahre alt","226","0.05412850850296","0.0475854365856979","0.060671580420222"
"higher vocational","1996","35-65 Jahre alt","463","0.0791954648519969","0.0727288501829418","0.085662079521052"
"higher vocational","1996","66 und älter","81","0.0548081569677749","0.0435532326194172","0.0660630813161326"
"higher education","1996","16-34 Jahre alt","426","0.103890999184301","0.0950678834303214","0.112714114938281"
"higher education","1996","35-65 Jahre alt","1185","0.170468252013986","0.161463300845075","0.179473203182896"
"higher education","1996","66 und älter","159","0.089235173025701","0.0751380282920675","0.103332317759334"
"in school","1997","16-34 Jahre alt","316","0.0674677899691169","0.0600856641692623","0.0748499157689714"
"in school","1997","35-65 Jahre alt","","","",""
"in school","1997","66 und älter","","","",""
"inadequately","1997","16-34 Jahre alt","96","0.0168406352496236","0.0130536599376203","0.0206276105616269"
"inadequately","1997","35-65 Jahre alt","326","0.0245509295300398","0.0208191577533907","0.0282827013066888"
"inadequately","1997","66 und älter","46","0.0107744935186631","0.00572373438735088","0.0158252526499753"
"general elemantary","1997","16-34 Jahre alt","876","0.164858726232247","0.153938359513508","0.175779092950987"
"general elemantary","1997","35-65 Jahre alt","996","0.145320176713354","0.136821652995906","0.153818700430801"
"general elemantary","1997","66 und älter","478","0.319334014406186","0.296525332568525","0.342142696243847"
"middle vocational","1997","16-34 Jahre alt","2263","0.516032931574362","0.501325125554389","0.530740737594334"
"middle vocational","1997","35-65 Jahre alt","3447","0.553758414982744","0.541771042632631","0.565745787332857"
"middle vocational","1997","66 und älter","806","0.510754837601371","0.486299138229908","0.535210536972834"
"vocational + Abi","1997","16-34 Jahre alt","262","0.0803286829698721","0.0723293656827754","0.0883280002569688"
"vocational + Abi","1997","35-65 Jahre alt","170","0.0254121969424608","0.0216172090164291","0.0292071848684924"
"vocational + Abi","1997","66 und älter","","","",""
"higher vocational","1997","16-34 Jahre alt","215","0.0527343649559848","0.0461565139776818","0.0593122159342879"
"higher vocational","1997","35-65 Jahre alt","466","0.0794868913588182","0.0729639788807441","0.0860098038368922"
"higher vocational","1997","66 und älter","82","0.0554640573789038","0.0442664396984287","0.0666616750593788"
"higher education","1997","16-34 Jahre alt","407","0.101736869048794","0.092839896506924","0.110633841590663"
"higher education","1997","35-65 Jahre alt","1201","0.171471390472584","0.162382133210572","0.180560647734595"
"higher education","1997","66 und älter","167","0.0902421059994415","0.0762243627875115","0.104259849211371"
"in school","1998","16-34 Jahre alt","333","0.070754658749246","0.0633568183962316","0.0781524991022603"
"in school","1998","35-65 Jahre alt","","","",""
"in school","1998","66 und älter","","","",""
"inadequately","1998","16-34 Jahre alt","89","0.0154887823727639","0.0119260663115733","0.0190514984339544"
"inadequately","1998","35-65 Jahre alt","309","0.0259726080136212","0.0223232263663517","0.0296219896608908"
"inadequately","1998","66 und älter","50","0.0123157269217335","0.00723333792376693","0.0173981159197"
"general elemantary","1998","16-34 Jahre alt","913","0.169148042305613","0.158332269650239","0.179963814960987"
"general elemantary","1998","35-65 Jahre alt","1077","0.140245616415958","0.132278378886266","0.14821285394565"
"general elemantary","1998","66 und älter","571","0.330409855703606","0.308734819549276","0.352084891857936"
"middle vocational","1998","16-34 Jahre alt","2311","0.505568970411733","0.491144319785503","0.519993621037962"
"middle vocational","1998","35-65 Jahre alt","3859","0.552436723604259","0.541027806869178","0.563845640339341"
"middle vocational","1998","66 und älter","888","0.496559605545441","0.47351928426083","0.519599926830053"
"vocational + Abi","1998","16-34 Jahre alt","281","0.0806272301968978","0.0727721806827738","0.0884822797110217"
"vocational + Abi","1998","35-65 Jahre alt","200","0.0270047280205795","0.0232855138603944","0.0307239421807646"
"vocational + Abi","1998","66 und älter","31","0.0165527127444639","0.0106732324364661","0.0224321930524617"
"higher vocational","1998","16-34 Jahre alt","244","0.0557797437952312","0.0491585369946817","0.0624009505957807"
"higher vocational","1998","35-65 Jahre alt","502","0.0752217221514498","0.0691701758018744","0.0812732685010252"
"higher vocational","1998","66 und älter","82","0.0517492548578083","0.0415412127159684","0.0619572969996482"
"higher education","1998","16-34 Jahre alt","444","0.102632572168515","0.0938768898478003","0.11138825448923"
"higher education","1998","35-65 Jahre alt","1348","0.1787885794451","0.169996870643355","0.187580288246844"
"higher education","1998","66 und älter","187","0.0924128442269473","0.0790672121841817","0.105758476269713"
"in school","1999","16-34 Jahre alt","320","0.073167417278393","0.0654903302217501","0.0808445043350359"
"in school","1999","35-65 Jahre alt","","","",""
"in school","1999","66 und älter","","","",""
"inadequately","1999","16-34 Jahre alt","83","0.0155271797931737","0.0118822840332315","0.0191720755531159"
"inadequately","1999","35-65 Jahre alt","287","0.0248876469270807","0.0212987742651874","0.028476519588974"
