"pgisced97","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"in school","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","195","0.049514825279409","0.043247025959125","0.055782624599693"
"in school","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","310","0.030582797903909","0.0256080766376504","0.0355575191701676"
"inadequately","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","695","0.0251625836563672","0.0212945479563713","0.0290306193563631"
"inadequately","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1291","0.243075831656435","0.230682962621829","0.255468700691041"
"general elemantary","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1663","0.26748613286648","0.25655398935528","0.278418276377681"
"general elemantary","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","66 und älter","Westdeutschland, alte Bundeslaender","519","0.416181724860776","0.38915689243053","0.443206557291022"
"general elemantary","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2183","0.522998400012992","0.50856778362616","0.537429016399825"
"middle vocational","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2964","0.529225656550052","0.516898196572014","0.541553116528091"
"middle vocational","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","66 und älter","Westdeutschland, alte Bundeslaender","578","0.4548179160318","0.427517313397337","0.482118518666263"
"middle vocational","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","164","0.0359615706773213","0.0305820784659058","0.0413410628887369"
"vocational + Abi","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","128","0.0153531644848099","0.0123165758728137","0.0183897530968061"
"vocational + Abi","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","211","0.0567103013557383","0.0500279653821814","0.0633926373292952"
"higher vocational","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","366","0.0740103690307387","0.0675449584516691","0.0804757796098082"
"higher vocational","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","66 und älter","Westdeutschland, alte Bundeslaender","83","0.0602057501675968","0.0471645355564391","0.0732469647787545"
"higher vocational","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","248","0.0611562731141954","0.0542333111748184","0.0680792350535724"
"higher education","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","482","0.0887620934115517","0.0817382241402606","0.0957859626828428"
"higher education","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","66 und älter","Westdeutschland, alte Bundeslaender","63","0.0470618249123622","0.035451365391971","0.0586722844327535"
"higher education","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","188","0.0533545836316942","0.0464896365588977","0.0602195307044907"
"in school","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","241","0.0318614101960118","0.0264965436867332","0.0372262767052905"
"inadequately","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","594","0.0245017660453982","0.0205026292894956","0.0285009028013008"
"inadequately","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1146","0.244712622220317","0.231580287114823","0.257844957325812"
"general elemantary","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1506","0.263552532547308","0.252156365646384","0.274948699448232"
"general elemantary","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","66 und älter","Westdeutschland, alte Bundeslaender","427","0.392495593468856","0.363846683502101","0.421144503435611"
"general elemantary","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1955","0.508822087011443","0.493551348177943","0.524092825844943"
"middle vocational","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2723","0.530398171103477","0.517488350231046","0.543307991975908"
