year,quintil_oecd,regtyp,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,1. Quintil,-1,middle vocational,0.2709813874788494,16099,0.2641155161462621,0.27784725881143674
1984,1. Quintil,-1,general elemantary,0.20219966159052452,16099,0.19599534513126876,0.20840397804978028
1984,2. Quintil,-1,middle vocational,0.1311336717428088,16099,0.12591944136468985,0.13634790212092773
1984,1. Quintil,-1,inadequately,0.06133671742808799,16099,0.05763015088603285,0.06504328397014313
1984,2. Quintil,-1,general elemantary,0.05566835871404399,16099,0.05212656632363699,0.05921015110445099
1984,3. Quintil,-1,middle vocational,0.05456852791878172,16099,0.05105985594518738,0.058077199892376065
1984,1. Quintil,-1,higher vocational,0.023096446700507613,16099,0.020776088405605627,0.0254168049954096
1984,4. Quintil,-1,middle vocational,0.019204737732656515,16099,0.017084668755139542,0.021324806710173488
1984,1. Quintil,-1,higher education,0.019120135363790185,16099,0.017004650062124548,0.021235620665455823
1984,2. Quintil,-1,higher vocational,0.018612521150592216,16099,0.016524766404472317,0.020700275896712115
1984,2. Quintil,-1,higher education,0.018104906937394246,16099,0.01604528592248863,0.020164527952299862
1984,2. Quintil,-1,inadequately,0.01649746192893401,16099,0.014529788907554533,0.01846513495031349
1984,3. Quintil,-1,general elemantary,0.015905245346869712,16099,0.013972630702804661,0.017837859990934762
1984,1. Quintil,-1,vocational + Abi,0.01404399323181049,16099,0.012226257704451014,0.01586172875916997
1984,3. Quintil,-1,higher education,0.01404399323181049,16099,0.012226257704451014,0.01586172875916997
1984,4. Quintil,-1,higher education,0.01065989847715736,16099,0.009073523094303662,0.012246273860011057
1984,3. Quintil,-1,higher vocational,0.00820642978003384,16099,0.006812809703248877,0.009600049856818805
1984,2. Quintil,-1,vocational + Abi,0.006175972927241963,16099,0.004965753670479082,0.007386192184004844
1984,5. Quintil,-1,middle vocational,0.0054145516074450084,16099,0.004280954000814165,0.006548149214075852
1984,5. Quintil,-1,higher education,0.004906937394247039,16099,0.0038275092709512014,0.005986365517542876
1984,1. Quintil,-1,in school,0.004399323181049069,16099,0.003376990730387044,0.005421655631711094
1984,4. Quintil,-1,general elemantary,0.004314720812182741,16099,0.0033022231850286256,0.005327218439336857
1984,4. Quintil,-1,higher vocational,0.004230118443316413,16099,0.003227553814784098,0.005232683071848728
