"pgisced97","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"in school","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","195","0.401144374785573","0.374623210033024","0.427665539538121"
"in school","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"in school","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","996","0.528840446656805","0.501830264947772","0.555850628365838"
"inadequately","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2996","0.379176357975071","0.368038059157522","0.39031465679262"
"general elemantary","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","477","0.242570081319325","0.223235403446229","0.261904759192421"
"general elemantary","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","118","0.0644833358463482","0.0511931612755531","0.0777735104171433"
"middle vocational","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3969","0.569182855421366","0.557814791421915","0.580550919420817"
"middle vocational","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","1200","0.644734782191159","0.623146703564798","0.66632286081752"
"middle vocational","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","415","0.457035432898329","0.423952828342136","0.490118037454522"
"middle vocational","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"middle vocational","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
