"pgisced97","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"in school","1984","16-34 Jahre alt","(noch) kein Abschluss","195","0.631121963954787","0.5899663414078","0.672277586501775"
"in school","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"in school","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"in school","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"in school","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"in school","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"in school","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"in school","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"in school","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"in school","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"in school","1984","66 und älter","(noch) kein Abschluss","","","",""
"in school","1984","66 und älter","Hauptschulabschluss","","","",""
"in school","1984","66 und älter","Realschulabschluss","","","",""
"in school","1984","66 und älter","(Fach-)Abitur","","","",""
"in school","1984","66 und älter","AkademikerInnen","","","",""
"inadequately","1984","16-34 Jahre alt","(noch) kein Abschluss","294","0.336693442807566","0.29638411051695","0.377002775098181"
"inadequately","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"inadequately","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"inadequately","1984","35-65 Jahre alt","(noch) kein Abschluss","688","0.879537437958441","0.856486589312704","0.902588286604178"
"inadequately","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"inadequately","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"inadequately","1984","66 und älter","(noch) kein Abschluss","","","",""
"inadequately","1984","66 und älter","Hauptschulabschluss","","","",""
"inadequately","1984","66 und älter","Realschulabschluss","","","",""
"inadequately","1984","66 und älter","(Fach-)Abitur","","","",""
"inadequately","1984","66 und älter","AkademikerInnen","","","",""
"general elemantary","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1984","16-34 Jahre alt","Hauptschulabschluss","927","0.321334481285213","0.301982668384356","0.34068629418607"
"general elemantary","1984","16-34 Jahre alt","Realschulabschluss","364","0.356364484122697","0.326798997417462","0.385929970827932"
"general elemantary","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1984","35-65 Jahre alt","Hauptschulabschluss","1582","0.354965316215311","0.340284530913695","0.369646101516927"
"general elemantary","1984","35-65 Jahre alt","Realschulabschluss","81","0.114507460528159","0.0909521475078897","0.138062773548429"
"general elemantary","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1984","66 und älter","(noch) kein Abschluss","","","",""
"general elemantary","1984","66 und älter","Hauptschulabschluss","487","0.507511524086474","0.476065954442698","0.53895709373025"
"general elemantary","1984","66 und älter","Realschulabschluss","32","0.192326096075098","0.134426541398442","0.250225650751754"
"general elemantary","1984","66 und älter","(Fach-)Abitur","","","",""
"general elemantary","1984","66 und älter","AkademikerInnen","","","",""
"middle vocational","1984","16-34 Jahre alt","(noch) kein Abschluss","38","0.0320046915675821","0.0169914463187986","0.0470179368163657"
"middle vocational","1984","16-34 Jahre alt","Hauptschulabschluss","1239","0.637109317963895","0.61718378320025","0.65703485272754"
"middle vocational","1984","16-34 Jahre alt","Realschulabschluss","542","0.54171332505185","0.510954396790749","0.572472253312951"
"middle vocational","1984","16-34 Jahre alt","(Fach-)Abitur","356","0.620272279810523","0.580535001561325","0.660009558059721"
"middle vocational","1984","16-34 Jahre alt","AkademikerInnen","","","",""
