"pgisced97","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"in school","1984","(noch) kein Abschluss","195","0.401144374785573","0.374623210033024","0.427665539538121"
"in school","1984","Hauptschulabschluss","","","",""
"in school","1984","Realschulabschluss","","","",""
"in school","1984","(Fach-)Abitur","","","",""
"in school","1984","AkademikerInnen","","","",""
"inadequately","1984","(noch) kein Abschluss","996","0.528840446656805","0.501830264947772","0.555850628365838"
"inadequately","1984","Hauptschulabschluss","","","",""
"inadequately","1984","Realschulabschluss","","","",""
"inadequately","1984","(Fach-)Abitur","","","",""
"inadequately","1984","AkademikerInnen","","","",""
"general elemantary","1984","(noch) kein Abschluss","","","",""
"general elemantary","1984","Hauptschulabschluss","2996","0.379176357975071","0.368038059157522","0.39031465679262"
"general elemantary","1984","Realschulabschluss","477","0.242570081319325","0.223235403446229","0.261904759192421"
"general elemantary","1984","(Fach-)Abitur","","","",""
"general elemantary","1984","AkademikerInnen","","","",""
"middle vocational","1984","(noch) kein Abschluss","118","0.0644833358463482","0.0511931612755531","0.0777735104171433"
"middle vocational","1984","Hauptschulabschluss","3969","0.569182855421366","0.557814791421915","0.580550919420817"
"middle vocational","1984","Realschulabschluss","1200","0.644734782191159","0.623146703564798","0.66632286081752"
"middle vocational","1984","(Fach-)Abitur","415","0.457035432898329","0.423952828342136","0.490118037454522"
"middle vocational","1984","AkademikerInnen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","","","",""
"vocational + Abi","1984","Hauptschulabschluss","","","",""
"vocational + Abi","1984","Realschulabschluss","","","",""
"vocational + Abi","1984","(Fach-)Abitur","312","0.327725661310693","0.296553457661173","0.358897864960212"
"vocational + Abi","1984","AkademikerInnen","","","",""
"higher vocational","1984","(noch) kein Abschluss","","","",""
"higher vocational","1984","Hauptschulabschluss","300","0.0479381368054447","0.0430337210875848","0.0528425525233046"
"higher vocational","1984","Realschulabschluss","211","0.112695136489516","0.0984313078094446","0.126958965169587"
"higher vocational","1984","(Fach-)Abitur","144","0.215238905790978","0.187944846330837","0.242532965251119"
"higher vocational","1984","AkademikerInnen","","","",""
"higher education","1984","(noch) kein Abschluss","","","",""
"higher education","1984","Hauptschulabschluss","","","",""
"higher education","1984","Realschulabschluss","","","",""
"higher education","1984","(Fach-)Abitur","","","",""
"higher education","1984","AkademikerInnen","793","1","1","1"
"in school","1985","(noch) kein Abschluss","188","0.425010969876139","0.395863772531862","0.454158167220416"
"in school","1985","Hauptschulabschluss","","","",""
"in school","1985","Realschulabschluss","","","",""
"in school","1985","(Fach-)Abitur","","","",""
"in school","1985","AkademikerInnen","","","",""
"inadequately","1985","(noch) kein Abschluss","820","0.505667667721451","0.476188918445193","0.53514641699771"
"inadequately","1985","Hauptschulabschluss","","","",""
"inadequately","1985","Realschulabschluss","","","",""
"inadequately","1985","(Fach-)Abitur","","","",""
"inadequately","1985","AkademikerInnen","","","",""
"general elemantary","1985","(noch) kein Abschluss","","","",""
"general elemantary","1985","Hauptschulabschluss","2605","0.372564360345862","0.360785206812719","0.384343513879005"
"general elemantary","1985","Realschulabschluss","475","0.252141268277226","0.232185727910408","0.272096808644044"
"general elemantary","1985","(Fach-)Abitur","","","",""
"general elemantary","1985","AkademikerInnen","","","",""
"middle vocational","1985","(noch) kein Abschluss","94","0.0618462039560527","0.0476438446310275","0.0760485632810778"
"middle vocational","1985","Hauptschulabschluss","3557","0.572977719474655","0.560926722656703","0.585028716292607"
"middle vocational","1985","Realschulabschluss","1144","0.638312007477904","0.616231182563115","0.660392832392692"
"middle vocational","1985","(Fach-)Abitur","378","0.437024725271892","0.402501674866198","0.471547775677587"
"middle vocational","1985","AkademikerInnen","","","",""
"vocational + Abi","1985","(noch) kein Abschluss","","","",""
"vocational + Abi","1985","Hauptschulabschluss","","","",""
"vocational + Abi","1985","Realschulabschluss","","","",""
"vocational + Abi","1985","(Fach-)Abitur","280","0.340962186375929","0.307969340907461","0.373955031844397"
"vocational + Abi","1985","AkademikerInnen","","","",""
"higher vocational","1985","(noch) kein Abschluss","","","",""
"higher vocational","1985","Hauptschulabschluss","281","0.0496336397170617","0.0443423392175648","0.0549249402165586"
"higher vocational","1985","Realschulabschluss","200","0.10954672424487","0.0951939118851743","0.123899536604566"
"higher vocational","1985","(Fach-)Abitur","135","0.222013088352179","0.193087184930467","0.25093899177389"
"higher vocational","1985","AkademikerInnen","","","",""
"higher education","1985","(noch) kein Abschluss","","","",""
"higher education","1985","Hauptschulabschluss","","","",""
"higher education","1985","Realschulabschluss","","","",""
"higher education","1985","(Fach-)Abitur","","","",""
"higher education","1985","AkademikerInnen","758","1","1","1"
"in school","1986","(noch) kein Abschluss","188","0.37847687485151","0.349028417310539","0.407925332392481"
"in school","1986","Hauptschulabschluss","","","",""
"in school","1986","Realschulabschluss","","","",""
"in school","1986","(Fach-)Abitur","","","",""
