syear,bula_h,sampreg,plb0219_v1,proportion,n,lower_confidence,upper_confidence
2005,Nordrhein-Westfalen,West,1.0,0.13690585428518995,20698,0.13222276998855617,0.14158893858182373
2005,Bayern,West,1.0,0.09836667278399706,20698,0.09430943137751417,0.10242391419047996
2005,Baden-Wuerttemberg,West,1.0,0.08689667828959442,20698,0.08305913374956579,0.09073422282962305
2005,Niedersachsen,West,1.0,0.050467975775371626,20698,0.04748565309540205,0.0534502984553412
2005,Hessen,West,1.0,0.043861258946595705,20698,0.041071331661324394,0.046651186231867016
2005,Sachsen,East,1.0,0.040099100752431636,20698,0.03742626423604988,0.04277193726881339
2005,"Rheinland-Pfalz,Saarland",West,1.0,0.03762158194164067,20698,0.035029293376237586,0.04021387050704375
2005,Nordrhein-Westfalen,West,5.0,0.03596990273444669,20698,0.0334329825243726,0.03850682294452078
2005,Bayern,West,5.0,0.02587630757937236,20698,0.0237133396229599,0.02803927553578482
2005,Thueringen,East,1.0,0.022756469076894843,20698,0.020724833914320492,0.024788104239469193
2005,Sachsen-Anhalt,East,1.0,0.022481189209029178,20698,0.02046159516069517,0.024500783257363185
2005,Brandenburg,East,1.0,0.02229766929711874,20698,0.020286146586157048,0.02430919200808043
2005,Nordrhein-Westfalen,West,3.0,0.01844375114699945,20698,0.01661070202598764,0.020276800268011257
2005,Baden-Wuerttemberg,West,5.0,0.017984951367223345,20698,0.016174421950351906,0.019795480784094783
2005,Schleswig-Holstein,West,1.0,0.01770967149935768,20698,0.015912799807530496,0.019506543191184864
2005,Niedersachsen,West,5.0,0.017067351807671133,20698,0.01530279018076835,0.018831913434573917
2005,Sachsen,East,5.0,0.014773352908790604,20698,0.013129740198536707,0.0164169656190445
2005,Hessen,West,5.0,0.01440631308496972,20698,0.012782944037887071,0.016029682132052366
2005,Mecklenburg-Vorpommern,East,1.0,0.013029913745641402,20698,0.011484962974562873,0.01457486451671993
2005,Nordrhein-Westfalen,West,4.0,0.011745274362268306,20698,0.010277504679549642,0.01321304404498697
2005,Berlin,West,1.0,0.010827674802716094,20698,0.009417751590576295,0.012237598014855893
2005,Nordrhein-Westfalen,West,2.0,0.010552394934850431,20698,0.009160316200160182,0.01194447366954068
2005,Bayern,West,3.0,0.010277115066984768,20698,0.008903122776802176,0.01165110735716736
2005,"Rheinland-Pfalz,Saarland",West,5.0,0.010001835199119104,20698,0.008646181005069678,0.011357489393168529
2005,Hamburg,West,1.0,0.009543035419342998,20698,0.008218532398953128,0.010867538439732868
2005,Bayern,West,2.0,0.008992475683611672,20698,0.007706389738589985,0.01027856162863336
2005,Baden-Wuerttemberg,West,3.0,0.008258396035969904,20698,0.007025464391878146,0.00949132768006166
2005,Berlin,East,1.0,0.008166636080014682,20698,0.00694051647049061,0.009392755689538755
2005,Schleswig-Holstein,West,5.0,0.00807487612405946,20698,0.006855607888923534,0.009294144359195388
2005,Bayern,West,4.0,0.0074325564323729125,20698,0.006262407877040931,0.008602704987704893
2005,Niedersachsen,West,3.0,0.007340796476417691,20698,0.006177839740395074,0.008503753212440308
2005,Sachsen-Anhalt,East,5.0,0.00724903652046247,20698,0.0060933177083500305,0.00840475533257491
2005,Niedersachsen,West,2.0,0.007065516608552028,20698,0.005924415472904062,0.008206617744199994
2005,Brandenburg,East,5.0,0.006698476784731143,20698,0.0055872045615858335,0.0078097490078764525
2005,Thueringen,East,5.0,0.006514956872820701,20698,0.0054189120393466905,0.007611001706294711
2005,Baden-Wuerttemberg,West,2.0,0.00642319691686548,20698,0.005334847822937672,0.007511546010793288
2005,Sachsen,East,3.0,0.005689117269223711,20698,0.004664467564088564,0.006713766974358857
2005,Baden-Wuerttemberg,West,4.0,0.005689117269223711,20698,0.004664467564088564,0.006713766974358857
2005,Hessen,West,3.0,0.0055055973573132685,20698,0.0044975167156074015,0.0065136779990191355
2005,Sachsen-Anhalt,East,3.0,0.005322077445402826,20698,0.004330849096276299,0.006313305794529354
2005,Hessen,West,2.0,0.005230317489447605,20698,0.004247626041525049,0.0062130089373701606
2005,Niedersachsen,West,4.0,0.004679757753716278,20698,0.003749967510451295,0.005609547996981262
2005,"Rheinland-Pfalz,Saarland",West,3.0,0.004679757753716278,20698,0.003749967510451295,0.005609547996981262
2005,Berlin,West,5.0,0.004496237841805836,20698,0.0035847770926141108,0.0054076985909975615
2005,Brandenburg,East,3.0,0.0042209579739401724,20698,0.0033377176570943646,0.00510419829078598
2005,Hessen,West,4.0,0.00403743806202973,20698,0.003173532394088015,0.004901343729971445
2005,Mecklenburg-Vorpommern,East,5.0,0.00403743806202973,20698,0.003173532394088015,0.004901343729971445
2005,Thueringen,East,3.0,0.003945678106074509,20698,0.0030916066291214244,0.004799749583027593
2005,Sachsen,East,2.0,0.0034868783262984033,20698,0.0026838113126624544,0.004289945339934352
2005,"Rheinland-Pfalz,Saarland",West,2.0,0.0034868783262984033,20698,0.0026838113126624544,0.004289945339934352
2005,Berlin,East,5.0,0.0033951183703431823,20698,0.0026026519925041636,0.004187584748182201
2005,Sachsen,East,4.0,0.003303358414387961,20698,0.002521638409452829,0.004085078419323093
2005,"Rheinland-Pfalz,Saarland",West,4.0,0.00321159845843274,20698,0.002440776658843738,0.0039824202580217415
2005,Bremen,West,1.0,0.003119838502477519,20698,0.0023600732743821375,0.0038796037305729005
2005,Thueringen,East,2.0,0.0028445586346118553,20698,0.0021189862301624054,0.0035701310390613052
2005,Berlin,East,3.0,0.002569278766746192,20698,0.0018796126904219437,0.0032589448430704404
2005,Hamburg,West,5.0,0.002569278766746192,20698,0.0018796126904219437,0.0032589448430704404
2005,Brandenburg,East,4.0,0.002477518810790971,20698,0.0018002490171332513,0.0031547886044486907
2005,Mecklenburg-Vorpommern,East,3.0,0.0023857588548357495,20698,0.0017211188586985838,0.003050398850972915
2005,Schleswig-Holstein,West,3.0,0.0022939988988805284,20698,0.0016422357900560043,0.0029457620077050525
2005,Sachsen-Anhalt,East,2.0,0.0022022389429253073,20698,0.001563614757602389,0.0028408631282482253
2005,Brandenburg,East,2.0,0.0021104789869700862,20698,0.0014852722814482496,0.002735685692491923
2005,Berlin,West,2.0,0.002018719031014865,20698,0.001407226697722835,0.0026302113643068953
2005,Bremen,West,5.0,0.0017434391631492017,20698,0.0011750885074942167,0.0023117898188041866
