year,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Heterosexual,0.63478,4193,4488,0.62069,0.64887
2016,1st Quintile,Bisexual,0.00680,42,4488,0.00439,0.00920
2016,1st Quintile,No answer/ Do not wish to respond,0.05132,253,4488,0.04486,0.05777
2016,2nd Quintile,Heterosexual,0.66073,4328,4614,0.64707,0.67440
2016,2nd Quintile,Homosexual,0.00800,33,4614,0.00543,0.01057
2016,2nd Quintile,No answer/ Do not wish to respond,0.05404,253,4614,0.04752,0.06057
2016,3rd Quintile,Heterosexual,0.70169,3985,4190,0.68784,0.71555
2016,3rd Quintile,No answer/ Do not wish to respond,0.04589,205,4190,0.03955,0.05223
2016,4th Quintile,Heterosexual,0.73641,4002,4221,0.72312,0.74971
2016,4th Quintile,Homosexual,0.01018,33,4221,0.00715,0.01321
2016,4th Quintile,No answer/ Do not wish to respond,0.04306,186,4221,0.03694,0.04919
2016,5th Quintile,Heterosexual,0.79471,4297,4506,0.78292,0.80651
2016,5th Quintile,Homosexual,0.01159,49,4506,0.00846,0.01471
2016,5th Quintile,No answer/ Do not wish to respond,0.03364,160,4506,0.02838,0.03891
2019,1st Quintile,Heterosexual,0.67765,3946,4390,0.66382,0.69147
2019,1st Quintile,Homosexual,0.00541,35,4390,0.00324,0.00758
2019,1st Quintile,Bisexual,0.01183,101,4390,0.00863,0.01503
2019,1st Quintile,No answer/ Do not wish to respond,0.06161,308,4390,0.05450,0.06873
2019,2nd Quintile,Heterosexual,0.73072,4354,4753,0.71810,0.74333
2019,2nd Quintile,Homosexual,0.00506,38,4753,0.00305,0.00708
2019,2nd Quintile,Bisexual,0.00594,63,4753,0.00375,0.00812
2019,2nd Quintile,No answer/ Do not wish to respond,0.06990,298,4753,0.06265,0.07715
2019,3rd Quintile,Heterosexual,0.77859,4209,4468,0.76641,0.79076
2019,3rd Quintile,Bisexual,0.00495,47,4468,0.00289,0.00700
2019,3rd Quintile,No answer/ Do not wish to respond,0.04661,212,4468,0.04043,0.05279
2019,4th Quintile,Heterosexual,0.80608,4026,4260,0.79420,0.81795
2019,4th Quintile,Homosexual,0.00684,42,4260,0.00436,0.00931
2019,4th Quintile,Bisexual,0.00540,42,4260,0.00320,0.00760
2019,4th Quintile,No answer/ Do not wish to respond,0.03394,150,4260,0.02850,0.03938
2019,5th Quintile,Heterosexual,0.85096,4547,4771,0.84086,0.86107
2019,5th Quintile,Homosexual,0.00639,57,4771,0.00413,0.00866
2019,5th Quintile,Bisexual,0.00333,37,4771,0.00169,0.00496
2019,5th Quintile,No answer/ Do not wish to respond,0.03301,130,4771,0.02794,0.03808
