year,bula_h,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Heterosexual,0.72185,715,752,0.68981,0.75390
2016,Schleswig-Holstein,No answer/ Do not wish to respond,0.03128,37,752,0.01883,0.04373
2016,Hamburg,Heterosexual,0.71504,389,389,0.67012,0.75996
2016,Lower Saxony,Heterosexual,0.71172,2115,2189,0.69274,0.73070
2016,Lower Saxony,No answer/ Do not wish to respond,0.03713,74,2189,0.02920,0.04505
2016,Bremen,Heterosexual,0.73710,164,164,0.66952,0.80468
2016,North Rhine-Westphalia,Heterosexual,0.70674,4350,4540,0.69350,0.71999
2016,North Rhine-Westphalia,Homosexual,0.01200,34,4540,0.00884,0.01517
2016,North Rhine-Westphalia,No answer/ Do not wish to respond,0.03457,156,4540,0.02925,0.03988
2016,Hesse,Heterosexual,0.69336,1397,1479,0.66985,0.71687
2016,Hesse,No answer/ Do not wish to respond,0.04920,82,1479,0.03818,0.06023
2016,"Rhineland-Palatinate, Saarland",Heterosexual,0.65895,1169,1283,0.63300,0.68490
2016,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.05513,114,1283,0.04264,0.06763
2016,Baden-Wuerttemberg,Heterosexual,0.72963,2595,2712,0.71292,0.74635
2016,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.05281,117,2712,0.04439,0.06123
2016,Bavaria,Heterosexual,0.67834,3207,3417,0.66268,0.69401
2016,Bavaria,No answer/ Do not wish to respond,0.05718,210,3417,0.04940,0.06497
2016,Berlin,Heterosexual,0.72277,799,833,0.69235,0.75319
2016,Berlin,Homosexual,0.03616,34,833,0.02348,0.04885
2016,Brandenburg,Heterosexual,0.65611,796,850,0.62416,0.68806
2016,Brandenburg,No answer/ Do not wish to respond,0.08548,54,850,0.06667,0.10429
2016,Mecklenburg-Western Pomerania,Heterosexual,0.67832,434,434,0.63432,0.72232
2016,Saxony,Heterosexual,0.72446,1227,1303,0.70020,0.74873
2016,Saxony,No answer/ Do not wish to respond,0.04750,76,1303,0.03594,0.05905
2016,Saxony-Anhalt,Heterosexual,0.70787,718,768,0.67568,0.74005
2016,Saxony-Anhalt,No answer/ Do not wish to respond,0.05118,50,768,0.03559,0.06678
2016,Thuringa,Heterosexual,0.66845,734,768,0.63514,0.70177
2016,Thuringa,No answer/ Do not wish to respond,0.04210,34,768,0.02789,0.05631
2019,Schleswig-Holstein,Heterosexual,0.71326,868,921,0.68404,0.74248
2019,Schleswig-Holstein,No answer/ Do not wish to respond,0.05981,53,921,0.04449,0.07514
2019,Hamburg,Heterosexual,0.73622,477,477,0.69663,0.77581
2019,Lower Saxony,Heterosexual,0.76588,2296,2409,0.74897,0.78280
2019,Lower Saxony,No answer/ Do not wish to respond,0.04420,113,2409,0.03599,0.05241
2019,Bremen,Heterosexual,0.75017,199,199,0.68987,0.81047
2019,North Rhine-Westphalia,Heterosexual,0.76651,4966,5269,0.75509,0.77793
2019,North Rhine-Westphalia,Homosexual,0.00430,40,5269,0.00253,0.00607
2019,North Rhine-Westphalia,Bisexual,0.00416,67,5269,0.00242,0.00590
2019,North Rhine-Westphalia,No answer/ Do not wish to respond,0.04395,196,5269,0.03842,0.04949
2019,Hesse,Heterosexual,0.75278,1560,1615,0.73173,0.77383
2019,Hesse,No answer/ Do not wish to respond,0.03810,55,1615,0.02876,0.04744
2019,"Rhineland-Palatinate, Saarland",Heterosexual,0.73685,1299,1416,0.71390,0.75979
2019,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.06722,117,1416,0.05417,0.08026
2019,Baden-Wuerttemberg,Heterosexual,0.73700,2563,2691,0.72036,0.75363
2019,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.05604,128,2691,0.04735,0.06473
2019,Bavaria,Heterosexual,0.75984,3620,3833,0.74631,0.77336
2019,Bavaria,Bisexual,0.00563,38,3833,0.00326,0.00800
2019,Bavaria,No answer/ Do not wish to respond,0.04235,175,3833,0.03597,0.04873
2019,Berlin,Heterosexual,0.73403,832,949,0.70590,0.76215
2019,Berlin,Homosexual,0.02187,43,949,0.01256,0.03118
2019,Berlin,Bisexual,0.02053,37,949,0.01150,0.02955
2019,Berlin,No answer/ Do not wish to respond,0.04143,37,949,0.02874,0.05411
2019,Brandenburg,Heterosexual,0.72926,1024,1079,0.70273,0.75578
2019,Brandenburg,No answer/ Do not wish to respond,0.06127,55,1079,0.04695,0.07558
2019,Mecklenburg-Western Pomerania,Heterosexual,0.77300,576,576,0.73876,0.80724
2019,Saxony,Heterosexual,0.77404,1475,1564,0.75331,0.79477
2019,Saxony,No answer/ Do not wish to respond,0.04273,89,1564,0.03270,0.05275
2019,Saxony-Anhalt,Heterosexual,0.76423,807,856,0.73578,0.79268
2019,Saxony-Anhalt,No answer/ Do not wish to respond,0.05170,49,856,0.03686,0.06654
2019,Thuringa,Heterosexual,0.76284,838,892,0.73491,0.79077
2019,Thuringa,No answer/ Do not wish to respond,0.06522,54,892,0.04900,0.08143
