year,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Heterosexual,0.70171,20809,22155,0.69568,0.70773
2016,Homosexual,0.00883,157,22155,0.00760,0.01007
2016,Bisexual,0.00429,130,22155,0.00343,0.00515
2016,No answer/ Do not wish to respond,0.04527,1059,22155,0.04254,0.04801
2019,Heterosexual,0.75363,23400,25099,0.74830,0.75896
2019,Homosexual,0.00541,220,25099,0.00450,0.00631
2019,Bisexual,0.00624,312,25099,0.00526,0.00721
2019,No answer/ Do not wish to respond,0.04786,1167,25099,0.04522,0.05050
