year,age_gr,bula_h,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Schleswig-Holstein,Heterosexual,0.86069,114,114,0.79684,0.92453
2016,17-29 y.,Hamburg,Heterosexual,0.78981,59,59,0.68495,0.89467
2016,17-29 y.,Lower Saxony,Heterosexual,0.82178,393,393,0.78390,0.85967
2016,17-29 y.,Bremen,Heterosexual,0.83890,35,35,0.71533,0.96247
2016,17-29 y.,North Rhine-Westphalia,Heterosexual,0.75941,742,742,0.72864,0.79019
2016,17-29 y.,Hesse,Heterosexual,0.76526,221,221,0.70925,0.82127
2016,17-29 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.72203,189,189,0.65799,0.78607
2016,17-29 y.,Baden-Wuerttemberg,Heterosexual,0.84097,422,422,0.80603,0.87590
2016,17-29 y.,Bavaria,Heterosexual,0.78100,526,526,0.74562,0.81638
2016,17-29 y.,Berlin,Heterosexual,0.88078,125,125,0.82374,0.93781
2016,17-29 y.,Brandenburg,Heterosexual,0.75691,95,95,0.67020,0.84363
2016,17-29 y.,Mecklenburg-Western Pomerania,Heterosexual,0.85014,57,57,0.75666,0.94363
2016,17-29 y.,Saxony,Heterosexual,0.88354,172,172,0.83546,0.93162
2016,17-29 y.,Saxony-Anhalt,Heterosexual,0.78492,100,100,0.70398,0.86586
2016,17-29 y.,Thuringa,Heterosexual,0.79620,93,93,0.71389,0.87852
2016,30-45 y.,Schleswig-Holstein,Heterosexual,0.90933,242,242,0.87308,0.94558
2016,30-45 y.,Hamburg,Heterosexual,0.94481,127,127,0.90494,0.98468
2016,30-45 y.,Lower Saxony,Heterosexual,0.89138,600,600,0.86646,0.91630
2016,30-45 y.,Bremen,Heterosexual,0.94502,55,55,0.88422,1.00582
2016,30-45 y.,North Rhine-Westphalia,Heterosexual,0.89444,1372,1372,0.87817,0.91070
2016,30-45 y.,Hesse,Heterosexual,0.92405,427,427,0.89889,0.94921
2016,30-45 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.83140,325,325,0.79063,0.87216
2016,30-45 y.,Baden-Wuerttemberg,Heterosexual,0.91647,882,882,0.89820,0.93474
2016,30-45 y.,Bavaria,Heterosexual,0.84746,1005,1047,0.82567,0.86925
2016,30-45 y.,Bavaria,No answer/ Do not wish to respond,0.05489,42,1047,0.04109,0.06869
2016,30-45 y.,Berlin,Heterosexual,0.83868,240,240,0.79205,0.88531
2016,30-45 y.,Brandenburg,Heterosexual,0.83482,195,195,0.78257,0.88708
2016,30-45 y.,Mecklenburg-Western Pomerania,Heterosexual,0.77469,113,113,0.69731,0.85206
2016,30-45 y.,Saxony,Heterosexual,0.90055,357,357,0.86946,0.93163
2016,30-45 y.,Saxony-Anhalt,Heterosexual,0.90376,202,202,0.86299,0.94453
2016,30-45 y.,Thuringa,Heterosexual,0.87728,232,232,0.83497,0.91959
2016,46-65 y.,Schleswig-Holstein,Heterosexual,0.89954,233,233,0.86086,0.93822
2016,46-65 y.,Hamburg,Heterosexual,0.89516,128,128,0.84188,0.94844
2016,46-65 y.,Lower Saxony,Heterosexual,0.84293,741,741,0.81672,0.86915
2016,46-65 y.,Bremen,Heterosexual,0.91774,47,47,0.83833,0.99714
2016,46-65 y.,North Rhine-Westphalia,Heterosexual,0.84396,1532,1583,0.82607,0.86184
2016,46-65 y.,North Rhine-Westphalia,No answer/ Do not wish to respond,0.04324,51,1583,0.03322,0.05326
2016,46-65 y.,Hesse,Heterosexual,0.83808,548,588,0.80828,0.86788
2016,46-65 y.,Hesse,No answer/ Do not wish to respond,0.07912,40,588,0.05728,0.10095
2016,46-65 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.78331,428,473,0.74614,0.82048
2016,46-65 y.,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.05612,45,473,0.03535,0.07688
2016,46-65 y.,Baden-Wuerttemberg,Heterosexual,0.89862,864,900,0.87889,0.91835
2016,46-65 y.,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.05303,36,900,0.03838,0.06768
2016,46-65 y.,Bavaria,Heterosexual,0.82499,1147,1221,0.80367,0.84631
2016,46-65 y.,Bavaria,No answer/ Do not wish to respond,0.05677,74,1221,0.04379,0.06976
2016,46-65 y.,Berlin,Heterosexual,0.81342,260,260,0.76598,0.86087
2016,46-65 y.,Brandenburg,Heterosexual,0.78716,325,325,0.74259,0.83173
2016,46-65 y.,Mecklenburg-Western Pomerania,Heterosexual,0.81909,168,168,0.76071,0.87747
2016,46-65 y.,Saxony,Heterosexual,0.83089,441,475,0.79714,0.86463
2016,46-65 y.,Saxony,No answer/ Do not wish to respond,0.07375,34,475,0.05022,0.09728
2016,46-65 y.,Saxony-Anhalt,Heterosexual,0.78064,259,259,0.73015,0.83114
2016,46-65 y.,Thuringa,Heterosexual,0.79660,270,270,0.74850,0.84471
2016,66 and older,Schleswig-Holstein,Heterosexual,0.74245,126,126,0.66579,0.81910
2016,66 and older,Hamburg,Heterosexual,0.73880,75,75,0.63871,0.83889
2016,66 and older,Lower Saxony,Heterosexual,0.75625,381,414,0.71484,0.79766
2016,66 and older,Lower Saxony,No answer/ Do not wish to respond,0.07422,33,414,0.04894,0.09950
2016,66 and older,North Rhine-Westphalia,Heterosexual,0.80711,704,754,0.77893,0.83529
2016,66 and older,North Rhine-Westphalia,No answer/ Do not wish to respond,0.06307,50,754,0.04571,0.08043
2016,66 and older,Hesse,Heterosexual,0.72012,201,201,0.65790,0.78234
2016,66 and older,"Rhineland-Palatinate, Saarland",Heterosexual,0.73114,227,227,0.67334,0.78895
2016,66 and older,Baden-Wuerttemberg,Heterosexual,0.78119,427,476,0.74401,0.81837
2016,66 and older,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.14247,49,476,0.11104,0.17391
2016,66 and older,Bavaria,Heterosexual,0.71394,529,605,0.67790,0.74998
2016,66 and older,Bavaria,No answer/ Do not wish to respond,0.11418,76,605,0.08881,0.13954
2016,66 and older,Berlin,Heterosexual,0.85969,174,174,0.80793,0.91144
2016,66 and older,Brandenburg,Heterosexual,0.66532,181,181,0.59638,0.73426
2016,66 and older,Mecklenburg-Western Pomerania,Heterosexual,0.76043,96,96,0.67461,0.84626
2016,66 and older,Saxony,Heterosexual,0.74737,257,257,0.69414,0.80060
2016,66 and older,Saxony-Anhalt,Heterosexual,0.81093,157,157,0.74948,0.87237
2016,66 and older,Thuringa,Heterosexual,0.63159,139,139,0.55111,0.71207
2019,17-29 y.,Schleswig-Holstein,Heterosexual,0.73601,120,120,0.65682,0.81521
2019,17-29 y.,Hamburg,Heterosexual,0.78430,61,61,0.68022,0.88837
2019,17-29 y.,Lower Saxony,Heterosexual,0.85248,406,406,0.81795,0.88702
2019,17-29 y.,Bremen,Heterosexual,0.70061,44,44,0.56371,0.83750
2019,17-29 y.,North Rhine-Westphalia,Heterosexual,0.82977,836,908,0.80531,0.85423
2019,17-29 y.,North Rhine-Westphalia,Bisexual,0.01215,36,908,0.00502,0.01928
2019,17-29 y.,North Rhine-Westphalia,No answer/ Do not wish to respond,0.03923,36,908,0.02660,0.05187
2019,17-29 y.,Hesse,Heterosexual,0.80648,244,244,0.75681,0.85615
2019,17-29 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.78884,199,199,0.73199,0.84569
2019,17-29 y.,Baden-Wuerttemberg,Heterosexual,0.84134,359,359,0.80349,0.87918
2019,17-29 y.,Bavaria,Heterosexual,0.81277,494,494,0.77833,0.84720
2019,17-29 y.,Berlin,Heterosexual,0.79038,99,99,0.70979,0.87097
2019,17-29 y.,Brandenburg,Heterosexual,0.76926,114,114,0.69158,0.84694
2019,17-29 y.,Mecklenburg-Western Pomerania,Heterosexual,0.79701,64,64,0.69768,0.89633
2019,17-29 y.,Saxony,Heterosexual,0.75742,155,155,0.68972,0.82512
2019,17-29 y.,Saxony-Anhalt,Heterosexual,0.71260,92,92,0.61961,0.80558
2019,17-29 y.,Thuringa,Heterosexual,0.79365,87,87,0.70812,0.87918
2019,30-45 y.,Schleswig-Holstein,Heterosexual,0.88691,243,243,0.84701,0.92681
2019,30-45 y.,Hamburg,Heterosexual,0.93903,128,128,0.89742,0.98065
2019,30-45 y.,Lower Saxony,Heterosexual,0.91633,522,522,0.89256,0.94011
2019,30-45 y.,Bremen,Heterosexual,0.91270,38,38,0.82174,1.00365
2019,30-45 y.,North Rhine-Westphalia,Heterosexual,0.92345,1221,1221,0.90854,0.93837
2019,30-45 y.,Hesse,Heterosexual,0.88050,354,354,0.84667,0.91434
2019,30-45 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.89514,281,281,0.85925,0.93102
2019,30-45 y.,Baden-Wuerttemberg,Heterosexual,0.91444,678,678,0.89337,0.93551
2019,30-45 y.,Bavaria,Heterosexual,0.94220,934,934,0.92723,0.95718
2019,30-45 y.,Berlin,Heterosexual,0.82912,245,245,0.78189,0.87635
2019,30-45 y.,Brandenburg,Heterosexual,0.92362,208,208,0.88744,0.95981
2019,30-45 y.,Mecklenburg-Western Pomerania,Heterosexual,0.90015,126,126,0.84760,0.95271
2019,30-45 y.,Saxony,Heterosexual,0.94621,397,397,0.92399,0.96843
2019,30-45 y.,Saxony-Anhalt,Heterosexual,0.91212,192,192,0.87196,0.95227
2019,30-45 y.,Thuringa,Heterosexual,0.93730,213,213,0.90466,0.96993
2019,46-65 y.,Schleswig-Holstein,Heterosexual,0.92507,327,327,0.89649,0.95365
2019,46-65 y.,Hamburg,Heterosexual,0.90429,185,185,0.86178,0.94680
2019,46-65 y.,Lower Saxony,Heterosexual,0.94893,957,957,0.93497,0.96288
2019,46-65 y.,Bremen,Heterosexual,0.89289,73,73,0.82145,0.96432
