"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2017","3.27","2.5","38806","3.24","3.3"
"2018","3.32","2.5","44617","3.29","3.35"
"2019","","","","",""
"2020","3.34","2.5","37900","3.31","3.37"
