"year","bula_h","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2017","Baden-Württemberg","3.19","2.5","4584","3.11","3.27"
"2017","Bayern","3.23","2.5","6208","3.16","3.3"
"2017","Berlin","3.24","2.5","1375","3.09","3.39"
"2017","Brandenburg","3.8","3.5","1393","3.66","3.94"
"2017","Bremen","4.14","3.5","325","3.78","4.5"
"2017","Hamburg","3.03","1.5","725","2.82","3.24"
"2017","Hessen","3.26","2.5","2667","3.15","3.37"
"2017","Mecklenburg-Vorpommern","3.32","2.5","799","3.14","3.5"
"2017","Niedersachsen","3.16","2.5","3906","3.07","3.25"
"2017","Nordrhein-Westfalen","3.14","2.5","8279","3.08","3.2"
"2017","Rheinland-Pfalz,Saarland","3.1","2.5","2187","2.98","3.22"
"2017","Sachsen","3.6","3.5","2270","3.49","3.71"
"2017","Sachsen-Anhalt","3.84","3.5","1309","3.68","4"
"2017","Schleswig-Holstein","3.13","2.5","1440","2.99","3.27"
"2017","Thüringen","4.13","4.5","1339","3.98","4.28"
"2018","Baden-Württemberg","3.41","2.5","5037","3.33","3.49"
"2018","Bayern","3.14","2.5","6350","3.07","3.21"
"2018","Berlin","3.57","2.5","1643","3.43","3.71"
"2018","Brandenburg","3.81","3.5","1565","3.67","3.95"
"2018","Bremen","4.02","3.5","529","3.76","4.28"
"2018","Hamburg","2.59","1.5","878","2.4","2.78"
"2018","Hessen","3.44","2.5","3319","3.34","3.54"
"2018","Mecklenburg-Vorpommern","3.66","3.5","869","3.48","3.84"
"2018","Niedersachsen","3.27","2.5","4858","3.19","3.35"
"2018","Nordrhein-Westfalen","3.19","2.5","9906","3.13","3.25"
"2018","Rheinland-Pfalz,Saarland","3.25","2.5","2742","3.15","3.35"
"2018","Sachsen","3.63","3.5","2428","3.52","3.74"
"2018","Sachsen-Anhalt","3.65","3.5","1315","3.49","3.81"
"2018","Schleswig-Holstein","2.94","1.5","1817","2.81","3.07"
"2018","Thüringen","3.93","3.5","1361","3.78","4.08"
"2019","Baden-Württemberg","","","","",""
"2019","Bayern","","","","",""
"2019","Berlin","","","","",""
"2019","Brandenburg","","","","",""
"2019","Bremen","","","","",""
"2019","Hamburg","","","","",""
"2019","Hessen","","","","",""
"2019","Mecklenburg-Vorpommern","","","","",""
"2019","Niedersachsen","","","","",""
"2019","Nordrhein-Westfalen","","","","",""
"2019","Rheinland-Pfalz,Saarland","","","","",""
"2019","Sachsen","","","","",""
"2019","Sachsen-Anhalt","","","","",""
"2019","Schleswig-Holstein","","","","",""
"2019","Thüringen","","","","",""
"2020","Baden-Württemberg","3.23","2.5","4380","3.15","3.31"
"2020","Bayern","3.41","2.5","6261","3.34","3.48"
"2020","Berlin","3.34","2.5","1684","3.21","3.47"
"2020","Brandenburg","3.85","3.5","1495","3.71","3.99"
"2020","Bremen","4.09","4.5","304","3.76","4.42"
"2020","Hamburg","2.99","2.5","826","2.81","3.17"
"2020","Hessen","3.62","2.5","2528","3.51","3.73"
"2020","Mecklenburg-Vorpommern","2.77","1.5","702","2.58","2.96"
"2020","Niedersachsen","3.31","2.5","3545","3.22","3.4"
"2020","Nordrhein-Westfalen","3.21","2.5","8140","3.15","3.27"
"2020","Rheinland-Pfalz,Saarland","3.32","2.5","2011","3.2","3.44"
"2020","Sachsen","3.59","3.5","2145","3.48","3.7"
"2020","Sachsen-Anhalt","3.22","2.5","1235","3.07","3.37"
"2020","Schleswig-Holstein","3.17","2.5","1376","3.03","3.31"
"2020","Thüringen","3.51","3.5","1268","3.36","3.66"
