year,hhtyp,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Single-person household,Urban regions,961,59.76972,57.91458,61.62487,45.00000,56.00000,70.00000,9.00000,107.50000,,,
1985,Single-person household,Rural regions,179,68.30429,64.34010,72.26848,50.00000,60.34719,80.00000,13.00000,125.00000,,,
1985,Couple without children,Urban regions,966,81.61624,79.83278,83.39969,62.00000,75.00000,96.00000,20.00000,147.00000,,,
1985,Couple without children,Rural regions,259,91.55885,87.62666,95.49105,68.09619,90.00000,105.00000,32.00000,160.35571,,,
1985,Single parent,Urban regions,232,87.52141,83.01506,92.02777,63.00000,80.00000,100.52893,20.00000,156.82233,,,
1985,Single parent,Rural regions,61,89.82922,81.65151,98.00693,70.00000,84.44672,100.00000,40.00000,145.00000,,,
1985,Couple with children,Urban regions,1876,102.37972,100.75522,104.00421,78.00000,96.00000,120.00000,20.00000,183.00000,,,
1985,Couple with children,Rural regions,499,111.15333,108.06912,114.23754,88.29579,110.00000,130.00000,30.00000,192.55631,,,
1985,Multi-generational household,Urban regions,71,117.71601,105.68683,129.74519,80.00000,100.00000,149.59210,28.00000,245.00000,,,
1985,Multi-generational household,Rural regions,45,118.41286,105.31883,131.50689,84.82318,113.64120,140.00000,56.00000,222.76523,,,
1985,Other Combinations,Urban regions,99,89.07688,81.91727,96.23649,65.00000,80.00000,106.45223,25.00000,168.63057,,,
1985,Other Combinations,Rural regions,,,,,,,,,,,,
1986,Single-person household,Urban regions,911,60.19075,58.25230,62.12920,45.00000,57.00000,70.00000,8.00000,107.50000,,,
1986,Single-person household,Rural regions,168,68.17947,64.15729,72.20165,50.69364,60.41943,80.00000,16.00000,123.95953,,,
1986,Couple without children,Urban regions,969,82.55585,80.67527,84.43643,63.00000,76.00000,97.00000,20.00000,148.00000,,,
1986,Couple without children,Rural regions,236,92.32295,88.24476,96.40114,68.86017,90.00000,110.00000,35.00000,171.70975,,,
1986,Single parent,Urban regions,220,90.59929,85.54326,95.65531,65.00000,80.00000,105.38406,20.00000,165.96015,,,
1986,Single parent,Rural regions,61,98.46005,87.35503,109.56508,69.11268,90.00000,110.00000,43.00000,171.33098,,,
1986,Couple with children,Urban regions,1760,102.16503,100.57858,103.75147,79.00000,98.00000,120.00000,30.00000,181.50000,,,
1986,Couple with children,Rural regions,478,113.00585,109.64093,116.37076,89.00000,108.00000,130.00000,30.00000,191.50000,,,
1986,Multi-generational household,Urban regions,74,108.64788,96.43425,120.86151,75.51587,85.00000,139.23720,28.00000,234.81921,,,
1986,Multi-generational household,Rural regions,43,116.27244,104.72280,127.82209,90.00000,110.00000,137.63491,56.00000,209.08728,,,
1986,Other Combinations,Urban regions,92,91.27528,84.15835,98.39221,65.00000,84.96396,107.55794,25.00000,171.39484,,,
1986,Other Combinations,Rural regions,,,,,,,,,,,,
1987,Single-person household,Urban regions,910,59.89375,58.34968,61.43781,45.00000,57.00000,70.00000,11.00000,107.50000,,,
1987,Single-person household,Rural regions,168,69.96524,65.88724,74.04323,53.79474,64.88792,81.27769,16.00000,122.50212,,,
1987,Couple without children,Urban regions,949,83.62247,81.70002,85.54492,63.52568,78.00000,100.00000,16.00000,154.71148,,,
1987,Couple without children,Rural regions,243,93.22983,89.04822,97.41145,69.06575,89.32546,110.00000,35.00000,171.40137,,,
1987,Single parent,Urban regions,212,91.95054,86.64471,97.25638,65.00000,81.01064,110.00000,20.00000,177.50000,,,
1987,Single parent,Rural regions,66,93.96517,83.72536,104.20499,65.38040,84.09307,100.00000,43.00000,151.92941,,,
1987,Couple with children,Urban regions,1727,102.29832,100.69449,103.90215,79.00000,98.00000,120.00000,26.00000,181.50000,,,
1987,Couple with children,Rural regions,466,113.47673,110.01638,116.93707,90.00000,110.00000,130.00000,30.00000,190.00000,,,
1987,Multi-generational household,Urban regions,82,110.76336,99.42983,122.09688,75.23676,94.16038,141.62205,30.00000,241.19999,,,
1987,Multi-generational household,Rural regions,39,117.77712,105.39090,130.16333,90.00000,109.83079,138.89825,68.00000,212.24564,,,
1987,Other Combinations,Urban regions,94,86.03554,79.41161,92.65946,65.00000,80.00000,100.00000,15.00000,152.50000,,,
1987,Other Combinations,Rural regions,,,,,,,,,,,,
1988,Single-person household,Urban regions,870,61.34669,59.67076,63.02263,47.00000,59.00000,70.00000,12.50000,104.50000,,,
1988,Single-person household,Rural regions,167,71.30354,66.84034,75.76673,54.88355,65.00000,88.61997,16.00000,139.22460,,,
1988,Couple without children,Urban regions,938,84.28092,82.35623,86.20562,65.00000,78.00000,100.00000,12.50000,152.50000,,,
1988,Couple without children,Rural regions,230,94.18622,89.66405,98.70839,70.00000,90.00000,115.00000,25.00000,182.50000,,,
1988,Single parent,Urban regions,214,90.38219,85.39522,95.36917,64.53225,82.66216,100.00000,30.00000,153.20162,,,
1988,Single parent,Rural regions,61,98.34674,87.50523,109.18825,70.00000,90.00000,110.92619,36.00000,172.31547,,,
1988,Couple with children,Urban regions,1652,104.31272,102.63365,105.99179,80.00000,100.00000,120.00000,30.00000,180.00000,,,
1988,Couple with children,Rural regions,438,112.78629,109.21583,116.35675,86.82775,110.00000,130.00000,30.00000,194.75837,,,
