year,hhtyp,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,1st Quintile,332,55.41090,52.78268,58.03912,40.00000,50.00000,65.00000,8.00000,102.50000,,,
1984,Single-person household,2nd Quintile,234,59.70111,57.32511,62.07710,48.00000,58.00000,70.00000,15.00000,103.00000,,,
1984,Single-person household,3rd Quintile,234,59.08290,56.38668,61.77912,45.00000,56.00000,70.00000,7.50000,107.50000,,,
1984,Single-person household,4th Quintile,238,61.61262,58.79576,64.42949,48.00000,59.00000,72.48458,11.27312,109.21146,,,
1984,Single-person household,5th Quintile,231,77.37936,72.37913,82.37959,55.00000,70.00000,90.00000,16.00000,142.50000,,,
1984,Couple without children,1st Quintile,164,72.54532,68.67509,76.41556,56.00000,65.06005,86.46697,20.00000,132.16742,,,
1984,Couple without children,2nd Quintile,206,77.53612,74.32137,80.75088,60.72297,71.00000,90.00000,30.00000,133.91554,,,
1984,Couple without children,3rd Quintile,259,77.21306,74.34315,80.08297,61.00000,72.00000,88.56617,30.00000,129.91543,,,
1984,Couple without children,4th Quintile,299,81.01746,78.33792,83.69701,65.00000,75.00000,92.16970,25.00000,132.92425,,,
1984,Couple without children,5th Quintile,422,97.56555,94.15415,100.97696,71.00000,90.00000,120.00000,28.00000,193.50000,,,
1984,Single parent,1st Quintile,122,77.18663,72.81385,81.55942,60.00000,70.50083,90.00000,16.00000,135.00000,,,
1984,Single parent,2nd Quintile,76,86.67818,80.58136,92.77499,70.00000,80.00000,100.00000,40.00000,145.00000,,,
1984,Single parent,3rd Quintile,53,87.85646,79.91191,95.80102,65.21369,81.93002,100.00000,40.00000,152.17947,,,
1984,Single parent,4th Quintile,45,88.74913,79.87503,97.62323,72.00000,80.00000,100.00000,30.00000,142.00000,,,
1984,Single parent,5th Quintile,30,110.56935,92.75370,128.38500,83.87590,100.00000,123.09910,50.00000,181.93390,,,
1984,Couple with children,1st Quintile,534,89.48188,87.14110,91.82266,70.00000,85.82383,104.00000,19.00000,155.00000,,,
1984,Couple with children,2nd Quintile,626,99.94527,97.42884,102.46171,78.00000,96.00000,120.00000,30.00000,183.00000,,,
1984,Couple with children,3rd Quintile,581,101.54170,98.82908,104.25431,78.00000,96.00000,120.00000,35.00000,183.00000,,,
1984,Couple with children,4th Quintile,542,108.83504,105.76045,111.90963,85.00000,103.76616,120.00000,32.50000,172.50000,,,
1984,Couple with children,5th Quintile,352,121.96079,117.65678,126.26480,92.00000,119.33765,140.00000,46.00000,212.00000,,,
1984,Multi-generational household,1st Quintile,33,100.20911,85.54122,114.87700,79.32983,90.00000,114.29917,34.00000,166.75318,,,
1984,Multi-generational household,2nd Quintile,32,104.43572,92.73761,116.13384,77.44577,103.76214,123.65956,49.00000,192.98025,,,
1984,Multi-generational household,3rd Quintile,,,,,,,,,,,,
1984,Multi-generational household,4th Quintile,,,,,,,,,,,,
1984,Multi-generational household,5th Quintile,,,,,,,,,,,,
1984,Other Combinations,1st Quintile,,,,,,,,,,,,
1984,Other Combinations,2nd Quintile,,,,,,,,,,,,
1984,Other Combinations,3rd Quintile,,,,,,,,,,,,
1984,Other Combinations,4th Quintile,32,106.48897,91.29983,121.67811,79.91592,94.00000,120.00000,30.00000,180.12612,,,
1984,Other Combinations,5th Quintile,32,105.03206,89.27282,120.79130,75.78623,89.69503,126.22097,17.00000,200.00000,,,
1985,Single-person household,1st Quintile,301,54.96503,52.52366,57.40639,40.00000,50.00000,65.00000,10.00000,102.50000,,,
1985,Single-person household,2nd Quintile,201,57.98717,55.54404,60.43030,47.00000,56.83625,69.31251,13.53124,102.78127,,,
1985,Single-person household,3rd Quintile,208,58.62680,55.65856,61.59504,45.00000,57.00000,69.87172,9.00000,107.17929,,,
1985,Single-person household,4th Quintile,230,62.56221,59.58745,65.53697,48.00000,60.00000,72.96508,11.00000,110.41271,,,
1985,Single-person household,5th Quintile,195,77.75085,70.73528,84.76642,55.00000,70.00000,90.00000,12.00000,142.50000,,,
1985,Couple without children,1st Quintile,131,69.13270,65.70951,72.55588,56.29543,64.38446,80.00000,24.00000,115.55686,,,
1985,Couple without children,2nd Quintile,199,74.65536,71.12770,78.18302,59.81752,70.00000,82.71380,30.00000,117.05823,,,
