"ple0019","year","age_gr","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","2009","17-34","Hamburg","73","0.938922409296535","0.886115549048172","0.991729269544897"
"Nein","2009","17-34","Niedersachsen","315","0.986836534631037","0.974329323622344","0.99934374563973"
"Nein","2009","17-34","Bremen","27","","",""
"Nein","2009","17-34","Nordrhein-Westfalen","716","0.96531955103966","0.952100901438448","0.978538200640872"
"Nein","2009","17-34","Hessen","256","0.982351660288954","0.966408189715529","0.99829513086238"
"Nein","2009","17-34","Rheinland-Pfalz,Saarland","197","0.951503403114965","0.921953172322603","0.981053633907327"
"Nein","2009","17-34","Baden-Wuerttemberg","531","0.97732295107569","0.964812845969248","0.989833056182132"
"Nein","2009","17-34","Bayern","561","0.969274614547348","0.95518143650324","0.983367792591457"
"Nein","2009","17-34","Saarland","","","",""
"Nein","2009","17-34","Berlin","170","0.987131898851649","0.970337291081867","1.00392650662143"
"Nein","2009","17-34","Brandenburg","151","0.970325897749637","0.943783150558689","0.996868644940586"
"Nein","2009","17-34","Mecklenburg-Vorpommern","90","1","1","1"
"Nein","2009","17-34","Sachsen","311","0.962607658876163","0.94178823370355","0.983427084048776"
"Nein","2009","17-34","Sachsen-Anhalt","184","1","1","1"
"Nein","2009","17-34","Thueringen","191","0.961771526623972","0.93471955819651","0.988823495051433"
"Nein","2009","35-65","Schleswig-Holstein","255","0.977581402036963","0.959757374526284","0.995405429547642"
"Nein","2009","35-65","Hamburg","112","0.900585647744884","0.847490451538016","0.953680843951753"
"Nein","2009","35-65","Niedersachsen","834","0.94022163211663","0.924654938232048","0.955788326001212"
"Nein","2009","35-65","Bremen","63","0.973736998918452","0.93486074370134","1.01261325413556"
"Nein","2009","35-65","Nordrhein-Westfalen","1918","0.923822762610893","0.912308227274469","0.935337297947317"
"Nein","2009","35-65","Hessen","651","0.896862304802509","0.874427756130987","0.919296853474032"
"Nein","2009","35-65","Rheinland-Pfalz,Saarland","553","0.924283776256812","0.903116274533603","0.94545127798002"
"Nein","2009","35-65","Baden-Wuerttemberg","1045","0.928072268283371","0.912907012573916","0.943237523992825"
"Nein","2009","35-65","Bayern","1389","0.93431703443997","0.921683311362225","0.946950757517715"
"Nein","2009","35-65","Saarland","","","",""
"Nein","2009","35-65","Berlin","331","0.89489606892558","0.863346708575937","0.926445429275223"
"Nein","2009","35-65","Brandenburg","394","0.940635005524333","0.917927093133407","0.963342917915258"
"Nein","2009","35-65","Mecklenburg-Vorpommern","256","0.904822792788014","0.869947980107392","0.939697605468636"
"Nein","2009","35-65","Sachsen","695","0.934327764539228","0.916321591775179","0.952333937303277"
"Nein","2009","35-65","Sachsen-Anhalt","382","0.938935169384361","0.915586034708766","0.962284304059957"
"Nein","2009","35-65","Thueringen","388","0.910789459353746","0.883593214088684","0.937985704618808"
"Nein","2009","66 +","Schleswig-Holstein","132","0.943028244138627","0.904214998585296","0.981841489691959"
"Nein","2009","66 +","Hamburg","64","0.952028196796163","0.90047043560151","1.00358595799082"
"Nein","2009","66 +","Niedersachsen","406","0.963272781936684","0.945348301800853","0.981197262072516"
"Nein","2009","66 +","Bremen","26","","",""
"Nein","2009","66 +","Nordrhein-Westfalen","813","0.947183303007019","0.932173457873534","0.962193148140505"
"Nein","2009","66 +","Hessen","235","0.918058746982944","0.883991663542048","0.95212583042384"
"Nein","2009","66 +","Rheinland-Pfalz,Saarland","209","0.957345756009373","0.930703715347817","0.983987796670928"
"Nein","2009","66 +","Baden-Wuerttemberg","427","0.960344732331491","0.94227411013744","0.978415354525541"
"Nein","2009","66 +","Bayern","530","0.948066411190393","0.929622448164982","0.966510374215803"
"Nein","2009","66 +","Saarland","","","",""
"Nein","2009","66 +","Berlin","140","0.9586129037183","0.926413818190659","0.99081198924594"
"Nein","2009","66 +","Brandenburg","213","0.977596385769828","0.957860344163209","0.997332427376448"
"Nein","2009","66 +","Mecklenburg-Vorpommern","104","0.96547712396463","0.931045247482436","0.999909000446823"
"Nein","2009","66 +","Sachsen","316","0.980927757466277","0.966011281858348","0.995844233074206"
"Nein","2009","66 +","Sachsen-Anhalt","171","0.962788315150774","0.9352134195984","0.990363210703148"
"Nein","2009","66 +","Thueringen","203","0.968570985231525","0.944860112765212","0.992281857697839"
"Ja","2010","17-34","Schleswig-Holstein","","","",""
"Ja","2010","17-34","Hamburg","","","",""
"Ja","2010","17-34","Niedersachsen","","","",""
"Ja","2010","17-34","Bremen","","","",""
"Ja","2010","17-34","Nordrhein-Westfalen","","","",""
"Ja","2010","17-34","Hessen","","","",""
"Ja","2010","17-34","Rheinland-Pfalz,Saarland","","","",""
"Ja","2010","17-34","Baden-Wuerttemberg","","","",""
"Ja","2010","17-34","Bayern","","","",""
"Ja","2010","17-34","Saarland","","","",""
"Ja","2010","17-34","Berlin","","","",""
"Ja","2010","17-34","Brandenburg","","","",""
"Ja","2010","17-34","Mecklenburg-Vorpommern","","","",""
"Ja","2010","17-34","Sachsen","","","",""
"Ja","2010","17-34","Sachsen-Anhalt","","","",""
"Ja","2010","17-34","Thueringen","","","",""
"Ja","2010","35-65","Schleswig-Holstein","","","",""
"Ja","2010","35-65","Hamburg","","","",""
"Ja","2010","35-65","Niedersachsen","","","",""
"Ja","2010","35-65","Bremen","","","",""
"Ja","2010","35-65","Nordrhein-Westfalen","","","",""
"Ja","2010","35-65","Hessen","","","",""
