,Unnamed: 0,year,bula_h,sampreg,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,West,No,1.0,493,17917,0.92885,1.06868
1,1,2009,Hamburg,West,No,1.0,249,17917,0.88852,1.12791
2,2,2009,Lower Saxony,West,Yes,0.04344,78,17917,0.03547,0.051
3,3,2009,Lower Saxony,West,No,0.95656,1555,17917,0.91167,0.9967
4,4,2009,Bremen,West,No,1.0,116,17917,0.85183,1.17081
5,5,2009,North Rhine-Westphalia,West,Yes,0.06118,181,17917,0.05375,0.06927
6,6,2009,North Rhine-Westphalia,West,No,0.93882,3447,17917,0.90681,0.9649
7,7,2009,Hesse,West,Yes,0.07899,75,17917,0.06455,0.0929
8,8,2009,Hesse,West,No,0.92101,1142,17917,0.87933,0.96535
9,9,2009,"Rhineland-Palatinate, Saarland",West,Yes,0.06263,65,17917,0.04964,0.07565
10,10,2009,"Rhineland-Palatinate, Saarland",West,No,0.93737,959,17917,0.89283,0.99555
11,11,2009,Baden-Wuerttemberg,West,Yes,0.05128,104,17917,0.04377,0.05951
12,12,2009,Baden-Wuerttemberg,West,No,0.94872,2003,17917,0.90917,0.99601
13,13,2009,Bavaria,West,Yes,0.05406,129,17917,0.04439,0.06374
14,14,2009,Bavaria,West,No,0.94594,2480,17917,0.90767,0.97572
15,15,2009,Berlin,West,No,1.0,341,17917,0.89628,1.09011
16,16,2009,Berlin,East,No,1.0,300,17917,0.91524,1.09947
17,17,2009,Brandenburg,East,Yes,0.0423,31,17917,0.03227,0.05398
18,18,2009,Brandenburg,East,No,0.9577,758,17917,0.88047,1.0315
19,19,2009,Mecklenburg-Western Pomerania,East,No,1.0,450,17917,0.91316,1.09274
20,20,2009,Saxony,East,Yes,0.04676,47,17917,0.02848,0.06724
21,21,2009,Saxony,East,No,0.95324,1322,17917,0.90332,1.0115
22,22,2009,Saxony-Anhalt,East,Yes,0.03939,32,17917,0.02861,0.05259
23,23,2009,Saxony-Anhalt,East,No,0.96061,737,17917,0.89817,1.01945
24,24,2009,Thuringa,East,Yes,0.062,41,17917,0.03798,0.08865
25,25,2009,Thuringa,East,No,0.938,782,17917,0.87742,1.00815
26,26,2011,Schleswig-Holstein,West,No,1.0,621,20635,0.92771,1.06438
27,27,2011,Hamburg,West,No,1.0,290,20635,0.89526,1.10943
28,28,2011,Lower Saxony,West,Yes,0.0493,101,20635,0.04135,0.05681
