year,migback,plh0037,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Very concerned,0.24186,4339,15581,0.23513,0.24858
2009,No migration background,Somewhat concerned,0.46761,8693,15581,0.45978,0.47545
2009,No migration background,Not concerned at all,0.14102,2549,15581,0.13555,0.14649
2009,Direct migration background,Very concerned,0.28267,476,1646,0.26091,0.30443
2009,Direct migration background,Somewhat concerned,0.52944,890,1646,0.50532,0.55356
2009,Direct migration background,Not concerned at all,0.15539,280,1646,0.13789,0.17290
2009,Indirect migration background,Very concerned,0.13484,201,702,0.10956,0.16013
2009,Indirect migration background,Somewhat concerned,0.30406,384,702,0.27001,0.33812
2009,Indirect migration background,Not concerned at all,0.08546,117,702,0.06476,0.10615
2010,No migration background,Very concerned,0.24908,5624,19837,0.24306,0.25510
2010,No migration background,Somewhat concerned,0.45202,10672,19837,0.44510,0.45895
2010,No migration background,Not concerned at all,0.15648,3541,19837,0.15142,0.16153
2010,Direct migration background,Very concerned,0.29851,842,2922,0.28192,0.31511
2010,Direct migration background,Somewhat concerned,0.49933,1503,2922,0.48119,0.51746
2010,Direct migration background,Not concerned at all,0.16676,577,2922,0.15324,0.18027
2010,Indirect migration background,Very concerned,0.14965,369,1101,0.12857,0.17073
2010,Indirect migration background,Somewhat concerned,0.23589,548,1101,0.21080,0.26098
2010,Indirect migration background,Not concerned at all,0.08077,184,1101,0.06467,0.09687
2011,No migration background,Very concerned,0.23272,5288,17720,0.22649,0.23894
2011,No migration background,Somewhat concerned,0.41977,9539,17720,0.41251,0.42704
2011,No migration background,Not concerned at all,0.12850,2893,17720,0.12357,0.13342
2011,Direct migration background,Very concerned,0.21471,563,1972,0.19658,0.23284
2011,Direct migration background,Somewhat concerned,0.45810,1067,1972,0.43610,0.48009
2011,Direct migration background,Not concerned at all,0.13719,342,1972,0.12200,0.15238
2011,Indirect migration background,Very concerned,0.11803,238,782,0.09540,0.14065
2011,Indirect migration background,Somewhat concerned,0.21765,420,782,0.18871,0.24659
2011,Indirect migration background,Not concerned at all,0.05714,124,782,0.04086,0.07342
2012,No migration background,Very concerned,0.22020,4861,17635,0.21408,0.22631
2012,No migration background,Somewhat concerned,0.42438,9608,17635,0.41709,0.43168
2012,No migration background,Not concerned at all,0.14516,3166,17635,0.13996,0.15036
2012,Direct migration background,Very concerned,0.23257,536,1967,0.21389,0.25124
2012,Direct migration background,Somewhat concerned,0.43805,1038,1967,0.41612,0.45999
2012,Direct migration background,Not concerned at all,0.15927,393,1967,0.14309,0.17544
2012,Indirect migration background,Very concerned,0.10009,202,772,0.07890,0.12127
2012,Indirect migration background,Somewhat concerned,0.20870,408,772,0.18002,0.23739
2012,Indirect migration background,Not concerned at all,0.08722,162,772,0.06730,0.10714
2013,No migration background,Very concerned,0.20229,4204,16360,0.19613,0.20844
2013,No migration background,Somewhat concerned,0.42308,8906,16360,0.41551,0.43065
2013,No migration background,Not concerned at all,0.16085,3250,16360,0.15522,0.16648
2013,Direct migration background,Very concerned,0.12638,420,1707,0.11061,0.14215
2013,Direct migration background,Somewhat concerned,0.26570,910,1707,0.24474,0.28666
2013,Direct migration background,Not concerned at all,0.10443,377,1707,0.08992,0.11894
2013,Indirect migration background,Very concerned,0.06684,199,695,0.04826,0.08543
2013,Indirect migration background,Somewhat concerned,0.11682,342,695,0.09292,0.14071
2013,Indirect migration background,Not concerned at all,0.05699,154,695,0.03974,0.07424
2014,No migration background,Very concerned,0.23498,5616,20055,0.22911,0.24084
2014,No migration background,Somewhat concerned,0.45948,10717,20055,0.45259,0.46638
