year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,5444,8.39808,7.54316,9.25300,0.00000,0.00000,5.00000,0.00000,12.50000,0.00000,0.00000,0.00000
1985,No migration background,Rural regions,1830,8.41780,6.85133,9.98427,0.00000,0.00000,5.00000,0.00000,12.50000,0.00000,0.00000,0.00000
1985,Direct migration background,Urban regions,2396,10.41972,9.02606,11.81339,0.00000,0.00000,8.00000,0.00000,20.00000,0.00000,0.00000,0.00000
1985,Direct migration background,Rural regions,329,7.50327,5.53226,9.47427,0.00000,0.00000,7.59406,0.00000,18.98516,0.00000,0.00000,0.00000
1985,Indirect migration background,Urban regions,113,5.13434,2.94560,7.32307,0.00000,0.00000,5.28187,0.00000,13.20468,0.00000,0.00000,0.00000
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,3482,9.54826,8.71281,10.38370,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,0.00000
1986,No migration background,Rural regions,1109,9.37402,7.60873,11.13931,0.00000,0.00000,8.00000,0.00000,20.00000,0.00000,0.00000,0.00000
1986,Direct migration background,Urban regions,1701,14.53392,12.87771,16.19012,0.00000,0.00000,14.00000,0.00000,35.00000,0.00000,0.00000,3.00000
1986,Direct migration background,Rural regions,263,9.72801,7.28184,12.17418,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,3.00000
1986,Indirect migration background,Urban regions,75,7.61159,4.20657,11.01661,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,5.00000
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,3254,10.40260,9.53585,11.26934,0.00000,1.00000,10.00000,0.00000,25.00000,1.00000,0.00000,2.00000
1987,No migration background,Rural regions,1082,10.60802,8.81430,12.40174,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,0.00000
1987,Direct migration background,Urban regions,1584,15.65382,13.87688,17.43076,0.00000,3.00000,18.00000,0.00000,45.00000,3.00000,0.00000,5.00000
1987,Direct migration background,Rural regions,251,7.83337,5.90185,9.76489,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,2.00000
1987,Indirect migration background,Urban regions,77,8.49809,5.80273,11.19344,0.00000,1.00000,14.00000,0.00000,35.00000,1.00000,0.00000,10.00000
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,3145,10.39068,9.51806,11.26329,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,1.00000
1988,No migration background,Rural regions,1007,9.33386,7.65718,11.01055,0.00000,0.00000,8.00000,0.00000,20.00000,0.00000,0.00000,0.00000
1988,Direct migration background,Urban regions,1501,12.73543,11.36141,14.10945,0.00000,2.00000,14.00000,0.00000,35.00000,2.00000,0.00000,4.00000
1988,Direct migration background,Rural regions,228,13.91129,9.93791,17.88468,0.00000,1.14410,14.00000,0.00000,35.00000,0.00000,0.00000,5.00000
1988,Indirect migration background,Urban regions,93,5.60490,2.32076,8.88904,0.00000,0.00000,6.73864,0.00000,16.84659,0.00000,0.00000,2.00000
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,3154,10.23998,9.38782,11.09215,0.00000,1.00000,10.00000,0.00000,25.00000,1.00000,0.00000,2.00000
1989,No migration background,Rural regions,966,9.44265,7.83953,11.04576,0.00000,0.00000,9.00000,0.00000,22.50000,0.00000,0.00000,2.00000
1989,Direct migration background,Urban regions,1464,13.16287,11.79673,14.52902,0.00000,3.00000,15.00000,0.00000,37.50000,3.00000,0.00000,5.00000
1989,Direct migration background,Rural regions,218,20.72595,14.79529,26.65660,0.00000,7.40281,20.00000,0.00000,50.00000,7.00000,4.00000,14.00000
1989,Indirect migration background,Urban regions,109,4.48826,3.10942,5.86710,0.00000,0.00000,7.00000,0.00000,17.50000,0.00000,0.00000,3.00000
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,,,,,,,,,,,,
1990,No migration background,Rural regions,,,,,,,,,,,,
1990,Direct migration background,Urban regions,,,,,,,,,,,,
1990,Direct migration background,Rural regions,,,,,,,,,,,,
1990,Indirect migration background,Urban regions,,,,,,,,,,,,
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,3068,11.33971,10.33624,12.34318,0.00000,2.00000,12.00000,0.00000,30.00000,2.00000,2.00000,3.00000
1991,No migration background,Rural regions,983,8.81522,7.41067,10.21976,0.00000,1.75951,10.00000,0.00000,25.00000,2.00000,0.00000,3.00000
1991,Direct migration background,Urban regions,1416,13.62607,12.06666,15.18549,0.00000,3.00000,15.00000,0.00000,37.50000,3.00000,1.00000,5.00000
1991,Direct migration background,Rural regions,221,20.03821,13.57040,26.50601,0.00000,6.00000,17.51611,0.00000,43.79028,6.00000,5.00000,10.00000
1991,Indirect migration background,Urban regions,172,6.29199,4.51153,8.07246,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,1.00000
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,3976,10.36782,9.58451,11.15113,0.00000,2.00000,11.00000,0.00000,27.50000,2.00000,1.00000,2.00000
1992,No migration background,Rural regions,2679,9.23894,8.21120,10.26669,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,0.00000
1992,Direct migration background,Urban regions,1366,14.27214,12.66317,15.88112,0.00000,3.00000,15.00000,0.00000,37.50000,3.00000,1.00000,5.00000
1992,Direct migration background,Rural regions,257,8.85573,6.38334,11.32812,0.00000,3.00000,10.00000,0.00000,25.00000,3.00000,0.00000,6.00000
1992,Indirect migration background,Urban regions,192,8.50704,6.35833,10.65576,0.00000,1.00000,10.00000,0.00000,25.00000,1.00000,0.00000,5.00000
1992,Indirect migration background,Rural regions,37,13.18937,4.32776,22.05099,0.00000,10.00000,14.00000,0.00000,35.00000,10.00000,0.00000,14.00000
1993,No migration background,Urban regions,,,,,,,,,,,,
1993,No migration background,Rural regions,,,,,,,,,,,,
1993,Direct migration background,Urban regions,,,,,,,,,,,,
1993,Direct migration background,Rural regions,,,,,,,,,,,,
1993,Indirect migration background,Urban regions,,,,,,,,,,,,
1993,Indirect migration background,Rural regions,,,,,,,,,,,,
1994,No migration background,Urban regions,3776,10.55874,9.65607,11.46140,0.00000,2.00000,10.00000,0.00000,25.00000,2.00000,2.00000,3.00000
1994,No migration background,Rural regions,2463,9.85909,8.77802,10.94016,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,1.00000
1994,Direct migration background,Urban regions,1202,14.97164,13.05263,16.89065,0.00000,3.00000,17.18381,0.00000,42.95951,3.00000,1.00000,5.00000
1994,Direct migration background,Rural regions,220,10.64496,6.48456,14.80537,0.00000,1.00000,10.00000,0.00000,25.00000,1.00000,0.00000,3.00000
1994,Indirect migration background,Urban regions,245,9.65683,7.26125,12.05241,0.00000,2.00000,14.00000,0.00000,35.00000,2.00000,0.00000,7.00000
1994,Indirect migration background,Rural regions,48,7.01172,3.58998,10.43346,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,5.00000
1995,No migration background,Urban regions,3704,10.84266,9.99798,11.68735,0.00000,2.00000,11.00000,0.00000,27.50000,2.00000,2.00000,3.00000
1995,No migration background,Rural regions,2537,9.78184,8.76954,10.79415,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,2.00000
1995,Direct migration background,Urban regions,1320,12.40323,10.87337,13.93310,0.00000,3.00000,14.00000,0.00000,35.00000,3.00000,2.00000,4.00000
1995,Direct migration background,Rural regions,263,12.03388,6.78093,17.28682,0.00000,0.00000,9.00000,0.00000,22.50000,0.00000,0.00000,3.00000
1995,Indirect migration background,Urban regions,261,8.34518,6.35275,10.33762,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,4.00000
1995,Indirect migration background,Rural regions,52,10.74595,2.89345,18.59846,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,3.00000
1996,No migration background,Urban regions,3702,10.08901,9.30600,10.87203,0.00000,2.00000,10.00000,0.00000,25.00000,2.00000,1.00000,3.00000
1996,No migration background,Rural regions,2513,10.33583,9.34129,11.33037,0.00000,2.00000,12.00000,0.00000,30.00000,2.00000,1.00000,3.00000
1996,Direct migration background,Urban regions,1240,13.79421,12.01818,15.57024,0.00000,3.00000,15.00000,0.00000,37.50000,3.00000,0.00000,5.00000
1996,Direct migration background,Rural regions,256,9.67797,6.44424,12.91171,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,5.00000
1996,Indirect migration background,Urban regions,278,10.05842,7.43774,12.67911,0.00000,3.00000,14.00000,0.00000,35.00000,3.00000,1.00000,5.00000
1996,Indirect migration background,Rural regions,59,7.10582,4.03398,10.17766,0.00000,5.00000,10.00000,0.00000,25.00000,5.00000,0.00000,10.00000
1997,No migration background,Urban regions,3555,9.89575,9.05666,10.73483,0.00000,2.00000,10.00000,0.00000,25.00000,2.00000,2.00000,2.02500
1997,No migration background,Rural regions,2433,10.72152,9.47580,11.96725,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,1.00000
1997,Direct migration background,Urban regions,1146,13.13006,11.09743,15.16269,0.00000,2.00000,14.00000,0.00000,35.00000,2.00000,0.00000,4.00000
1997,Direct migration background,Rural regions,227,6.46387,4.67817,8.24956,0.00000,0.03867,7.00000,0.00000,17.50000,0.00000,0.00000,2.00000
1997,Indirect migration background,Urban regions,289,8.94160,6.42697,11.45623,0.00000,2.00000,10.00000,0.00000,25.00000,2.00000,0.00000,5.00000
1997,Indirect migration background,Rural regions,55,9.52818,2.55002,16.50633,0.00000,2.00000,10.00000,0.00000,25.00000,2.00000,0.00000,6.00000
1998,No migration background,Urban regions,4002,8.54868,7.86106,9.23630,0.00000,1.00000,10.00000,0.00000,25.00000,1.00000,0.00000,2.00000
1998,No migration background,Rural regions,2696,9.31181,8.43055,10.19307,0.00000,0.00000,10.00000,0.00000,25.00000,0.00000,0.00000,1.00000
