year,bula_h,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Yes,0.44871,392,648,0.41038,0.48703
2011,Schleswig-Holstein,No,0.30503,256,648,0.26955,0.34050
2011,Hamburg,Yes,0.44301,180,307,0.38735,0.49867
2011,Hamburg,No,0.35319,127,307,0.29964,0.40675
2011,Lower Saxony,Yes,0.46963,1165,1887,0.44710,0.49215
2011,Lower Saxony,No,0.27949,722,1887,0.25924,0.29975
2011,Bremen,Yes,0.47022,71,124,0.38201,0.55843
2011,Bremen,No,0.27255,53,124,0.19386,0.35124
2011,North Rhine-Westphalia,Yes,0.46473,2396,4079,0.44942,0.48004
2011,North Rhine-Westphalia,No,0.28919,1683,4079,0.27527,0.30310
2011,Hesse,Yes,0.45673,852,1395,0.43058,0.48288
2011,Hesse,No,0.26793,543,1395,0.24469,0.29118
2011,"Rhineland-Palatinate, Saarland",Yes,0.46586,732,1190,0.43751,0.49422
2011,"Rhineland-Palatinate, Saarland",No,0.28103,458,1190,0.25548,0.30658
2011,Baden-Wuerttemberg,Yes,0.43294,1386,2458,0.41335,0.45254
2011,Baden-Wuerttemberg,No,0.30540,1072,2458,0.28718,0.32361
2011,Bavaria,Yes,0.46855,1944,3137,0.45108,0.48601
2011,Bavaria,No,0.28605,1193,3137,0.27023,0.30186
2011,Berlin,Yes,0.51231,472,770,0.47698,0.54764
2011,Berlin,No,0.27873,298,770,0.24704,0.31042
2011,Brandenburg,Yes,0.51575,570,876,0.48263,0.54886
2011,Brandenburg,No,0.26968,306,876,0.24027,0.29908
2011,Mecklenburg-Western Pomerania,Yes,0.51636,311,509,0.47291,0.55982
2011,Mecklenburg-Western Pomerania,No,0.27269,198,509,0.23396,0.31142
2011,Saxony,Yes,0.50467,871,1385,0.47832,0.53101
2011,Saxony,No,0.27657,514,1385,0.25301,0.30014
2011,Saxony-Anhalt,Yes,0.51908,551,858,0.48563,0.55254
2011,Saxony-Anhalt,No,0.27754,307,858,0.24756,0.30752
2011,Thuringa,Yes,0.49635,543,875,0.46320,0.52950
2011,Thuringa,No,0.29619,332,875,0.26592,0.32646
2013,Schleswig-Holstein,Yes,0.46292,384,592,0.42272,0.50312
2013,Schleswig-Holstein,No,0.25351,208,592,0.21844,0.28858
2013,Hamburg,Yes,0.46793,188,307,0.41203,0.52384
2013,Hamburg,No,0.25401,119,307,0.20523,0.30278
2013,Lower Saxony,Yes,0.48127,1163,1768,0.45798,0.50457
2013,Lower Saxony,No,0.23127,605,1768,0.21161,0.25093
2013,Bremen,Yes,0.36754,63,118,0.28018,0.45491
2013,Bremen,No,0.28278,55,118,0.20118,0.36439
2013,North Rhine-Westphalia,Yes,0.45302,2329,3687,0.43695,0.46909
2013,North Rhine-Westphalia,No,0.22898,1358,3687,0.21542,0.24254
2013,Hesse,Yes,0.46288,845,1279,0.43554,0.49021
2013,Hesse,No,0.21406,434,1279,0.19157,0.23655
2013,"Rhineland-Palatinate, Saarland",Yes,0.46180,718,1091,0.43220,0.49140
2013,"Rhineland-Palatinate, Saarland",No,0.23605,373,1091,0.21084,0.26126
2013,Baden-Wuerttemberg,Yes,0.41488,1258,2103,0.39382,0.43595
2013,Baden-Wuerttemberg,No,0.25486,845,2103,0.23623,0.27349
2013,Bavaria,Yes,0.45600,1850,2893,0.43785,0.47416
2013,Bavaria,No,0.23216,1043,2893,0.21677,0.24755
2013,Berlin,Yes,0.48022,501,759,0.44465,0.51579
2013,Berlin,No,0.23336,258,759,0.20325,0.26347
2013,Brandenburg,Yes,0.48055,513,779,0.44544,0.51566
2013,Brandenburg,No,0.27385,266,779,0.24252,0.30519
2013,Mecklenburg-Western Pomerania,Yes,0.54639,300,452,0.50044,0.59234
2013,Mecklenburg-Western Pomerania,No,0.23747,152,452,0.19819,0.27674
2013,Saxony,Yes,0.51033,879,1324,0.48340,0.53727
2013,Saxony,No,0.27673,445,1324,0.25262,0.30083
2013,Saxony-Anhalt,Yes,0.54006,525,754,0.50446,0.57566
2013,Saxony-Anhalt,No,0.23908,229,754,0.20861,0.26954
2013,Thuringa,Yes,0.48664,504,795,0.45187,0.52140
2013,Thuringa,No,0.29543,291,795,0.26369,0.32716
2015,Schleswig-Holstein,Yes,0.54756,550,870,0.51446,0.58065
2015,Schleswig-Holstein,No,0.28901,320,870,0.25888,0.31915
2015,Hamburg,Yes,0.50853,226,424,0.46089,0.55617
2015,Hamburg,No,0.30897,198,424,0.26493,0.35300
2015,Lower Saxony,Yes,0.52568,1414,2403,0.50571,0.54565
2015,Lower Saxony,No,0.29550,989,2403,0.27725,0.31374
2015,Bremen,Yes,0.51250,101,171,0.43737,0.58764
2015,Bremen,No,0.28164,70,171,0.21403,0.34926
2015,North Rhine-Westphalia,Yes,0.50944,2971,5120,0.49575,0.52314
2015,North Rhine-Westphalia,No,0.29979,2149,5120,0.28724,0.31234
2015,Hesse,Yes,0.47692,981,1688,0.45309,0.50076
2015,Hesse,No,0.31336,707,1688,0.29123,0.33550
2015,"Rhineland-Palatinate, Saarland",Yes,0.51407,856,1481,0.48860,0.53953
2015,"Rhineland-Palatinate, Saarland",No,0.31215,625,1481,0.28854,0.33576
2015,Baden-Wuerttemberg,Yes,0.47711,1610,2949,0.45908,0.49514
2015,Baden-Wuerttemberg,No,0.33892,1339,2949,0.32183,0.35601
2015,Bavaria,Yes,0.50048,2259,3993,0.48497,0.51599
2015,Bavaria,No,0.30522,1734,3993,0.29093,0.31950
2015,Berlin,Yes,0.54193,567,900,0.50936,0.57450
2015,Berlin,No,0.26514,333,900,0.23628,0.29399
2015,Brandenburg,Yes,0.53741,629,979,0.50616,0.56866
2015,Brandenburg,No,0.29492,350,979,0.26634,0.32350
2015,Mecklenburg-Western Pomerania,Yes,0.54580,345,553,0.50426,0.58733
2015,Mecklenburg-Western Pomerania,No,0.30509,208,553,0.26668,0.34350
2015,Saxony,Yes,0.53341,944,1481,0.50800,0.55883
2015,Saxony,No,0.30143,537,1481,0.27805,0.32481
2015,Saxony-Anhalt,Yes,0.61782,595,880,0.58569,0.64994
2015,Saxony-Anhalt,No,0.24338,285,880,0.21501,0.27175
2015,Thuringa,Yes,0.52031,574,914,0.48790,0.55271
2015,Thuringa,No,0.30255,340,914,0.27275,0.33235
2017,Schleswig-Holstein,Yes,0.53111,566,944,0.49925,0.56296
2017,Schleswig-Holstein,No,0.28330,378,944,0.25454,0.31206
2017,Hamburg,Yes,0.50734,275,463,0.46175,0.55293
2017,Hamburg,No,0.30255,188,463,0.26066,0.34444
2017,Lower Saxony,Yes,0.53924,1593,2662,0.52030,0.55818
2017,Lower Saxony,No,0.28339,1069,2662,0.26627,0.30052
2017,Bremen,Yes,0.56774,133,219,0.50198,0.63350
2017,Bremen,No,0.22914,86,219,0.17335,0.28493
2017,North Rhine-Westphalia,Yes,0.51960,3282,5489,0.50638,0.53282
2017,North Rhine-Westphalia,No,0.30539,2207,5489,0.29320,0.31757
2017,Hesse,Yes,0.51249,1067,1775,0.48923,0.53575
2017,Hesse,No,0.30501,708,1775,0.28359,0.32644
2017,"Rhineland-Palatinate, Saarland",Yes,0.53164,869,1511,0.50647,0.55681
2017,"Rhineland-Palatinate, Saarland",No,0.28463,642,1511,0.26187,0.30739
2017,Baden-Wuerttemberg,Yes,0.48309,1665,3005,0.46521,0.50096
2017,Baden-Wuerttemberg,No,0.34135,1340,3005,0.32440,0.35831
2017,Bavaria,Yes,0.52651,2457,4190,0.51139,0.54163
2017,Bavaria,No,0.30856,1733,4190,0.29457,0.32255
2017,Berlin,Yes,0.54545,625,983,0.51430,0.57659
2017,Berlin,No,0.30736,358,983,0.27850,0.33621
2017,Brandenburg,Yes,0.54874,681,1026,0.51828,0.57920
2017,Brandenburg,No,0.27024,345,1026,0.24306,0.29743
2017,Mecklenburg-Western Pomerania,Yes,0.50688,350,569,0.46577,0.54800
2017,Mecklenburg-Western Pomerania,No,0.31438,219,569,0.27620,0.35256
2017,Saxony,Yes,0.53993,1047,1640,0.51580,0.56406
2017,Saxony,No,0.29585,593,1640,0.27375,0.31794
2017,Saxony-Anhalt,Yes,0.58634,608,921,0.55452,0.61816
2017,Saxony-Anhalt,No,0.25070,313,921,0.22270,0.27871
2017,Thuringa,Yes,0.53731,622,976,0.50602,0.56861
2017,Thuringa,No,0.31198,354,976,0.28290,0.34107
2019,Schleswig-Holstein,Yes,0.50716,595,945,0.47526,0.53905
2019,Schleswig-Holstein,No,0.27862,350,945,0.25002,0.30722
2019,Hamburg,Yes,0.51980,316,524,0.47698,0.56262
2019,Hamburg,No,0.29367,208,524,0.25464,0.33270
2019,Lower Saxony,Yes,0.57004,1588,2472,0.55052,0.58956
2019,Lower Saxony,No,0.25586,884,2472,0.23866,0.27307
2019,Bremen,Yes,0.49819,124,218,0.43167,0.56472
2019,Bremen,No,0.31196,94,218,0.25032,0.37361
2019,North Rhine-Westphalia,Yes,0.55306,3470,5364,0.53975,0.56636
2019,North Rhine-Westphalia,No,0.27852,1894,5364,0.26652,0.29052
2019,Hesse,Yes,0.55722,1136,1699,0.53359,0.58085
2019,Hesse,No,0.26291,563,1699,0.24197,0.28385
2019,"Rhineland-Palatinate, Saarland",Yes,0.57568,910,1458,0.55031,0.60106
2019,"Rhineland-Palatinate, Saarland",No,0.25707,548,1458,0.23463,0.27951
2019,Baden-Wuerttemberg,Yes,0.52271,1770,2772,0.50411,0.54130
2019,Baden-Wuerttemberg,No,0.28123,1002,2772,0.26449,0.29797
2019,Bavaria,Yes,0.55382,2470,3917,0.53825,0.56939
2019,Bavaria,No,0.26642,1447,3917,0.25257,0.28026
2019,Berlin,Yes,0.59664,703,1019,0.56650,0.62677
2019,Berlin,No,0.24400,316,1019,0.21761,0.27038
2019,Brandenburg,Yes,0.57794,768,1106,0.54882,0.60706
2019,Brandenburg,No,0.22872,338,1106,0.20395,0.25348
2019,Mecklenburg-Western Pomerania,Yes,0.61419,420,601,0.57524,0.65314
2019,Mecklenburg-Western Pomerania,No,0.20733,181,601,0.17489,0.23977
2019,Saxony,Yes,0.58438,1106,1624,0.56040,0.60835
2019,Saxony,No,0.26057,518,1624,0.23921,0.28192
2019,Saxony-Anhalt,Yes,0.63307,635,878,0.60117,0.66497
2019,Saxony-Anhalt,No,0.19655,243,878,0.17025,0.22285
2019,Thuringa,Yes,0.54773,624,917,0.51550,0.57996
2019,Thuringa,No,0.29758,293,917,0.26797,0.32719
2021,Schleswig-Holstein,Yes,0.49678,485,825,0.46264,0.53092
2021,Schleswig-Holstein,No,0.26671,340,825,0.23651,0.29690
2021,Hamburg,Yes,0.62606,275,450,0.58131,0.67082
2021,Hamburg,No,0.22843,175,450,0.18960,0.26727
2021,Lower Saxony,Yes,0.55112,1140,1881,0.52864,0.57360
2021,Lower Saxony,No,0.26772,741,1881,0.24770,0.28773
2021,Bremen,Yes,0.52428,83,151,0.44435,0.60420
2021,Bremen,No,0.39023,68,151,0.31217,0.46830
2021,North Rhine-Westphalia,Yes,0.56918,2575,4112,0.55404,0.58432
2021,North Rhine-Westphalia,No,0.25316,1537,4112,0.23986,0.26645
2021,Hesse,Yes,0.57737,818,1323,0.55074,0.60400
2021,Hesse,No,0.25883,505,1323,0.23522,0.28244
2021,"Rhineland-Palatinate, Saarland",Yes,0.58509,622,996,0.55447,0.61570
2021,"Rhineland-Palatinate, Saarland",No,0.25100,374,996,0.22405,0.27794
2021,Baden-Wuerttemberg,Yes,0.54360,1309,2167,0.52262,0.56458
2021,Baden-Wuerttemberg,No,0.27718,858,2167,0.25833,0.29603
2021,Bavaria,Yes,0.54417,1849,2852,0.52589,0.56246
2021,Bavaria,No,0.27296,1003,2852,0.25661,0.28931
2021,Berlin,Yes,0.51741,546,906,0.48486,0.54997
2021,Berlin,No,0.30397,360,906,0.27401,0.33394
2021,Brandenburg,Yes,0.57710,504,701,0.54050,0.61370
2021,Brandenburg,No,0.23621,197,701,0.20474,0.26768
2021,Mecklenburg-Western Pomerania,Yes,0.65002,298,407,0.60363,0.69642
2021,Mecklenburg-Western Pomerania,No,0.19692,109,407,0.15823,0.23560
2021,Saxony,Yes,0.54721,750,1160,0.51855,0.57586
2021,Saxony,No,0.28945,410,1160,0.26334,0.31556
2021,Saxony-Anhalt,Yes,0.61395,397,599,0.57493,0.65297
2021,Saxony-Anhalt,No,0.22315,202,599,0.18978,0.25652
2021,Thuringa,Yes,0.49584,413,633,0.45686,0.53482
2021,Thuringa,No,0.31917,220,633,0.28282,0.35551
