year,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Yes,0.46084,1566,2423,0.44099,0.48070
2011,1st Quintile,No,0.20232,857,2423,0.18632,0.21832
2011,2nd Quintile,Yes,0.46896,1748,2728,0.45023,0.48769
2011,2nd Quintile,No,0.23803,980,2728,0.22205,0.25402
2011,3rd Quintile,Yes,0.48896,1863,3037,0.47118,0.50674
2011,3rd Quintile,No,0.28144,1174,3037,0.26544,0.29743
2011,4th Quintile,Yes,0.48676,1877,3175,0.46937,0.50415
2011,4th Quintile,No,0.30428,1298,3175,0.28827,0.32029
2011,5th Quintile,Yes,0.49797,2393,4088,0.48264,0.51329
2011,5th Quintile,No,0.33709,1695,4088,0.32260,0.35159
2013,1st Quintile,Yes,0.49003,2024,3075,0.47236,0.50770
2013,1st Quintile,No,0.20873,1051,3075,0.19436,0.22309
2013,2nd Quintile,Yes,0.50446,2271,3413,0.48769,0.52124
2013,2nd Quintile,No,0.23796,1142,3413,0.22367,0.25224
2013,3rd Quintile,Yes,0.52471,2367,3567,0.50832,0.54110
2013,3rd Quintile,No,0.24724,1200,3567,0.23308,0.26139
2013,4th Quintile,Yes,0.51746,2421,3891,0.50176,0.53316
2013,4th Quintile,No,0.29341,1470,3891,0.27910,0.30772
2013,5th Quintile,Yes,0.51942,2935,4751,0.50522,0.53363
2013,5th Quintile,No,0.33287,1816,4751,0.31947,0.34627
2015,1st Quintile,Yes,0.51219,2954,4961,0.49828,0.52610
2015,1st Quintile,No,0.27360,2007,4961,0.26119,0.28601
2015,2nd Quintile,Yes,0.55028,3192,5229,0.53679,0.56376
2015,2nd Quintile,No,0.26769,2037,5229,0.25568,0.27969
2015,3rd Quintile,Yes,0.53068,2848,4829,0.51660,0.54476
2015,3rd Quintile,No,0.29766,1981,4829,0.28477,0.31056
2015,4th Quintile,Yes,0.51936,2741,4737,0.50513,0.53359
2015,4th Quintile,No,0.33591,1996,4737,0.32246,0.34936
2015,5th Quintile,Yes,0.50750,2885,5046,0.49371,0.52130
2015,5th Quintile,No,0.37801,2161,5046,0.36463,0.39139
2017,1st Quintile,Yes,0.50662,2767,4637,0.49223,0.52101
2017,1st Quintile,No,0.25407,1870,4637,0.24154,0.26660
2017,2nd Quintile,Yes,0.54968,2920,4825,0.53564,0.56372
2017,2nd Quintile,No,0.27250,1905,4825,0.25993,0.28506
2017,3rd Quintile,Yes,0.53936,2665,4378,0.52459,0.55412
2017,3rd Quintile,No,0.29147,1713,4378,0.27800,0.30493
2017,4th Quintile,Yes,0.53391,2528,4306,0.51901,0.54881
2017,4th Quintile,No,0.33101,1778,4306,0.31696,0.34507
2017,5th Quintile,Yes,0.53740,2732,4526,0.52287,0.55193
2017,5th Quintile,No,0.34555,1794,4526,0.33169,0.35940
2019,1st Quintile,Yes,0.52481,2820,4368,0.51000,0.53962
2019,1st Quintile,No,0.22979,1548,4368,0.21731,0.24226
2019,2nd Quintile,Yes,0.57420,3125,4730,0.56011,0.58830
2019,2nd Quintile,No,0.23504,1605,4730,0.22296,0.24713
2019,3rd Quintile,Yes,0.55309,2850,4476,0.53853,0.56766
2019,3rd Quintile,No,0.27604,1626,4476,0.26294,0.28914
2019,4th Quintile,Yes,0.56501,2786,4238,0.55008,0.57994
2019,4th Quintile,No,0.28247,1452,4238,0.26892,0.29603
2019,5th Quintile,Yes,0.57262,3130,4746,0.55855,0.58670
2019,5th Quintile,No,0.31397,1616,4746,0.30077,0.32718
2021,1st Quintile,Yes,0.54079,2656,4717,0.52657,0.55501
2021,1st Quintile,No,0.24773,2061,4717,0.23541,0.26005
2021,2nd Quintile,Yes,0.56161,2356,3582,0.54536,0.57786
2021,2nd Quintile,No,0.24109,1226,3582,0.22708,0.25510
2021,3rd Quintile,Yes,0.54859,1990,3034,0.53088,0.56630
2021,3rd Quintile,No,0.26621,1044,3034,0.25048,0.28194
2021,4th Quintile,Yes,0.58512,2159,3246,0.56817,0.60207
2021,4th Quintile,No,0.26972,1087,3246,0.25445,0.28499
2021,5th Quintile,Yes,0.56513,2786,4281,0.55028,0.57998
2021,5th Quintile,No,0.30340,1495,4281,0.28963,0.31717
