year,migback,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.50228,11067,17727,0.49492,0.50964
2011,No migration background,No,0.27902,6660,17727,0.27241,0.28562
2011,Direct migration background,Yes,0.45309,1095,1990,0.43121,0.47496
2011,Direct migration background,No,0.36270,895,1990,0.34157,0.38383
2011,Indirect migration background,Yes,0.13222,274,781,0.10845,0.15599
2011,Indirect migration background,No,0.26248,507,781,0.23161,0.29336
2013,No migration background,Yes,0.52159,10699,16289,0.51392,0.52926
2013,No migration background,No,0.26098,5590,16289,0.25424,0.26772
2013,Direct migration background,Yes,0.31888,1034,1718,0.29684,0.34092
2013,Direct migration background,No,0.18033,684,1718,0.16215,0.19852
2013,Indirect migration background,Yes,0.10309,287,694,0.08045,0.12573
2013,Indirect migration background,No,0.13288,407,694,0.10760,0.15815
2015,No migration background,Yes,0.55412,11835,18857,0.54702,0.56121
2015,No migration background,No,0.29534,7022,18857,0.28883,0.30185
2015,Direct migration background,Yes,0.46241,2160,4397,0.44767,0.47715
2015,Direct migration background,No,0.36838,2237,4397,0.35412,0.38264
2015,Indirect migration background,Yes,0.19590,627,1552,0.17615,0.21566
2015,Indirect migration background,No,0.28446,925,1552,0.26201,0.30692
2017,No migration background,Yes,0.56501,12828,20008,0.55814,0.57187
2017,No migration background,No,0.28636,7180,20008,0.28010,0.29263
2017,Direct migration background,Yes,0.49478,2307,4735,0.48054,0.50902
2017,Direct migration background,No,0.40517,2428,4735,0.39119,0.41916
2017,Indirect migration background,Yes,0.21642,705,1630,0.19642,0.23642
2017,Indirect migration background,No,0.28959,925,1630,0.26757,0.31162
2019,No migration background,Yes,0.59744,13669,20017,0.59064,0.60423
2019,No migration background,No,0.25230,6348,20017,0.24628,0.25832
2019,Direct migration background,Yes,0.54586,2188,3938,0.53031,0.56141
2019,Direct migration background,No,0.34510,1750,3938,0.33025,0.35995
2019,Indirect migration background,Yes,0.25009,778,1559,0.22858,0.27159
2019,Indirect migration background,No,0.25930,781,1559,0.23754,0.28106
2021,No migration background,Yes,0.59243,9098,13109,0.58402,0.60085
2021,No migration background,No,0.25547,4011,13109,0.24801,0.26294
2021,Direct migration background,Yes,0.57339,2479,5120,0.55984,0.58694
2021,Direct migration background,No,0.34868,2641,5120,0.33563,0.36174
2021,Indirect migration background,Yes,0.25033,488,935,0.22255,0.27811
2021,Indirect migration background,No,0.22577,447,935,0.19896,0.25259
