year,age_gr,bula_h,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,30-45 y.,Lower Saxony,No,0.42101,259,461,0.37589,0.46612
2011,30-45 y.,North Rhine-Westphalia,Yes,0.38023,426,970,0.34967,0.41080
2011,30-45 y.,North Rhine-Westphalia,No,0.40116,544,970,0.37030,0.43202
2011,30-45 y.,Hesse,Yes,0.36863,167,357,0.31852,0.41875
2011,30-45 y.,Hesse,No,0.40137,190,357,0.35045,0.45229
2011,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.40778,120,257,0.34758,0.46797
2011,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.36033,137,257,0.30152,0.41914
2011,30-45 y.,Baden-Wuerttemberg,Yes,0.29675,229,612,0.26053,0.33298
2011,30-45 y.,Baden-Wuerttemberg,No,0.47697,383,612,0.43737,0.51658
2011,30-45 y.,Bavaria,Yes,0.34332,336,736,0.30900,0.37765
2011,30-45 y.,Bavaria,No,0.42711,400,736,0.39135,0.46287
2011,30-45 y.,Berlin,Yes,0.29229,56,158,0.22114,0.36343
2011,30-45 y.,Berlin,No,0.49167,102,158,0.41347,0.56987
2011,30-45 y.,Brandenburg,Yes,0.36942,79,165,0.29555,0.44329
2011,30-45 y.,Brandenburg,No,0.36855,86,165,0.29472,0.44239
2011,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.25099,32,107,0.16845,0.33353
2011,30-45 y.,Mecklenburg-Western Pomerania,No,0.50969,75,107,0.41453,0.60486
2011,30-45 y.,Saxony,Yes,0.36052,127,335,0.30902,0.41201
2011,30-45 y.,Saxony,No,0.43828,208,335,0.38507,0.49150
2011,30-45 y.,Saxony-Anhalt,Yes,0.37318,87,196,0.30529,0.44106
2011,30-45 y.,Saxony-Anhalt,No,0.41040,109,196,0.34136,0.47945
2011,30-45 y.,Thuringa,Yes,0.27494,77,187,0.21078,0.33911
2011,30-45 y.,Thuringa,No,0.45154,110,187,0.38002,0.52306
2011,46-65 y.,Schleswig-Holstein,Yes,0.59644,154,225,0.53219,0.66069
2011,46-65 y.,Schleswig-Holstein,No,0.36465,71,225,0.30162,0.42769
2011,46-65 y.,Hamburg,Yes,0.55812,53,89,0.45436,0.66188
2011,46-65 y.,Hamburg,No,0.37019,36,89,0.26930,0.47108
2011,46-65 y.,Lower Saxony,Yes,0.65276,465,674,0.61679,0.68873
2011,46-65 y.,Lower Saxony,No,0.28463,209,674,0.25054,0.31872
2011,46-65 y.,North Rhine-Westphalia,Yes,0.62895,972,1512,0.60459,0.65330
2011,46-65 y.,North Rhine-Westphalia,No,0.31906,540,1512,0.29556,0.34256
2011,46-65 y.,Hesse,Yes,0.68526,391,568,0.64704,0.72349
2011,46-65 y.,Hesse,No,0.25966,177,568,0.22357,0.29575
2011,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.63277,310,471,0.58918,0.67635
2011,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.32459,161,471,0.28226,0.36692
2011,46-65 y.,Baden-Wuerttemberg,Yes,0.62620,564,879,0.59420,0.65820
2011,46-65 y.,Baden-Wuerttemberg,No,0.31698,315,879,0.28620,0.34776
2011,46-65 y.,Bavaria,Yes,0.65969,819,1190,0.63275,0.68662
2011,46-65 y.,Bavaria,No,0.27875,371,1190,0.25326,0.30423
2011,46-65 y.,Berlin,Yes,0.69944,201,299,0.64738,0.75149
2011,46-65 y.,Berlin,No,0.26512,98,299,0.21500,0.31523
2011,46-65 y.,Brandenburg,Yes,0.64222,244,367,0.59311,0.69133
2011,46-65 y.,Brandenburg,No,0.32069,123,367,0.27287,0.36851
2011,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.65852,147,214,0.59484,0.72221
2011,46-65 y.,Mecklenburg-Western Pomerania,No,0.29959,67,214,0.23808,0.36111
2011,46-65 y.,Saxony,Yes,0.72299,366,503,0.68384,0.76214
2011,46-65 y.,Saxony,No,0.22560,137,503,0.18903,0.26216
2011,46-65 y.,Saxony-Anhalt,Yes,0.73576,238,324,0.68768,0.78385
2011,46-65 y.,Saxony-Anhalt,No,0.22824,86,324,0.18247,0.27402
2011,46-65 y.,Thuringa,Yes,0.70022,234,335,0.65109,0.74936
2011,46-65 y.,Thuringa,No,0.26228,101,335,0.21511,0.30946
2011,66 and older,Schleswig-Holstein,Yes,0.85068,143,143,0.79206,0.90930
2011,66 and older,Hamburg,Yes,0.77410,71,71,0.67614,0.87207
2011,66 and older,Lower Saxony,Yes,0.84917,434,506,0.81796,0.88038
2011,66 and older,Lower Saxony,No,0.14016,72,506,0.10988,0.17044
2011,66 and older,North Rhine-Westphalia,Yes,0.86841,835,995,0.84740,0.88943
2011,66 and older,North Rhine-Westphalia,No,0.12210,160,995,0.10174,0.14245
2011,66 and older,Hesse,Yes,0.87359,241,282,0.83473,0.91244
2011,66 and older,Hesse,No,0.12471,41,282,0.08608,0.16334
2011,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.84903,248,289,0.80768,0.89038
2011,66 and older,"Rhineland-Palatinate, Saarland",No,0.12594,41,289,0.08762,0.16426
2011,66 and older,Baden-Wuerttemberg,Yes,0.88027,486,568,0.85354,0.90699
2011,66 and older,Baden-Wuerttemberg,No,0.11127,82,568,0.08538,0.13715
2011,66 and older,Bavaria,Yes,0.81407,654,783,0.78680,0.84134
2011,66 and older,Bavaria,No,0.16682,129,783,0.14069,0.19295
