year,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.43676,5639,9657,0.42686,0.44665
2011,male,No,0.31759,4018,9657,0.30830,0.32688
2011,female,Yes,0.50031,6797,10841,0.49090,0.50972
2011,female,No,0.25824,4044,10841,0.25000,0.26648
2013,male,Yes,0.43293,5443,8757,0.42255,0.44331
2013,male,No,0.26371,3314,8757,0.25448,0.27294
2013,female,Yes,0.49128,6577,9944,0.48146,0.50111
2013,female,No,0.21840,3367,9944,0.21028,0.22652
2015,male,Yes,0.47248,6346,11347,0.46330,0.48167
2015,male,No,0.33487,5001,11347,0.32619,0.34355
2015,female,Yes,0.55017,8276,13459,0.54176,0.55857
2015,female,No,0.27403,5183,13459,0.26649,0.28156
2017,male,Yes,0.49354,7057,12181,0.48466,0.50242
2017,male,No,0.32366,5124,12181,0.31535,0.33197
2017,female,Yes,0.55301,8783,14192,0.54483,0.56119
2017,female,No,0.28277,5409,14192,0.27536,0.29018
2019,male,Yes,0.51974,7586,12167,0.51086,0.52861
2019,male,No,0.29335,4581,12167,0.28526,0.30144
2019,female,Yes,0.59306,9043,13340,0.58472,0.60139
2019,female,No,0.23961,4297,13340,0.23237,0.24685
2021,male,Yes,0.51693,5378,9292,0.50677,0.52709
2021,male,No,0.30096,3914,9292,0.29163,0.31028
2021,female,Yes,0.59733,6680,9865,0.58766,0.60701
2021,female,No,0.23074,3185,9865,0.22242,0.23905
