year,age_gr,migback,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,No migration background,Yes,0.25503,717,2355,0.23742,0.27264
2011,17-29 y.,No migration background,No,0.57651,1638,2355,0.55655,0.59647
2011,17-29 y.,Direct migration background,Yes,0.16210,45,211,0.11225,0.21194
2011,17-29 y.,Direct migration background,No,0.55970,166,211,0.49256,0.62684
2011,17-29 y.,Indirect migration background,Yes,0.17685,97,380,0.13844,0.21526
2011,17-29 y.,Indirect migration background,No,0.62369,283,380,0.57492,0.67247
2011,30-45 y.,No migration background,Yes,0.37691,1737,3896,0.36169,0.39213
2011,30-45 y.,No migration background,No,0.41616,2159,3896,0.40068,0.43164
2011,30-45 y.,Direct migration background,Yes,0.24363,207,579,0.20864,0.27863
2011,30-45 y.,Direct migration background,No,0.43993,372,579,0.39946,0.48039
2011,30-45 y.,Indirect migration background,Yes,0.29485,108,308,0.24384,0.34585
2011,30-45 y.,Indirect migration background,No,0.49471,200,308,0.43878,0.55064
2011,46-65 y.,No migration background,Yes,0.65975,4615,6821,0.64850,0.67099
2011,46-65 y.,No migration background,No,0.28938,2206,6821,0.27862,0.30014
2011,46-65 y.,Direct migration background,Yes,0.61177,504,784,0.57763,0.64591
2011,46-65 y.,Direct migration background,No,0.33046,280,784,0.29752,0.36341
2011,46-65 y.,Indirect migration background,Yes,0.69720,65,65,0.58463,0.80977
2011,66 and older,No migration background,Yes,0.86353,3998,4655,0.85366,0.87339
2011,66 and older,No migration background,No,0.12524,657,4655,0.11573,0.13475
2011,66 and older,Direct migration background,Yes,0.79197,339,416,0.75292,0.83102
2011,66 and older,Direct migration background,No,0.19554,77,416,0.15739,0.23370
2013,17-29 y.,No migration background,Yes,0.25814,664,2018,0.23904,0.27724
2013,17-29 y.,No migration background,No,0.54380,1354,2018,0.52206,0.56554
2013,17-29 y.,Direct migration background,Yes,0.06223,46,171,0.02592,0.09854
2013,17-29 y.,Direct migration background,No,0.25871,125,171,0.19288,0.32454
2013,17-29 y.,Indirect migration background,Yes,0.13133,101,312,0.09379,0.16887
2013,17-29 y.,Indirect migration background,No,0.25820,211,312,0.20956,0.30684
2013,30-45 y.,No migration background,Yes,0.37683,1519,3256,0.36018,0.39348
2013,30-45 y.,No migration background,No,0.41033,1737,3256,0.39343,0.42722
2013,30-45 y.,Direct migration background,Yes,0.12695,191,485,0.09729,0.15661
2013,30-45 y.,Direct migration background,No,0.19496,294,485,0.15967,0.23026
2013,30-45 y.,Indirect migration background,Yes,0.21435,114,276,0.16584,0.26285
2013,30-45 y.,Indirect migration background,No,0.28137,162,276,0.22822,0.33451
2013,46-65 y.,No migration background,Yes,0.67142,4568,6492,0.66000,0.68285
2013,46-65 y.,No migration background,No,0.26838,1924,6492,0.25760,0.27916
2013,46-65 y.,Direct migration background,Yes,0.45419,469,681,0.41677,0.49162
2013,46-65 y.,Direct migration background,No,0.17120,212,681,0.14289,0.19951
2013,46-65 y.,Indirect migration background,Yes,0.59480,70,102,0.49906,0.69055
2013,46-65 y.,Indirect migration background,No,0.26017,32,102,0.17461,0.34574
2013,66 and older,No migration background,Yes,0.87141,3948,4523,0.86166,0.88117
2013,66 and older,No migration background,No,0.11999,575,4523,0.11052,0.12946
2013,66 and older,Direct migration background,Yes,0.81384,328,381,0.77470,0.85297
2013,66 and older,Direct migration background,No,0.12369,53,381,0.09059,0.15679
2015,17-29 y.,No migration background,Yes,0.29384,853,2521,0.27605,0.31162
2015,17-29 y.,No migration background,No,0.61239,1668,2521,0.59337,0.63142
2015,17-29 y.,Direct migration background,Yes,0.18217,147,586,0.15089,0.21344
2015,17-29 y.,Direct migration background,No,0.47907,439,586,0.43859,0.51956
2015,17-29 y.,Indirect migration background,Yes,0.28709,228,770,0.25511,0.31906
2015,17-29 y.,Indirect migration background,No,0.62878,542,770,0.59463,0.66292
2015,30-45 y.,No migration background,Yes,0.46440,2239,4698,0.45014,0.47866
2015,30-45 y.,No migration background,No,0.50564,2459,4698,0.49134,0.51993
2015,30-45 y.,Direct migration background,Yes,0.30675,728,1964,0.28635,0.32715
2015,30-45 y.,Direct migration background,No,0.51112,1236,1964,0.48900,0.53323
2015,30-45 y.,Indirect migration background,Yes,0.43286,285,606,0.39337,0.47234
2015,30-45 y.,Indirect migration background,No,0.53203,321,606,0.49227,0.57179
2015,46-65 y.,No migration background,Yes,0.68803,4855,7209,0.67734,0.69873
2015,46-65 y.,No migration background,No,0.30137,2354,7209,0.29077,0.31196
2015,46-65 y.,Direct migration background,Yes,0.64664,916,1417,0.62174,0.67154
2015,46-65 y.,Direct migration background,No,0.29485,501,1417,0.27110,0.31860
2015,46-65 y.,Indirect migration background,Yes,0.74089,111,172,0.67522,0.80656
2015,46-65 y.,Indirect migration background,No,0.24717,61,172,0.18252,0.31183
2015,66 and older,No migration background,Yes,0.87134,3888,4429,0.86148,0.88120
2015,66 and older,No migration background,No,0.12069,541,4429,0.11110,0.13029
2015,66 and older,Direct migration background,Yes,0.83242,369,430,0.79708,0.86776
2015,66 and older,Direct migration background,No,0.15580,61,430,0.12148,0.19012
2017,17-29 y.,No migration background,Yes,0.32429,1026,2904,0.30726,0.34132
2017,17-29 y.,No migration background,No,0.59117,1878,2904,0.57329,0.60906
2017,17-29 y.,Direct migration background,Yes,0.18289,140,614,0.15228,0.21349
2017,17-29 y.,Direct migration background,No,0.60444,474,614,0.56573,0.64314
2017,17-29 y.,Indirect migration background,Yes,0.29750,273,802,0.26584,0.32916
2017,17-29 y.,Indirect migration background,No,0.62070,529,802,0.58710,0.65430
2017,30-45 y.,No migration background,Yes,0.46903,2206,4526,0.45449,0.48357
2017,30-45 y.,No migration background,No,0.51773,2320,4526,0.50317,0.53229
2017,30-45 y.,Direct migration background,Yes,0.34813,771,2090,0.32770,0.36855
2017,30-45 y.,Direct migration background,No,0.59803,1319,2090,0.57700,0.61905
2017,30-45 y.,Indirect migration background,Yes,0.46838,271,588,0.42802,0.50875
2017,30-45 y.,Indirect migration background,No,0.52777,317,588,0.48738,0.56815
2017,46-65 y.,No migration background,Yes,0.71791,5664,8094,0.70811,0.72772
2017,46-65 y.,No migration background,No,0.27334,2430,8094,0.26363,0.28305
2017,46-65 y.,Direct migration background,Yes,0.66940,1017,1592,0.64629,0.69252
2017,46-65 y.,Direct migration background,No,0.31265,575,1592,0.28987,0.33543
2017,46-65 y.,Indirect migration background,Yes,0.70028,148,224,0.64015,0.76041
2017,46-65 y.,Indirect migration background,No,0.29793,76,224,0.23790,0.35795
2017,66 and older,No migration background,Yes,0.87524,3932,4484,0.86557,0.88491
2017,66 and older,No migration background,No,0.11855,552,4484,0.10908,0.12801
2017,66 and older,Direct migration background,Yes,0.86018,379,439,0.82770,0.89266
2017,66 and older,Direct migration background,No,0.13634,60,439,0.10420,0.16848
2019,17-29 y.,No migration background,Yes,0.38452,1090,2688,0.36612,0.40291
2019,17-29 y.,No migration background,No,0.52404,1598,2688,0.50516,0.54293
2019,17-29 y.,Direct migration background,Yes,0.24483,109,416,0.20346,0.28620
2019,17-29 y.,Direct migration background,No,0.52391,307,416,0.47586,0.57196
2019,17-29 y.,Indirect migration background,Yes,0.36330,265,701,0.32767,0.39893
2019,17-29 y.,Indirect migration background,No,0.55550,436,701,0.51869,0.59231
2019,30-45 y.,No migration background,Yes,0.50876,2200,4088,0.49344,0.52409
2019,30-45 y.,No migration background,No,0.47856,1888,4088,0.46324,0.49387
2019,30-45 y.,Direct migration background,Yes,0.40429,678,1586,0.38013,0.42845
2019,30-45 y.,Direct migration background,No,0.52676,908,1586,0.50218,0.55134
2019,30-45 y.,Indirect migration background,Yes,0.52313,300,546,0.48120,0.56507
2019,30-45 y.,Indirect migration background,No,0.46713,246,546,0.42524,0.50902
2019,46-65 y.,No migration background,Yes,0.75333,6189,8548,0.74419,0.76247
2019,46-65 y.,No migration background,No,0.23546,2359,8548,0.22646,0.24445
2019,46-65 y.,Direct migration background,Yes,0.70921,1015,1498,0.68621,0.73222
2019,46-65 y.,Direct migration background,No,0.25738,483,1498,0.23523,0.27952
2019,46-65 y.,Indirect migration background,Yes,0.68373,191,284,0.62955,0.73791
2019,46-65 y.,Indirect migration background,No,0.30664,93,284,0.25292,0.36037
2019,66 and older,No migration background,Yes,0.89821,4190,4693,0.88956,0.90686
2019,66 and older,No migration background,No,0.09657,503,4693,0.08812,0.10502
2019,66 and older,Direct migration background,Yes,0.88734,386,438,0.85769,0.91698
2019,66 and older,Direct migration background,No,0.10712,52,438,0.07812,0.13612
2021,17-29 y.,No migration background,Yes,0.37579,724,1760,0.35315,0.39842
2021,17-29 y.,No migration background,No,0.54409,1036,1760,0.52081,0.56736
2021,17-29 y.,Direct migration background,Yes,0.27287,256,1019,0.24551,0.30023
2021,17-29 y.,Direct migration background,No,0.64429,763,1019,0.61488,0.67370
2021,17-29 y.,Indirect migration background,Yes,0.39191,148,400,0.34401,0.43981
2021,17-29 y.,Indirect migration background,No,0.54901,252,400,0.50018,0.59783
2021,30-45 y.,No migration background,Yes,0.53072,1431,2590,0.51149,0.54994
2021,30-45 y.,No migration background,No,0.45451,1159,2590,0.43533,0.47369
2021,30-45 y.,Direct migration background,Yes,0.41355,933,2304,0.39344,0.43367
2021,30-45 y.,Direct migration background,No,0.55949,1371,2304,0.53921,0.57976
2021,30-45 y.,Indirect migration background,Yes,0.56903,186,312,0.51399,0.62407
2021,30-45 y.,Indirect migration background,No,0.42651,126,312,0.37154,0.48147
2021,46-65 y.,No migration background,Yes,0.74012,4098,5551,0.72858,0.75166
2021,46-65 y.,No migration background,No,0.25053,1453,5551,0.23913,0.26193
2021,46-65 y.,Direct migration background,Yes,0.76465,993,1466,0.74293,0.78637
2021,46-65 y.,Direct migration background,No,0.22556,473,1466,0.20416,0.24696
2021,46-65 y.,Indirect migration background,Yes,0.64716,135,199,0.58060,0.71372
2021,46-65 y.,Indirect migration background,No,0.35284,64,199,0.28628,0.41940
2021,66 and older,No migration background,Yes,0.89743,2845,3208,0.88693,0.90793
2021,66 and older,No migration background,No,0.09340,363,3208,0.08333,0.10347
2021,66 and older,Direct migration background,Yes,0.94925,297,331,0.92556,0.97293
2021,66 and older,Direct migration background,No,0.04874,34,331,0.02551,0.07198
