year,age_gr,quintil_oecd,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,1st Quintile,Earn money,0.20240,138,298,0.15670,0.24810
1994,17-29 y.,1st Quintile,Both equally,0.24029,160,298,0.19170,0.28888
1994,17-29 y.,2nd Quintile,Earn money,0.14931,114,224,0.10253,0.19609
1994,17-29 y.,2nd Quintile,Both equally,0.18508,110,224,0.13411,0.23605
1994,17-29 y.,3rd Quintile,Earn money,0.10436,73,200,0.06188,0.14684
1994,17-29 y.,3rd Quintile,Both equally,0.17711,127,200,0.12407,0.23015
1994,17-29 y.,4th Quintile,Earn money,0.10269,70,167,0.05651,0.14887
1994,17-29 y.,4th Quintile,Both equally,0.14741,97,167,0.09348,0.20134
1994,17-29 y.,5th Quintile,Earn money,0.07523,34,95,0.02191,0.12855
1994,17-29 y.,5th Quintile,Both equally,0.11869,61,95,0.05331,0.18407
1994,30-45 y.,1st Quintile,Earn money,0.18137,125,225,0.13091,0.23183
1994,30-45 y.,1st Quintile,Both equally,0.12192,100,225,0.07907,0.16477
1994,30-45 y.,2nd Quintile,Earn money,0.08943,78,158,0.04479,0.13407
1994,30-45 y.,2nd Quintile,Both equally,0.09474,80,158,0.04893,0.14055
1994,30-45 y.,3rd Quintile,Earn money,0.03800,38,99,0.00015,0.07586
1994,30-45 y.,3rd Quintile,Both equally,0.07507,61,99,0.02290,0.12725
1994,30-45 y.,4th Quintile,Both equally,0.04445,41,41,-0.01942,0.10832
1994,30-45 y.,5th Quintile,Both equally,0.04457,38,38,-0.02192,0.11106
1994,46-65 y.,1st Quintile,Earn money,0.09855,57,94,0.03797,0.15913
1994,46-65 y.,1st Quintile,Both equally,0.04037,37,94,0.00037,0.08038
1994,46-65 y.,2nd Quintile,Earn money,0.04979,35,35,-0.02332,0.12291
1994,46-65 y.,3rd Quintile,Both equally,0.05565,37,37,-0.01924,0.13054
1994,46-65 y.,5th Quintile,Both equally,0.02802,31,31,-0.03104,0.08708
1995,17-29 y.,1st Quintile,Earn money,0.21237,157,320,0.16749,0.25725
1995,17-29 y.,1st Quintile,Both equally,0.22810,163,320,0.18205,0.27414
1995,17-29 y.,2nd Quintile,Earn money,0.13512,99,245,0.09222,0.17801
1995,17-29 y.,2nd Quintile,Both equally,0.21220,146,245,0.16090,0.26350
1995,17-29 y.,3rd Quintile,Earn money,0.07912,61,187,0.04033,0.11791
1995,17-29 y.,3rd Quintile,Both equally,0.17367,126,187,0.11923,0.22811
1995,17-29 y.,4th Quintile,Earn money,0.09620,64,150,0.04885,0.14354
1995,17-29 y.,4th Quintile,Both equally,0.13634,86,150,0.08124,0.19144
1995,17-29 y.,5th Quintile,Earn money,0.07245,35,112,0.02423,0.12068
1995,17-29 y.,5th Quintile,Both equally,0.16928,77,112,0.09951,0.23904
1995,30-45 y.,1st Quintile,Earn money,0.16811,154,272,0.12358,0.21263
1995,30-45 y.,1st Quintile,Both equally,0.14363,118,272,0.10187,0.18538
1995,30-45 y.,2nd Quintile,Earn money,0.07854,78,184,0.03956,0.11752
1995,30-45 y.,2nd Quintile,Both equally,0.12207,106,184,0.07464,0.16950
1995,30-45 y.,3rd Quintile,Earn money,0.03497,38,101,-0.00104,0.07098
1995,30-45 y.,3rd Quintile,Both equally,0.08331,63,101,0.02914,0.13747
1995,30-45 y.,4th Quintile,Both equally,0.06842,58,58,0.00288,0.13396
1995,30-45 y.,5th Quintile,Both equally,0.04669,36,36,-0.02320,0.11659
1995,46-65 y.,1st Quintile,Earn money,0.08510,61,101,0.03041,0.13980
1995,46-65 y.,1st Quintile,Both equally,0.06869,40,101,0.01911,0.11826
1995,46-65 y.,2nd Quintile,Both equally,0.04542,41,41,-0.01911,0.10995
1995,46-65 y.,3rd Quintile,Both equally,0.04489,32,32,-0.02800,0.11777
1995,46-65 y.,4th Quintile,Both equally,0.03272,31,31,-0.03094,0.09638
1996,17-29 y.,1st Quintile,Earn money,0.20396,154,320,0.15975,0.24818
1996,17-29 y.,1st Quintile,Both equally,0.22707,166,320,0.18110,0.27305
1996,17-29 y.,2nd Quintile,Earn money,0.13580,98,238,0.09219,0.17942
1996,17-29 y.,2nd Quintile,Both equally,0.22583,140,238,0.17260,0.27907
1996,17-29 y.,3rd Quintile,Earn money,0.13448,74,180,0.08450,0.18446
1996,17-29 y.,3rd Quintile,Both equally,0.18526,106,180,0.12834,0.24217
1996,17-29 y.,4th Quintile,Earn money,0.06591,47,122,0.02170,0.11012
1996,17-29 y.,4th Quintile,Both equally,0.10914,75,122,0.05358,0.16470
1996,17-29 y.,5th Quintile,Earn money,0.08032,31,127,0.03286,0.12777
1996,17-29 y.,5th Quintile,Both equally,0.23099,96,127,0.15740,0.30458
1996,30-45 y.,1st Quintile,Earn money,0.16644,139,275,0.12233,0.21054
1996,30-45 y.,1st Quintile,Both equally,0.16444,136,275,0.12055,0.20833
1996,30-45 y.,2nd Quintile,Earn money,0.08139,87,180,0.04134,0.12145
1996,30-45 y.,2nd Quintile,Both equally,0.10411,93,180,0.05937,0.14885
