year,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Earn money,0.04552,856,2014,0.03641,0.05462
1994,Other reasons,0.00808,121,2014,0.00417,0.01199
1994,Both equally,0.05624,1037,2014,0.04617,0.06630
1995,Earn money,0.04214,867,2140,0.03363,0.05066
1995,Other reasons,0.00740,121,2140,0.00377,0.01103
1995,Both equally,0.06222,1152,2140,0.05199,0.07246
1996,Earn money,0.04478,882,2138,0.03601,0.05355
1996,Other reasons,0.00839,126,2138,0.00453,0.01226
1996,Both equally,0.06159,1130,2138,0.05140,0.07178
1997,Earn money,0.04382,847,2117,0.03510,0.05254
1997,Other reasons,0.00643,96,2117,0.00302,0.00983
1997,Both equally,0.06626,1174,2117,0.05566,0.07686
1998,Earn money,0.04574,918,2223,0.03705,0.05443
1998,Other reasons,0.00790,133,2223,0.00422,0.01158
1998,Both equally,0.05804,1172,2223,0.04832,0.06777
1999,Earn money,0.03728,746,1924,0.02881,0.04574
1999,Other reasons,0.00501,87,1924,0.00185,0.00816
1999,Both equally,0.05716,1091,1924,0.04678,0.06753
2000,Earn money,0.03815,1314,3357,0.03167,0.04464
2000,Other reasons,0.00720,229,3357,0.00434,0.01006
2000,Both equally,0.05375,1814,3357,0.04612,0.06138
2001,Earn money,0.03886,1147,2999,0.03194,0.04578
2001,Other reasons,0.00548,155,2999,0.00284,0.00813
2001,Both equally,0.05502,1697,2999,0.04686,0.06318
2003,Earn money,0.04755,1291,3098,0.04005,0.05504
2003,Other reasons,0.00442,147,3098,0.00209,0.00676
2003,Both equally,0.05711,1660,3098,0.04894,0.06529
2005,Earn money,0.04211,1031,2574,0.03435,0.04988
2005,Other reasons,0.00349,103,2574,0.00121,0.00576
2005,Both equally,0.05725,1440,2574,0.04827,0.06622
2007,Earn money,0.04181,981,2558,0.03405,0.04957
2007,Other reasons,0.00461,113,2558,0.00198,0.00723
2007,Both equally,0.05865,1464,2558,0.04955,0.06776
2009,Earn money,0.04306,878,2057,0.03429,0.05184
2009,Other reasons,0.00472,100,2057,0.00176,0.00769
2009,Both equally,0.04864,1079,2057,0.03935,0.05794
2011,Earn money,0.02152,623,1607,0.01442,0.02862
2011,Other reasons,0.00258,76,1607,0.00010,0.00506
2011,Both equally,0.02653,908,1607,0.01867,0.03439
2013,Earn money,0.02709,787,1974,0.01992,0.03425
2013,Other reasons,0.00591,155,1974,0.00253,0.00929
2013,Both equally,0.03301,1032,1974,0.02513,0.04089
2017,Earn money,0.03371,1286,3409,0.02765,0.03977
2017,Other reasons,0.00738,293,3409,0.00450,0.01025
2017,Both equally,0.04968,1830,3409,0.04238,0.05697
