year,quintil_oecd,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,Earn money,0.08850,321,618,0.06609,0.11091
1994,1st Quintile,Both equally,0.07074,297,618,0.05051,0.09097
1994,2nd Quintile,Earn money,0.05466,227,447,0.03356,0.07576
1994,2nd Quintile,Both equally,0.06055,220,447,0.03842,0.08269
1994,3rd Quintile,Earn money,0.03268,130,356,0.01419,0.05118
1994,3rd Quintile,Both equally,0.06369,226,356,0.03829,0.08910
1994,4th Quintile,Earn money,0.03276,116,278,0.01180,0.05372
1994,4th Quintile,Both equally,0.04619,162,278,0.02147,0.07091
1994,5th Quintile,Earn money,0.01876,61,191,-0.00053,0.03805
1994,5th Quintile,Both equally,0.03984,130,191,0.01203,0.06765
1995,1st Quintile,Earn money,0.09198,373,694,0.07046,0.11349
1995,1st Quintile,Both equally,0.08657,321,694,0.06563,0.10751
1995,2nd Quintile,Earn money,0.04691,205,498,0.02832,0.06550
1995,2nd Quintile,Both equally,0.07001,293,498,0.04758,0.09244
1995,3rd Quintile,Earn money,0.02750,120,342,0.01014,0.04486
1995,3rd Quintile,Both equally,0.06048,222,342,0.03518,0.08578
1995,4th Quintile,Earn money,0.02545,103,278,0.00690,0.04400
1995,4th Quintile,Both equally,0.05023,175,278,0.02451,0.07596
1995,5th Quintile,Earn money,0.01899,66,241,0.00172,0.03626
1995,5th Quintile,Other reasons,0.01313,35,241,-0.00127,0.02753
1995,5th Quintile,Both equally,0.04340,140,241,0.01762,0.06918
1996,1st Quintile,Earn money,0.09218,362,699,0.07072,0.11364
1996,1st Quintile,Both equally,0.08761,337,699,0.06664,0.10859
1996,2nd Quintile,Earn money,0.04810,216,478,0.02890,0.06730
1996,2nd Quintile,Both equally,0.06819,262,478,0.04557,0.09081
1996,3rd Quintile,Earn money,0.03863,144,354,0.01852,0.05873
1996,3rd Quintile,Both equally,0.06224,210,354,0.03704,0.08745
1996,4th Quintile,Earn money,0.02458,98,293,0.00682,0.04233
1996,4th Quintile,Other reasons,0.01013,32,293,-0.00136,0.02162
1996,4th Quintile,Both equally,0.04198,163,293,0.01897,0.06498
1996,5th Quintile,Earn money,0.02023,61,253,0.00285,0.03762
1996,5th Quintile,Other reasons,0.01440,34,253,-0.00031,0.02911
1996,5th Quintile,Both equally,0.04818,158,253,0.02174,0.07462
1997,1st Quintile,Earn money,0.08589,329,653,0.06438,0.10739
1997,1st Quintile,Both equally,0.09738,324,653,0.07462,0.12013
1997,2nd Quintile,Earn money,0.05383,233,505,0.03412,0.07353
1997,2nd Quintile,Both equally,0.06767,272,505,0.04574,0.08960
1997,3rd Quintile,Earn money,0.03225,127,375,0.01434,0.05015
1997,3rd Quintile,Both equally,0.07465,248,375,0.04801,0.10128
1997,4th Quintile,Earn money,0.03111,103,291,0.01113,0.05110
1997,4th Quintile,Both equally,0.04846,188,291,0.02375,0.07318
1997,5th Quintile,Earn money,0.01596,55,197,-0.00159,0.03350
1997,5th Quintile,Both equally,0.04313,142,197,0.01469,0.07157
1998,1st Quintile,Earn money,0.10183,335,642,0.07841,0.12524
1998,1st Quintile,Both equally,0.08887,307,642,0.06684,0.11090
1998,2nd Quintile,Earn money,0.04888,200,456,0.02907,0.06869
1998,2nd Quintile,Both equally,0.06821,256,456,0.04504,0.09137
1998,3rd Quintile,Earn money,0.03182,124,337,0.01305,0.05058
1998,3rd Quintile,Both equally,0.05525,213,337,0.03082,0.07968
1998,4th Quintile,Earn money,0.02672,89,242,0.00636,0.04708
1998,4th Quintile,Both equally,0.04379,153,242,0.01796,0.06963
1998,5th Quintile,Earn money,0.01932,56,179,-0.00090,0.03954
1998,5th Quintile,Both equally,0.04056,123,179,0.01158,0.06955
1999,1st Quintile,Earn money,0.07716,303,652,0.05666,0.09766
1999,1st Quintile,Both equally,0.09411,349,652,0.07168,0.11654
1999,2nd Quintile,Earn money,0.04298,187,449,0.02420,0.06176
1999,2nd Quintile,Both equally,0.06533,262,449,0.04245,0.08821
1999,3rd Quintile,Earn money,0.03314,135,344,0.01420,0.05209
1999,3rd Quintile,Both equally,0.05300,209,344,0.02929,0.07671
1999,4th Quintile,Earn money,0.01806,69,223,0.00054,0.03558
1999,4th Quintile,Both equally,0.03816,154,223,0.01296,0.06337
1999,5th Quintile,Earn money,0.01502,52,169,-0.00337,0.03341
1999,5th Quintile,Both equally,0.03516,117,169,0.00731,0.06301
2000,1st Quintile,Earn money,0.07617,307,636,0.05554,0.09680
2000,1st Quintile,Both equally,0.09075,329,636,0.06841,0.11309
2000,2nd Quintile,Earn money,0.04381,193,445,0.02477,0.06285
2000,2nd Quintile,Both equally,0.06221,252,445,0.03975,0.08468
2000,3rd Quintile,Earn money,0.02625,114,322,0.00876,0.04374
2000,3rd Quintile,Both equally,0.05398,208,322,0.02926,0.07870
2000,4th Quintile,Earn money,0.02165,81,216,0.00219,0.04110
2000,4th Quintile,Both equally,0.03501,135,216,0.01044,0.05958
2000,5th Quintile,Earn money,0.01839,54,184,-0.00108,0.03786
2000,5th Quintile,Both equally,0.03762,130,184,0.01005,0.06518
2001,1st Quintile,Earn money,0.08521,476,969,0.06763,0.10280
2001,1st Quintile,Both equally,0.08572,493,969,0.06808,0.10335
2001,2nd Quintile,Earn money,0.04415,273,660,0.02847,0.05984
2001,2nd Quintile,Both equally,0.05801,387,660,0.04017,0.07586
2001,3rd Quintile,Earn money,0.03176,196,523,0.01671,0.04680
2001,3rd Quintile,Both equally,0.05030,327,523,0.03155,0.06905
2001,4th Quintile,Earn money,0.02150,131,431,0.00779,0.03520
2001,4th Quintile,Other reasons,0.00657,39,431,-0.00107,0.01420
2001,4th Quintile,Both equally,0.04133,261,431,0.02251,0.06014
2001,5th Quintile,Earn money,0.01171,71,340,0.00026,0.02316
2001,5th Quintile,Other reasons,0.00694,41,340,-0.00190,0.01577
2001,5th Quintile,Both equally,0.03944,228,340,0.01872,0.06016
2003,1st Quintile,Earn money,0.11053,495,925,0.09032,0.13075
2003,1st Quintile,Both equally,0.09671,430,925,0.07765,0.11577
2003,2nd Quintile,Earn money,0.05260,292,615,0.03494,0.07026
2003,2nd Quintile,Both equally,0.05901,323,615,0.04037,0.07765
2003,3rd Quintile,Earn money,0.03121,183,495,0.01588,0.04655
2003,3rd Quintile,Both equally,0.04952,312,495,0.03039,0.06865
2003,4th Quintile,Earn money,0.02691,171,433,0.01165,0.04217
2003,4th Quintile,Both equally,0.04181,262,433,0.02294,0.06068
2003,5th Quintile,Earn money,0.01583,149,547,0.00536,0.02630
2003,5th Quintile,Other reasons,0.00763,67,547,0.00033,0.01493
2003,5th Quintile,Both equally,0.03833,331,547,0.02223,0.05444
2005,1st Quintile,Earn money,0.09695,417,873,0.07731,0.11659
2005,1st Quintile,Both equally,0.11449,456,873,0.09335,0.13562
2005,2nd Quintile,Earn money,0.04659,231,538,0.02876,0.06441
2005,2nd Quintile,Both equally,0.05965,307,538,0.03962,0.07968
2005,3rd Quintile,Earn money,0.03353,163,383,0.01548,0.05158
2005,3rd Quintile,Both equally,0.04599,220,383,0.02498,0.06699
2005,4th Quintile,Earn money,0.01991,115,327,0.00475,0.03508
2005,4th Quintile,Both equally,0.03788,212,327,0.01715,0.05860
2005,5th Quintile,Earn money,0.01296,104,392,0.00175,0.02417
2005,5th Quintile,Other reasons,0.00503,44,392,-0.00198,0.01205
2005,5th Quintile,Both equally,0.02806,244,392,0.01169,0.04443
2007,1st Quintile,Earn money,0.10253,406,881,0.08249,0.12257
2007,1st Quintile,Both equally,0.12133,475,881,0.09976,0.14290
2007,2nd Quintile,Earn money,0.04912,225,494,0.03004,0.06819
2007,2nd Quintile,Both equally,0.05549,269,494,0.03528,0.07570
