year,migback,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Earn money,0.04490,633,1535,0.03454,0.05526
1994,No migration background,Other reasons,0.00846,98,1535,0.00388,0.01305
1994,No migration background,Both equally,0.05522,804,1535,0.04379,0.06665
1994,Direct migration background,Earn money,0.05552,165,307,0.02986,0.08117
1994,Direct migration background,Both equally,0.06009,142,307,0.03346,0.08672
1994,Indirect migration background,Earn money,0.03581,58,149,0.00587,0.06574
1994,Indirect migration background,Both equally,0.06623,91,149,0.02617,0.10630
1995,No migration background,Earn money,0.03809,573,1496,0.02839,0.04780
1995,No migration background,Other reasons,0.00786,98,1496,0.00339,0.01234
1995,No migration background,Both equally,0.05964,825,1496,0.04763,0.07164
1995,Direct migration background,Earn money,0.06999,233,476,0.04705,0.09294
1995,Direct migration background,Both equally,0.08388,243,476,0.05895,0.10881
1995,Indirect migration background,Earn money,0.04085,61,145,0.00852,0.07318
1995,Indirect migration background,Both equally,0.05091,84,145,0.01501,0.08682
1996,No migration background,Earn money,0.04159,601,1511,0.03152,0.05166
1996,No migration background,Other reasons,0.00800,91,1511,0.00351,0.01250
1996,No migration background,Both equally,0.05859,819,1511,0.04674,0.07043
1996,Direct migration background,Earn money,0.06887,214,422,0.04468,0.09306
1996,Direct migration background,Both equally,0.08154,208,422,0.05540,0.10768
1996,Indirect migration background,Earn money,0.03870,67,170,0.00962,0.06778
1996,Indirect migration background,Both equally,0.06272,103,170,0.02617,0.09928
1997,No migration background,Earn money,0.04134,573,1492,0.03123,0.05144
1997,No migration background,Other reasons,0.00615,68,1492,0.00218,0.01012
1997,No migration background,Both equally,0.06300,851,1492,0.05066,0.07533
1997,Direct migration background,Earn money,0.06469,213,429,0.04139,0.08799
1997,Direct migration background,Both equally,0.08584,216,429,0.05930,0.11238
1997,Indirect migration background,Earn money,0.03464,61,168,0.00691,0.06238
1997,Indirect migration background,Both equally,0.07267,107,168,0.03330,0.11204
1998,No migration background,Earn money,0.04048,631,1649,0.03096,0.04999
1998,No migration background,Other reasons,0.00833,107,1649,0.00394,0.01272
1998,No migration background,Both equally,0.05656,911,1649,0.04540,0.06771
1998,Direct migration background,Earn money,0.07939,213,382,0.05224,0.10654
1998,Direct migration background,Both equally,0.06817,169,382,0.04286,0.09348
1998,Indirect migration background,Earn money,0.05295,74,166,0.01878,0.08712
1998,Indirect migration background,Both equally,0.05878,92,166,0.02289,0.09467
1999,No migration background,Earn money,0.03401,523,1441,0.02465,0.04338
1999,No migration background,Other reasons,0.00506,71,1441,0.00139,0.00872
1999,No migration background,Both equally,0.05625,847,1441,0.04435,0.06815
1999,Direct migration background,Earn money,0.05922,155,308,0.03282,0.08563
1999,Direct migration background,Both equally,0.06157,153,308,0.03469,0.08846
1999,Indirect migration background,Earn money,0.04011,68,159,0.00952,0.07071
1999,Indirect migration background,Both equally,0.06129,91,159,0.02389,0.09869
2000,No migration background,Earn money,0.03347,953,2548,0.02648,0.04045
2000,No migration background,Other reasons,0.00716,190,2548,0.00389,0.01043
