year,sampreg,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,Earn money,0.04087,546,1347,0.03030,0.05145
1994,West,Other reasons,0.00916,105,1347,0.00407,0.01425
1994,West,Both equally,0.05316,696,1347,0.04117,0.06514
1994,East,Earn money,0.06420,310,651,0.04536,0.08304
1994,East,Both equally,0.06863,341,651,0.04919,0.08806
1995,West,Earn money,0.04130,622,1535,0.03134,0.05126
1995,West,Other reasons,0.00844,109,1535,0.00386,0.01301
1995,West,Both equally,0.06016,804,1535,0.04826,0.07206
1995,East,Earn money,0.04568,245,593,0.02886,0.06249
1995,East,Both equally,0.07087,348,593,0.05020,0.09154
1996,West,Earn money,0.04092,580,1485,0.03084,0.05099
1996,West,Other reasons,0.00924,106,1485,0.00437,0.01411
1996,West,Both equally,0.06004,799,1485,0.04796,0.07213
1996,East,Earn money,0.06131,302,633,0.04260,0.08001
1996,East,Both equally,0.06821,331,633,0.04855,0.08786
1997,West,Earn money,0.03975,568,1476,0.02978,0.04972
1997,West,Other reasons,0.00729,85,1476,0.00295,0.01163
1997,West,Both equally,0.06444,823,1476,0.05191,0.07697
1997,East,Earn money,0.06144,279,630,0.04267,0.08021
1997,East,Both equally,0.07413,351,630,0.05365,0.09460
1998,West,Earn money,0.04237,616,1528,0.03227,0.05247
1998,West,Other reasons,0.00856,113,1528,0.00394,0.01318
1998,West,Both equally,0.05470,799,1528,0.04330,0.06611
1998,East,Earn money,0.06015,302,675,0.04220,0.07810
1998,East,Both equally,0.07234,373,675,0.05278,0.09189
1999,West,Earn money,0.03570,508,1300,0.02561,0.04579
1999,West,Other reasons,0.00547,73,1300,0.00146,0.00948
1999,West,Both equally,0.05201,719,1300,0.03994,0.06409
1999,East,Earn money,0.04422,238,610,0.02789,0.06055
1999,East,Both equally,0.07981,372,610,0.05828,0.10133
2000,West,Earn money,0.03455,889,2380,0.02721,0.04189
2000,West,Other reasons,0.00801,204,2380,0.00443,0.01159
2000,West,Both equally,0.05011,1287,2380,0.04134,0.05888
2000,East,Earn money,0.05389,425,952,0.03954,0.06824
2000,East,Both equally,0.06962,527,952,0.05345,0.08580
2001,West,Earn money,0.03565,761,2099,0.02772,0.04359
2001,West,Other reasons,0.00620,139,2099,0.00284,0.00956
2001,West,Both equally,0.05121,1199,2099,0.04178,0.06065
2001,East,Earn money,0.05318,386,884,0.03838,0.06798
2001,East,Both equally,0.07200,498,884,0.05495,0.08905
2003,West,Earn money,0.04325,857,2150,0.03465,0.05185
2003,West,Other reasons,0.00473,126,2150,0.00183,0.00763
2003,West,Both equally,0.05213,1167,2150,0.04273,0.06153
2003,East,Earn money,0.06697,434,927,0.05087,0.08308
2003,East,Both equally,0.07965,493,927,0.06221,0.09709
2005,West,Earn money,0.03751,684,1737,0.02857,0.04645
2005,West,Other reasons,0.00379,89,1737,0.00090,0.00669
2005,West,Both equally,0.05007,964,1737,0.03981,0.06033
2005,East,Earn money,0.06310,347,823,0.04647,0.07972
2005,East,Both equally,0.08995,476,823,0.07039,0.10951
2007,West,Earn money,0.03979,689,1820,0.03081,0.04877
2007,West,Other reasons,0.00490,94,1820,0.00169,0.00811
2007,West,Both equally,0.05353,1037,1820,0.04319,0.06387
2007,East,Earn money,0.05095,292,719,0.03487,0.06704
2007,East,Both equally,0.08184,427,719,0.06179,0.10189
2009,West,Earn money,0.04024,607,1452,0.03013,0.05035
2009,West,Other reasons,0.00493,83,1452,0.00132,0.00853
2009,West,Both equally,0.04591,762,1452,0.03514,0.05668
2009,East,Earn money,0.05572,271,588,0.03717,0.07428
2009,East,Both equally,0.06092,317,588,0.04157,0.08027
2011,West,Earn money,0.01921,425,1176,0.01136,0.02705
2011,West,Other reasons,0.00289,67,1176,-0.00018,0.00595
2011,West,Both equally,0.02632,684,1176,0.01717,0.03548
2011,East,Earn money,0.03231,198,422,0.01542,0.04920
2011,East,Both equally,0.02751,224,422,0.01189,0.04314
2013,West,Earn money,0.02427,570,1522,0.01653,0.03200
2013,West,Other reasons,0.00625,130,1522,0.00229,0.01021
2013,West,Both equally,0.03340,822,1522,0.02437,0.04243
2013,East,Earn money,0.04039,217,427,0.02170,0.05909
2013,East,Both equally,0.03118,210,427,0.01468,0.04769
2017,West,Earn money,0.03271,1018,2733,0.02604,0.03938
2017,West,Other reasons,0.00803,258,2733,0.00468,0.01137
2017,West,Both equally,0.04916,1457,2733,0.04105,0.05727
2017,East,Earn money,0.03856,268,676,0.02403,0.05308
2017,East,Other reasons,0.00423,35,676,-0.00067,0.00913
2017,East,Both equally,0.05220,373,676,0.03542,0.06897
