year,age_gr,bula_h,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Lower Saxony,Both equally,0.17194,45,45,0.06045,0.28344
1994,17-29 y.,North Rhine-Westphalia,Earn money,0.10763,75,215,0.06611,0.14915
1994,17-29 y.,North Rhine-Westphalia,Both equally,0.21667,140,215,0.16148,0.27187
1994,17-29 y.,Hesse,Both equally,0.16835,39,39,0.04938,0.28732
1994,17-29 y.,Baden-Wuerttemberg,Earn money,0.13935,76,156,0.08483,0.19387
1994,17-29 y.,Baden-Wuerttemberg,Both equally,0.16027,80,156,0.10251,0.21802
1994,17-29 y.,Bavaria,Earn money,0.13097,51,99,0.06418,0.19777
1994,17-29 y.,Bavaria,Both equally,0.12630,48,99,0.06053,0.19207
1994,17-29 y.,Saxony,Earn money,0.14331,36,85,0.06838,0.21824
1994,17-29 y.,Saxony,Both equally,0.21526,49,85,0.12737,0.30315
1994,30-45 y.,North Rhine-Westphalia,Earn money,0.05080,45,122,0.01167,0.08992
1994,30-45 y.,North Rhine-Westphalia,Both equally,0.08509,77,122,0.03538,0.13481
1994,30-45 y.,Baden-Wuerttemberg,Earn money,0.06566,36,69,0.00679,0.12453
1994,30-45 y.,Baden-Wuerttemberg,Both equally,0.05480,33,69,0.00071,0.10890
1994,30-45 y.,Bavaria,Both equally,0.07262,35,35,-0.01461,0.15985
1994,30-45 y.,Saxony,Both equally,0.08986,36,36,-0.00489,0.18461
1995,17-29 y.,Lower Saxony,Both equally,0.22432,56,56,0.11408,0.33456
1995,17-29 y.,North Rhine-Westphalia,Earn money,0.10091,78,202,0.05927,0.14255
1995,17-29 y.,North Rhine-Westphalia,Both equally,0.19735,124,202,0.14233,0.25237
1995,17-29 y.,Hesse,Both equally,0.15507,36,36,0.03515,0.27499
1995,17-29 y.,"Rhineland-Palatinate, Saarland",Both equally,0.20120,31,31,0.05774,0.34465
1995,17-29 y.,Baden-Wuerttemberg,Earn money,0.13299,65,149,0.07828,0.18770
1995,17-29 y.,Baden-Wuerttemberg,Both equally,0.16881,84,149,0.10846,0.22916
1995,17-29 y.,Bavaria,Earn money,0.14851,59,125,0.08592,0.21111
1995,17-29 y.,Bavaria,Both equally,0.13751,66,125,0.07690,0.19813
1995,17-29 y.,Berlin,Both equally,0.25673,33,33,0.10538,0.40809
1995,17-29 y.,Saxony,Both equally,0.22148,52,52,0.10752,0.33545
1995,30-45 y.,Lower Saxony,Both equally,0.11917,38,38,0.01477,0.22357
1995,30-45 y.,North Rhine-Westphalia,Earn money,0.06565,67,146,0.02534,0.10596
