year,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,male,Earn money,0.04155,366,704,0.02680,0.05630
1994,male,Both equally,0.03967,338,704,0.02524,0.05410
1994,female,Earn money,0.04929,490,1285,0.03745,0.06113
1994,female,Other reasons,0.01199,96,1285,0.00604,0.01795
1994,female,Both equally,0.07197,699,1285,0.05784,0.08611
1995,male,Earn money,0.03724,355,734,0.02353,0.05095
1995,male,Both equally,0.04301,379,734,0.02833,0.05770
1995,female,Earn money,0.04681,512,1384,0.03568,0.05795
1995,female,Other reasons,0.01166,99,1384,0.00600,0.01732
1995,female,Both equally,0.08050,773,1384,0.06616,0.09484
1996,male,Earn money,0.03866,363,753,0.02488,0.05244
1996,male,Both equally,0.04371,390,753,0.02910,0.05833
1996,female,Earn money,0.05061,519,1359,0.03895,0.06227
1996,female,Other reasons,0.01328,100,1359,0.00719,0.01937
1996,female,Both equally,0.07864,740,1359,0.06433,0.09296
1997,male,Earn money,0.03993,370,768,0.02608,0.05379
1997,male,Both equally,0.04714,398,768,0.03214,0.06214
1997,female,Earn money,0.04753,477,1329,0.03609,0.05898
1997,female,Other reasons,0.01021,76,1329,0.00480,0.01561
1997,female,Both equally,0.08453,776,1329,0.06956,0.09949
1998,male,Earn money,0.04293,423,817,0.02902,0.05684
1998,male,Both equally,0.04142,394,817,0.02775,0.05509
1998,female,Earn money,0.04842,495,1376,0.03708,0.05977
1998,female,Other reasons,0.01195,103,1376,0.00621,0.01770
1998,female,Both equally,0.07394,778,1376,0.06010,0.08777
1999,male,Earn money,0.03468,327,678,0.02090,0.04847
1999,male,Both equally,0.03921,351,678,0.02459,0.05383
1999,female,Earn money,0.03976,419,1223,0.02881,0.05072
1999,female,Other reasons,0.00713,64,1223,0.00241,0.01184
1999,female,Both equally,0.07435,740,1223,0.05964,0.08906
2000,male,Earn money,0.03467,557,1198,0.02430,0.04503
2000,male,Other reasons,0.00284,43,1198,-0.00017,0.00586
2000,male,Both equally,0.03832,598,1198,0.02744,0.04919
2000,female,Earn money,0.04149,757,2159,0.03308,0.04991
2000,female,Other reasons,0.01137,186,2159,0.00690,0.01585
2000,female,Both equally,0.06853,1216,2159,0.05787,0.07918
2001,male,Earn money,0.03646,501,1057,0.02516,0.04777
2001,male,Both equally,0.03957,556,1057,0.02781,0.05132
2001,female,Earn money,0.04117,646,1912,0.03226,0.05007
2001,female,Other reasons,0.00860,125,1912,0.00446,0.01274
2001,female,Both equally,0.06985,1141,1912,0.05842,0.08128
2003,male,Earn money,0.04707,615,1273,0.03543,0.05871
2003,male,Other reasons,0.00264,39,1273,-0.00018,0.00547
2003,male,Both equally,0.04610,619,1273,0.03458,0.05762
2003,female,Earn money,0.04800,676,1825,0.03819,0.05782
2003,female,Other reasons,0.00613,108,1825,0.00255,0.00972
2003,female,Both equally,0.06771,1041,1825,0.05618,0.07924
2005,male,Earn money,0.04269,487,1030,0.03034,0.05504
2005,male,Both equally,0.04711,543,1030,0.03417,0.06006
2005,female,Earn money,0.04156,544,1515,0.03151,0.05161
2005,female,Other reasons,0.00487,74,1515,0.00136,0.00838
2005,female,Both equally,0.06700,897,1515,0.05441,0.07960
2007,male,Earn money,0.03769,419,963,0.02565,0.04972
2007,male,Other reasons,0.00308,38,963,-0.00042,0.00658
2007,male,Both equally,0.04446,506,963,0.03144,0.05749
2007,female,Earn money,0.04579,562,1595,0.03553,0.05605
2007,female,Other reasons,0.00608,75,1595,0.00226,0.00989
2007,female,Both equally,0.07234,958,1595,0.05963,0.08506
2009,male,Earn money,0.04112,402,862,0.02786,0.05438
2009,male,Other reasons,0.00380,31,862,-0.00031,0.00791
2009,male,Both equally,0.04264,429,862,0.02915,0.05614
2009,female,Earn money,0.04494,476,1195,0.03319,0.05669
2009,female,Other reasons,0.00562,69,1195,0.00138,0.00986
2009,female,Both equally,0.05444,650,1195,0.04157,0.06731
2011,male,Earn money,0.02332,294,627,0.01150,0.03514
2011,male,Both equally,0.02474,333,627,0.01257,0.03690
2011,female,Earn money,0.01979,329,960,0.01098,0.02861
2011,female,Other reasons,0.00319,56,960,-0.00038,0.00676
2011,female,Both equally,0.02826,575,960,0.01777,0.03875
2013,male,Earn money,0.02790,339,785,0.01637,0.03942
2013,male,Other reasons,0.00374,49,785,-0.00053,0.00802
2013,male,Both equally,0.03246,397,785,0.02005,0.04486
2013,female,Earn money,0.02631,448,1189,0.01721,0.03541
2013,female,Other reasons,0.00800,106,1189,0.00294,0.01307
2013,female,Both equally,0.03354,635,1189,0.02331,0.04378
2017,male,Earn money,0.03126,511,1258,0.02164,0.04088
2017,male,Other reasons,0.00590,98,1258,0.00167,0.01014
2017,male,Both equally,0.04480,649,1258,0.03337,0.05624
2017,female,Earn money,0.03612,775,2151,0.02824,0.04401
2017,female,Other reasons,0.00882,195,2151,0.00487,0.01278
2017,female,Both equally,0.05448,1181,2151,0.04488,0.06407
