year,regtyp,sex,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,male,Very seldom,0.010617035590549703,163,20440,0.010592627269181473,0.010641443911917934
2007,Urban regions,male,Seldom,0.03338433804070569,545,20440,0.03334155689998164,0.03342711918142974
2007,Urban regions,male,Sometimes,0.11797974633974365,2272,20440,0.11790292231247732,0.11805657036700998
2007,Urban regions,male,Often,0.1420453956717411,2889,20440,0.14196225762879375,0.14212853371468845
2007,Urban regions,male,Very often,0.023950188873352738,479,20440,0.023913776874177804,0.023986600872527672
2007,Urban regions,female,Very seldom,0.01227641507489496,203,20440,0.012250190554405896,0.012302639595384026
2007,Urban regions,female,Seldom,0.03949265095195733,685,20440,0.03944626755502124,0.03953903434889342
2007,Urban regions,female,Sometimes,0.1181131428063921,2332,20440,0.1180362811729082,0.118190004439876
2007,Urban regions,female,Often,0.14518156219018802,3181,20440,0.14509766513154224,0.1452654592488338
2007,Urban regions,female,Very often,0.03325861324908337,649,20440,0.033215909963960226,0.03330131653420652
2007,Rural regions,male,Very seldom,0.003952164454794543,78,20440,0.003937222353921185,0.003967106555667902
2007,Rural regions,male,Seldom,0.015436814478191448,311,20440,0.015407454569488234,0.015466174386894663
2007,Rural regions,male,Sometimes,0.059923122331029095,1259,20440,0.05986659832101584,0.05997964634104235
2007,Rural regions,male,Often,0.06765358769583125,1518,20440,0.067593775722612,0.0677133996690505
2007,Rural regions,male,Very often,0.011078893222315483,228,20440,0.011053965472717238,0.011103820971913729
2007,Rural regions,female,Very seldom,0.0036579168963247932,75,20440,0.0036435396664567976,0.003672294126192789
2007,Rural regions,female,Seldom,0.018302062044790696,371,20440,0.018270139830176408,0.018333984259404985
2007,Rural regions,female,Sometimes,0.058899224112686395,1217,20440,0.058843154582816234,0.058955293642556555
2007,Rural regions,female,Often,0.07063394818296131,1664,20440,0.07057293071167892,0.07069496565424371
2007,Rural regions,female,Very often,0.014163177792466413,321,20440,0.014135036960478648,0.014191318624454177
2008,Urban regions,male,Very seldom,0.010042082035009389,129,19240,0.010018372973746897,0.01006579109627188
2008,Urban regions,male,Seldom,0.033602663539632344,508,19240,0.03355981275057365,0.033645514328691034
2008,Urban regions,male,Sometimes,0.12206564184259297,2151,19240,0.12198779843266515,0.12214348525252079
2008,Urban regions,male,Often,0.14187984611903776,2753,19240,0.14179687470053345,0.14196281753754206
2008,Urban regions,male,Very often,0.02269209740144878,435,19240,0.02265668567225209,0.022727509130645467
2008,Urban regions,female,Very seldom,0.01220414794033839,199,19240,0.01217803946923878,0.012230256411438002
2008,Urban regions,female,Seldom,0.037662250501837025,620,19240,0.037616980448673766,0.03770752055500028
2008,Urban regions,female,Sometimes,0.11936631635414492,2192,19240,0.11928922021106969,0.11944341249722015
2008,Urban regions,female,Often,0.14896868900190685,3025,19240,0.1488840219618988,0.14905335604191491
2008,Urban regions,female,Very often,0.030154954042489843,604,19240,0.03011428868252823,0.030195619402451454
2008,Rural regions,male,Very seldom,0.0037505596105642945,69,19240,0.0037360242372247343,0.0037650949839038547
