year,bula_h,sex,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,male,Sometimes,0.31450,113,241,0.25576,0.37325
2007,Schleswig-Holstein,male,Often,0.38358,128,241,0.32206,0.44510
2007,Schleswig-Holstein,female,Sometimes,0.31588,103,286,0.26191,0.36985
2007,Schleswig-Holstein,female,Often,0.36133,147,286,0.30556,0.41710
2007,Schleswig-Holstein,female,Very often,0.08487,36,286,0.05251,0.11722
2007,Hamburg,male,Sometimes,0.28924,45,112,0.20489,0.37359
2007,Hamburg,male,Often,0.41820,67,112,0.32643,0.50996
2007,Hamburg,female,Sometimes,0.40611,71,131,0.32169,0.49053
2007,Hamburg,female,Often,0.28543,60,131,0.20779,0.36306
2007,Lower Saxony,male,Seldom,0.08256,68,862,0.06418,0.10095
2007,Lower Saxony,male,Sometimes,0.25338,269,862,0.22433,0.28243
2007,Lower Saxony,male,Often,0.40326,453,862,0.37050,0.43603
2007,Lower Saxony,male,Very often,0.06569,72,862,0.04914,0.08223
2007,Lower Saxony,female,Seldom,0.07915,83,923,0.06172,0.09658
2007,Lower Saxony,female,Sometimes,0.26939,295,923,0.24076,0.29803
2007,Lower Saxony,female,Often,0.36036,442,923,0.32937,0.39135
2007,Lower Saxony,female,Very often,0.09345,103,923,0.07466,0.11223
2007,Bremen,male,Often,0.47398,32,32,0.29821,0.64976
2007,Bremen,female,Often,0.38117,38,38,0.22468,0.53767
2007,North Rhine-Westphalia,male,Very seldom,0.02700,45,1992,0.01988,0.03412
2007,North Rhine-Westphalia,male,Seldom,0.09210,192,1992,0.07939,0.10480
2007,North Rhine-Westphalia,male,Sometimes,0.30082,747,1992,0.28067,0.32096
2007,North Rhine-Westphalia,male,Often,0.33709,867,1992,0.31632,0.35785
2007,North Rhine-Westphalia,male,Very often,0.05848,141,1992,0.04817,0.06879
2007,North Rhine-Westphalia,female,Very seldom,0.03121,61,2195,0.02393,0.03849
2007,North Rhine-Westphalia,female,Seldom,0.08988,228,2195,0.07791,0.10185
2007,North Rhine-Westphalia,female,Sometimes,0.28375,760,2195,0.26489,0.30262
2007,North Rhine-Westphalia,female,Often,0.33771,951,2195,0.31792,0.35750
2007,North Rhine-Westphalia,female,Very often,0.08067,195,2195,0.06928,0.09207
2007,Hesse,male,Seldom,0.07290,50,651,0.05292,0.09289
2007,Hesse,male,Sometimes,0.27584,222,651,0.24148,0.31020
2007,Hesse,male,Often,0.36665,325,651,0.32961,0.40370
2007,Hesse,male,Very often,0.05994,54,651,0.04169,0.07819
2007,Hesse,female,Seldom,0.10428,68,698,0.08159,0.12697
2007,Hesse,female,Sometimes,0.26576,227,698,0.23296,0.29855
2007,Hesse,female,Often,0.34035,326,698,0.30517,0.37553
2007,Hesse,female,Very often,0.09246,77,698,0.07095,0.11397
2007,"Rhineland-Palatinate, Saarland",male,Seldom,0.07874,45,524,0.05565,0.10182
2007,"Rhineland-Palatinate, Saarland",male,Sometimes,0.34731,214,524,0.30650,0.38811
2007,"Rhineland-Palatinate, Saarland",male,Often,0.30144,232,524,0.26211,0.34076
2007,"Rhineland-Palatinate, Saarland",male,Very often,0.04562,33,524,0.02773,0.06350
2007,"Rhineland-Palatinate, Saarland",female,Very seldom,0.04482,31,630,0.02865,0.06099
2007,"Rhineland-Palatinate, Saarland",female,Seldom,0.11930,79,630,0.09397,0.14463
2007,"Rhineland-Palatinate, Saarland",female,Sometimes,0.32028,227,630,0.28382,0.35674
2007,"Rhineland-Palatinate, Saarland",female,Often,0.29070,249,630,0.25522,0.32619
