"plh0186","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","(Fach-)Abitur","maennlich","358","0.338530131375663","0.309839266265477","0.367220996485849"
"Manchmal","2007","(Fach-)Abitur","weiblich","336","0.271628192760338","0.247513913669105","0.295742471851572"
"Manchmal","2007","(noch) kein Abschluss","maennlich","74","0.367951939000989","0.307318031926131","0.428585846075848"
"Manchmal","2007","(noch) kein Abschluss","weiblich","97","0.348390650463906","0.295437135166384","0.401344165761428"
"Manchmal","2007","AkademikerIn","maennlich","837","0.356160376158113","0.337026104714982","0.375294647601245"
"Manchmal","2007","AkademikerIn","weiblich","629","0.318564682373245","0.298016392985919","0.339112971760571"
"Manchmal","2007","Hauptschule","maennlich","1406","","",""
"Manchmal","2007","Hauptschule","weiblich","1439","","",""
"Manchmal","2007","Realschule","maennlich","784","0.345916872360775","0.32634927477183","0.36548446994972"
"Manchmal","2007","Realschule","weiblich","973","0.325908129196585","0.309458824503071","0.342357433890099"
"Oft","2007","(Fach-)Abitur","maennlich","516","0.475018160805825","0.444740857411917","0.505295464199732"
"Oft","2007","(Fach-)Abitur","weiblich","686","0.501199941416324","0.474093091518004","0.528306791314644"
"Oft","2007","(noch) kein Abschluss","maennlich","116","","",""
"Oft","2007","(noch) kein Abschluss","weiblich","141","","",""
"Oft","2007","AkademikerIn","maennlich","1190","","",""
"Oft","2007","AkademikerIn","weiblich","988","0.483485542424349","0.461446256046982","0.505524828801717"
"Oft","2007","Hauptschule","maennlich","1392","","",""
"Oft","2007","Hauptschule","weiblich","1406","","",""
"Oft","2007","Realschule","maennlich","1074","","",""
"Oft","2007","Realschule","weiblich","1538","","",""
"Sehr oft","2007","(Fach-)Abitur","maennlich","89","0.0849950567810852","0.0680868130265122","0.101903300535658"
"Sehr oft","2007","(Fach-)Abitur","weiblich","157","","",""
"Sehr oft","2007","(noch) kein Abschluss","maennlich","29","","",""
"Sehr oft","2007","(noch) kein Abschluss","weiblich","39","0.0997933817176283","0.0664822132223659","0.133104550212891"
"Sehr oft","2007","AkademikerIn","maennlich","166","","",""
"Sehr oft","2007","AkademikerIn","weiblich","186","","",""
"Sehr oft","2007","Hauptschule","maennlich","228","","",""
"Sehr oft","2007","Hauptschule","weiblich","241","","",""
"Sehr oft","2007","Realschule","maennlich","170","","",""
"Sehr oft","2007","Realschule","weiblich","306","0.10417293459409","0.0934520667450903","0.114893802443089"
"Sehr selten","2007","(Fach-)Abitur","maennlich","23","","",""
"Sehr selten","2007","(Fach-)Abitur","weiblich","23","","",""
"Sehr selten","2007","(noch) kein Abschluss","maennlich","2","","",""
"Sehr selten","2007","(noch) kein Abschluss","weiblich","7","0.0330999414889381","0.01321738143893","0.0529825015389462"
"Sehr selten","2007","AkademikerIn","maennlich","38","0.0257830688577755","0.0194502739945354","0.0321158637210156"
"Sehr selten","2007","AkademikerIn","weiblich","35","0.0251808755601461","0.018271131283336","0.0320906198369562"
"Sehr selten","2007","Hauptschule","maennlich","124","","",""
"Sehr selten","2007","Hauptschule","weiblich","150","","",""
"Sehr selten","2007","Realschule","maennlich","51","0.0252366916860141","0.0187845936137882","0.03168878975824"
"Sehr selten","2007","Realschule","weiblich","55","0.0216934932008138","0.0165808837359382","0.0268061026656893"
"Selten","2007","(Fach-)Abitur","maennlich","59","0.07617297491728","0.0600892833656962","0.0922566664688637"
"Selten","2007","(Fach-)Abitur","weiblich","105","","",""
"Selten","2007","(noch) kein Abschluss","maennlich","22","","",""
"Selten","2007","(noch) kein Abschluss","weiblich","27","","",""
