,Unnamed: 0,year,pgisced97,quintil_oecd,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Pre-primary Level,3rd Quintile,Often,1.0,47,19045,0.78443,1.22916
1,1,2007,Pre-primary Level,4th Quintile,Often,1.0,43,19045,0.70084,1.32312
2,2,2007,Pre-primary Level,5th Quintile,Often,1.0,56,19045,0.80452,1.25235
3,3,2007,Primary Level,1st Quintile,Sometimes,0.60748,44,19045,0.47126,0.77191
4,4,2007,Primary Level,1st Quintile,Often,0.39252,31,19045,0.27368,0.56575
5,5,2007,Lower Secondary Level,1st Quintile,Very seldom,0.05319,32,19045,0.04329,0.06568
6,6,2007,Lower Secondary Level,1st Quintile,Seldom,0.19242,123,19045,0.17105,0.21419
7,7,2007,Lower Secondary Level,1st Quintile,Sometimes,0.39399,259,19045,0.36264,0.42315
8,8,2007,Lower Secondary Level,1st Quintile,Often,0.27529,187,19045,0.2382,0.30744
9,9,2007,Lower Secondary Level,1st Quintile,Very often,0.08511,60,19045,0.06664,0.10158
10,10,2007,Lower Secondary Level,2nd Quintile,Seldom,0.18403,81,19045,0.15668,0.20653
11,11,2007,Lower Secondary Level,2nd Quintile,Sometimes,0.41046,213,19045,0.37571,0.43932
12,12,2007,Lower Secondary Level,2nd Quintile,Often,0.40551,212,19045,0.36172,0.44176
13,13,2007,Lower Secondary Level,3rd Quintile,Seldom,0.09798,44,19045,0.07683,0.12377
14,14,2007,Lower Secondary Level,3rd Quintile,Sometimes,0.48035,190,19045,0.43212,0.52475
15,15,2007,Lower Secondary Level,3rd Quintile,Often,0.42167,162,19045,0.36798,0.47094
16,16,2007,Lower Secondary Level,4th Quintile,Seldom,0.1206,41,19045,0.09189,0.14613
17,17,2007,Lower Secondary Level,4th Quintile,Sometimes,0.37752,126,19045,0.32613,0.4227
18,18,2007,Lower Secondary Level,4th Quintile,Often,0.39087,136,19045,0.33711,0.44318
19,19,2007,Lower Secondary Level,4th Quintile,Very often,0.11101,33,19045,0.07619,0.15146
20,20,2007,Lower Secondary Level,5th Quintile,Sometimes,0.46565,76,19045,0.36934,0.59019
