,Unnamed: 0,year,sampreg,sex,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,West,male,Very seldom,0.02887,172,20440,0.02591,0.0321
1,1,2007,West,male,Seldom,0.09882,622,20440,0.09331,0.10547
2,2,2007,West,male,Sometimes,0.36069,2607,20440,0.34976,0.37283
3,3,2007,West,male,Often,0.43746,3374,20440,0.42634,0.44976
4,4,2007,West,male,Very often,0.07416,557,20440,0.06931,0.07934
5,5,2007,West,female,Very seldom,0.03231,224,20440,0.02961,0.03504
6,6,2007,West,female,Seldom,0.10802,781,20440,0.10291,0.11265
7,7,2007,West,female,Sometimes,0.34571,2698,20440,0.33547,0.35452
8,8,2007,West,female,Often,0.41688,3646,20440,0.40511,0.42723
9,9,2007,West,female,Very often,0.09708,759,20440,0.08988,0.10422
10,10,2007,East,male,Very seldom,0.03459,69,20440,0.02768,0.04163
11,11,2007,East,male,Seldom,0.10727,234,20440,0.0979,0.11941
12,12,2007,East,male,Sometimes,0.38834,924,20440,0.36717,0.40866
13,13,2007,East,male,Often,0.40645,1033,20440,0.38501,0.43205
14,14,2007,East,male,Very often,0.06335,150,20440,0.05339,0.07557
15,15,2007,East,female,Very seldom,0.0253,54,20440,0.02131,0.02963
16,16,2007,East,female,Seldom,0.13168,275,20440,0.1207,0.14283
17,17,2007,East,female,Sometimes,0.33869,851,20440,0.32021,0.35799
18,18,2007,East,female,Often,0.43301,1199,20440,0.4154,0.45495
19,19,2007,East,female,Very often,0.07133,211,20440,0.06266,0.08014
20,20,2008,West,male,Very seldom,0.02782,145,19240,0.02455,0.03183
21,21,2008,West,male,Seldom,0.09803,565,19240,0.0918,0.10353
22,22,2008,West,male,Sometimes,0.37038,2484,19240,0.35921,0.3818
23,23,2008,West,male,Often,0.4321,3156,19240,0.41929,0.44519
24,24,2008,West,male,Very often,0.07168,516,19240,0.06497,0.07685
25,25,2008,West,female,Very seldom,0.03418,225,19240,0.03072,0.03738
26,26,2008,West,female,Seldom,0.10717,727,19240,0.10121,0.11264
27,27,2008,West,female,Sometimes,0.34196,2498,19240,0.32942,0.3535
28,28,2008,West,female,Often,0.42817,3468,19240,0.41543,0.4393
29,29,2008,West,female,Very often,0.08852,697,19240,0.08197,0.09483
30,30,2008,East,male,Very seldom,0.03079,53,19240,0.02291,0.03936
31,31,2008,East,male,Seldom,0.10219,221,19240,0.092,0.11667
32,32,2008,East,male,Sometimes,0.36959,835,19240,0.34787,0.39571
33,33,2008,East,male,Often,0.444,1051,19240,0.41762,0.46956
34,34,2008,East,male,Very often,0.05342,141,19240,0.04571,0.06163
35,35,2008,East,female,Very seldom,0.03269,62,19240,0.02677,0.03873
36,36,2008,East,female,Seldom,0.11449,242,19240,0.10385,0.12602
37,37,2008,East,female,Sometimes,0.36236,869,19240,0.34083,0.38168
38,38,2008,East,female,Often,0.41979,1096,19240,0.39827,0.44304
39,39,2008,East,female,Very often,0.07067,189,19240,0.06275,0.08053
40,40,2009,West,male,Very seldom,0.03035,166,17923,0.02617,0.03398
41,41,2009,West,male,Seldom,0.11265,653,17923,0.10563,0.11961
42,42,2009,West,male,Sometimes,0.35699,2216,17923,0.34273,0.37197
43,43,2009,West,male,Often,0.43457,2890,17923,0.41967,0.44851
44,44,2009,West,male,Very often,0.06543,462,17923,0.06016,0.072
45,45,2009,West,female,Very seldom,0.03619,216,17923,0.03263,0.03974
