year,bula_h,regtyp,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Urban regions,Sometimes,0.28110,80,199,0.21848,0.34372
2007,Schleswig-Holstein,Urban regions,Often,0.38609,119,199,0.31828,0.45391
2007,Schleswig-Holstein,Rural regions,Sometimes,0.33469,136,325,0.28331,0.38607
2007,Schleswig-Holstein,Rural regions,Often,0.36375,156,325,0.31137,0.41614
2007,Schleswig-Holstein,Rural regions,Very often,0.08479,33,325,0.05445,0.11512
2007,Hamburg,Urban regions,Sometimes,0.34942,116,243,0.28934,0.40949
2007,Hamburg,Urban regions,Often,0.34983,127,243,0.28975,0.40992
2007,Lower Saxony,Urban regions,Seldom,0.09931,77,844,0.07912,0.11950
2007,Lower Saxony,Urban regions,Sometimes,0.25850,267,844,0.22895,0.28806
2007,Lower Saxony,Urban regions,Often,0.37766,416,844,0.34494,0.41039
2007,Lower Saxony,Urban regions,Very often,0.07941,84,844,0.06116,0.09767
2007,Lower Saxony,Rural regions,Seldom,0.06462,74,941,0.04891,0.08034
2007,Lower Saxony,Rural regions,Sometimes,0.26417,297,941,0.23598,0.29235
2007,Lower Saxony,Rural regions,Often,0.38477,479,941,0.35367,0.41587
2007,Lower Saxony,Rural regions,Very often,0.08014,91,941,0.06278,0.09749
2007,Bremen,Urban regions,Sometimes,0.30657,43,113,0.22118,0.39196
2007,Bremen,Urban regions,Often,0.42503,70,113,0.33348,0.51659
2007,North Rhine-Westphalia,Urban regions,Very seldom,0.02958,105,4081,0.02439,0.03478
2007,North Rhine-Westphalia,Urban regions,Seldom,0.09113,409,4081,0.08230,0.09996
2007,North Rhine-Westphalia,Urban regions,Sometimes,0.29271,1466,4081,0.27875,0.30667
2007,North Rhine-Westphalia,Urban regions,Often,0.33734,1771,4081,0.32283,0.35185
2007,North Rhine-Westphalia,Urban regions,Very often,0.07092,330,4081,0.06305,0.07880
2007,North Rhine-Westphalia,Rural regions,Sometimes,0.27537,41,88,0.18151,0.36924
2007,North Rhine-Westphalia,Rural regions,Often,0.33930,47,88,0.23981,0.43879
