"plh0186","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr selten","2007","(noch) kein Abschluss","Westdeutschland","8","0.0213016176549961","0.00800535095042549","0.0345978843595667"
"Sehr selten","2007","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Sehr selten","2007","Hauptschule","Westdeutschland","217","","",""
"Sehr selten","2007","Hauptschule","Ostdeutschland","57","0.0416862894935701","0.0306851179913448","0.0526874609957954"
"Sehr selten","2007","Realschule","Westdeutschland","68","0.0214438485686712","0.0166860467750408","0.0262016503623017"
"Sehr selten","2007","Realschule","Ostdeutschland","38","0.0278982481606107","0.0203489891718462","0.0354475071493752"
"Sehr selten","2007","(Fach-)Abitur","Westdeutschland","37","0.0249407402192921","0.0180386684782952","0.031842811960289"
"Sehr selten","2007","(Fach-)Abitur","Ostdeutschland","9","0.0312077280367051","0.0139729330572373","0.0484425230161728"
"Sehr selten","2007","AkademikerIn","Westdeutschland","55","0.0272373687314567","0.0214906784907361","0.0329840589721773"
"Sehr selten","2007","AkademikerIn","Ostdeutschland","18","","",""
"Selten","2007","(noch) kein Abschluss","Westdeutschland","40","0.119719511592193","0.0898249632658379","0.149614059918547"
"Selten","2007","(noch) kein Abschluss","Ostdeutschland","9","0.118765554700372","0.0556729601778622","0.181858149222883"
"Selten","2007","Hauptschule","Westdeutschland","743","0.13147166954317","0.122947627429334","0.139995711657006"
"Selten","2007","Hauptschule","Ostdeutschland","176","","",""
"Selten","2007","Realschule","Westdeutschland","267","","",""
"Selten","2007","Realschule","Ostdeutschland","171","","",""
"Selten","2007","(Fach-)Abitur","Westdeutschland","141","","",""
"Selten","2007","(Fach-)Abitur","Ostdeutschland","23","","",""
"Selten","2007","AkademikerIn","Westdeutschland","189","","",""
"Selten","2007","AkademikerIn","Ostdeutschland","123","","",""
"Manchmal","2007","(noch) kein Abschluss","Westdeutschland","145","","",""
"Manchmal","2007","(noch) kein Abschluss","Ostdeutschland","26","","",""
"Manchmal","2007","Hauptschule","Westdeutschland","2333","","",""
"Manchmal","2007","Hauptschule","Ostdeutschland","512","0.401921485298468","0.374935506417382","0.428907464179555"
"Manchmal","2007","Realschule","Westdeutschland","1124","","",""
"Manchmal","2007","Realschule","Ostdeutschland","633","0.34644550949025","0.324632360532634","0.368258658447866"
"Manchmal","2007","(Fach-)Abitur","Westdeutschland","575","0.296327806774428","0.276117137644497","0.31653847590436"
"Manchmal","2007","(Fach-)Abitur","Ostdeutschland","119","","",""
"Manchmal","2007","AkademikerIn","Westdeutschland","1018","","",""
"Manchmal","2007","AkademikerIn","Ostdeutschland","448","0.359209264400399","0.333119185521575","0.385299343279224"
"Oft","2007","(noch) kein Abschluss","Westdeutschland","208","","",""
"Oft","2007","(noch) kein Abschluss","Ostdeutschland","49","0.424216572729088","0.327831273531621","0.520601871926554"
"Oft","2007","Hauptschule","Westdeutschland","2344","","",""
