year,sex,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,male,Very seldom,0.02997,241,9742,0.02659,0.03336
2007,male,Seldom,0.10042,856,9742,0.09445,0.10639
2007,male,Sometimes,0.36597,3531,9742,0.35640,0.37553
2007,male,Often,0.43150,4407,9742,0.42166,0.44134
2007,male,Very often,0.07214,707,9742,0.06700,0.07728
2007,female,Very seldom,0.03099,278,10698,0.02770,0.03427
2007,female,Seldom,0.11245,1056,10698,0.10646,0.11843
2007,female,Sometimes,0.34438,3549,10698,0.33537,0.35338
2007,female,Often,0.41989,4845,10698,0.41054,0.42924
2007,female,Very often,0.09230,970,10698,0.08681,0.09778
2008,male,Very seldom,0.02839,198,9167,0.02499,0.03179
2008,male,Seldom,0.09883,786,9167,0.09272,0.10494
2008,male,Sometimes,0.37017,3319,9167,0.36029,0.38006
2008,male,Often,0.43437,4207,9167,0.42422,0.44452
2008,male,Very often,0.06824,657,9167,0.06308,0.07341
2008,female,Very seldom,0.03391,287,10073,0.03038,0.03745
2008,female,Seldom,0.10851,969,10073,0.10243,0.11458
2008,female,Sometimes,0.34563,3367,10073,0.33635,0.35492
2008,female,Often,0.42668,4564,10073,0.41702,0.43633
2008,female,Very often,0.08527,886,10073,0.07982,0.09073
2009,male,Very seldom,0.03111,224,8562,0.02743,0.03479
2009,male,Seldom,0.11012,853,8562,0.10349,0.11675
2009,male,Sometimes,0.35811,3040,8562,0.34795,0.36826
2009,male,Often,0.43660,3874,8562,0.42609,0.44710
2009,male,Very often,0.06407,571,8562,0.05888,0.06925
2009,female,Very seldom,0.03465,270,9361,0.03094,0.03835
2009,female,Seldom,0.11613,959,9361,0.10964,0.12262
2009,female,Sometimes,0.34616,3193,9361,0.33652,0.35579
2009,female,Often,0.42029,4157,9361,0.41029,0.43029
2009,female,Very often,0.08278,782,9361,0.07719,0.08836
2010,male,Very seldom,0.02858,182,7902,0.02490,0.03225
2010,male,Seldom,0.10083,672,7902,0.09419,0.10747
2010,male,Sometimes,0.36891,2792,7902,0.35827,0.37955
2010,male,Often,0.43313,3705,7902,0.42220,0.44405
2010,male,Very often,0.06856,551,7902,0.06299,0.07413
2010,female,Very seldom,0.02910,235,8684,0.02557,0.03264
2010,female,Seldom,0.10961,844,8684,0.10304,0.11619
2010,female,Sometimes,0.35365,2931,8684,0.34359,0.36370
2010,female,Often,0.42265,3920,8684,0.41226,0.43304
2010,female,Very often,0.08499,754,8684,0.07912,0.09085
2011,male,Very seldom,0.02752,214,9742,0.02427,0.03077
2011,male,Seldom,0.10090,881,9742,0.09492,0.10688
2011,male,Sometimes,0.34964,3330,9742,0.34017,0.35911
2011,male,Often,0.44659,4498,9742,0.43672,0.45646
2011,male,Very often,0.07535,819,9742,0.07011,0.08059
2011,female,Very seldom,0.02925,284,10891,0.02608,0.03241
2011,female,Seldom,0.10390,1013,10891,0.09817,0.10963
2011,female,Sometimes,0.33004,3405,10891,0.32121,0.33887
2011,female,Often,0.43800,5076,10891,0.42869,0.44732
2011,female,Very often,0.09881,1113,10891,0.09320,0.10441
2012,male,Very seldom,0.02217,178,9625,0.01922,0.02511
2012,male,Seldom,0.08538,717,9625,0.07980,0.09096
2012,male,Sometimes,0.33815,3162,9625,0.32870,0.34760
2012,male,Often,0.47650,4771,9625,0.46652,0.48648
2012,male,Very often,0.07780,797,9625,0.07245,0.08316
2012,female,Very seldom,0.02355,234,10798,0.02069,0.02641
2012,female,Seldom,0.09066,890,10798,0.08524,0.09607
2012,female,Sometimes,0.32348,3357,10798,0.31466,0.33231
2012,female,Often,0.45947,5211,10798,0.45007,0.46887
2012,female,Very often,0.10285,1106,10798,0.09712,0.10858
2013,male,Very seldom,0.01862,197,11573,0.01616,0.02109
2013,male,Seldom,0.08404,828,11573,0.07899,0.08910
2013,male,Sometimes,0.34233,3643,11573,0.33368,0.35097
2013,male,Often,0.47859,5896,11573,0.46949,0.48769
2013,male,Very often,0.07642,1009,11573,0.07158,0.08126
2013,female,Very seldom,0.03132,316,14027,0.02844,0.03420
2013,female,Seldom,0.09248,1166,14027,0.08769,0.09728
2013,female,Sometimes,0.31632,4095,14027,0.30862,0.32402
2013,female,Often,0.46732,7070,14027,0.45906,0.47558
2013,female,Very often,0.09255,1380,14027,0.08776,0.09735
2014,male,Very seldom,0.02000,203,12392,0.01753,0.02246
2014,male,Seldom,0.07339,816,12392,0.06879,0.07798
2014,male,Sometimes,0.32150,3795,12392,0.31328,0.32973
2014,male,Often,0.49632,6402,12392,0.48752,0.50512
2014,male,Very often,0.08879,1176,12392,0.08378,0.09380
2014,female,Very seldom,0.02073,271,14611,0.01842,0.02304
2014,female,Seldom,0.09053,1159,14611,0.08588,0.09519
2014,female,Sometimes,0.30179,4137,14611,0.29434,0.30923
2014,female,Often,0.47741,7324,14611,0.46931,0.48550
2014,female,Very often,0.10955,1720,14611,0.10448,0.11461
2015,male,Very seldom,0.01908,188,11434,0.01657,0.02159
2015,male,Seldom,0.07580,747,11434,0.07095,0.08065
2015,male,Sometimes,0.33497,3544,11434,0.32632,0.34362
2015,male,Often,0.47951,5913,11434,0.47035,0.48866
2015,male,Very often,0.09064,1042,11434,0.08538,0.09591
2015,female,Very seldom,0.02629,272,13547,0.02360,0.02898
2015,female,Seldom,0.09032,1087,13547,0.08550,0.09515
2015,female,Sometimes,0.30177,3882,13547,0.29404,0.30950
2015,female,Often,0.48182,6798,13547,0.47341,0.49024
2015,female,Very often,0.09979,1508,13547,0.09475,0.10484
2016,male,Very seldom,0.02043,197,11031,0.01779,0.02307
2016,male,Seldom,0.08031,768,11031,0.07524,0.08538
2016,male,Sometimes,0.32040,3395,11031,0.31170,0.32911
2016,male,Often,0.50150,5726,11031,0.49217,0.51083
2016,male,Very often,0.07735,945,11031,0.07237,0.08234
2016,female,Very seldom,0.02364,284,13075,0.02103,0.02624
2016,female,Seldom,0.08607,1013,13075,0.08126,0.09088
2016,female,Sometimes,0.29331,3675,13075,0.28550,0.30111
2016,female,Often,0.48921,6638,13075,0.48064,0.49778
2016,female,Very often,0.10778,1465,13075,0.10246,0.11309
2017,male,Very seldom,0.01765,176,12189,0.01531,0.01999
2017,male,Seldom,0.06523,732,12189,0.06084,0.06961
2017,male,Sometimes,0.31008,3594,12189,0.30187,0.31830
2017,male,Often,0.51996,6557,12189,0.51109,0.52883
2017,male,Very often,0.08707,1130,12189,0.08207,0.09208
2017,female,Very seldom,0.02142,239,14190,0.01904,0.02380
2017,female,Seldom,0.07942,1018,14190,0.07497,0.08387
2017,female,Sometimes,0.28550,3817,14190,0.27807,0.29294
2017,female,Often,0.50668,7486,14190,0.49846,0.51491
2017,female,Very often,0.10698,1630,14190,0.10189,0.11206
2018,male,Very seldom,0.01508,184,11746,0.01288,0.01728
2018,male,Seldom,0.07061,744,11746,0.06597,0.07524
2018,male,Sometimes,0.31241,3530,11746,0.30402,0.32079
2018,male,Often,0.51610,6180,11746,0.50706,0.52513
2018,male,Very often,0.08581,1108,11746,0.08075,0.09088
2018,female,Very seldom,0.01795,243,13785,0.01574,0.02017
2018,female,Seldom,0.08367,1004,13785,0.07905,0.08829
2018,female,Sometimes,0.29444,3819,13785,0.28683,0.30205
2018,female,Often,0.50203,7155,13785,0.49369,0.51038
2018,female,Very often,0.10191,1564,13785,0.09685,0.10696
2019,male,Very seldom,0.02122,206,12261,0.01866,0.02377
2019,male,Seldom,0.07090,720,12261,0.06636,0.07544
