year,regtyp,sampreg,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2010,Rural regions,East,Seldom,0.10220,233,16586,0.10198,0.10242
2010,Rural regions,East,Sometimes,0.37824,992,16586,0.37789,0.37859
2010,Rural regions,East,Often,0.43171,1239,16586,0.43135,0.43207
2010,Rural regions,East,Very often,0.06093,186,16586,0.06075,0.06110
2011,Urban regions,West,Very seldom,0.02956,279,20633,0.02950,0.02961
2011,Urban regions,West,Seldom,0.10087,1058,20633,0.10078,0.10097
2011,Urban regions,West,Sometimes,0.33666,3795,20633,0.33650,0.33681
2011,Urban regions,West,Often,0.44417,5399,20633,0.44401,0.44433
2011,Urban regions,West,Very often,0.08874,1096,20633,0.08865,0.08883
2011,Urban regions,East,Very seldom,0.03581,49,20633,0.03563,0.03600
2011,Urban regions,East,Seldom,0.10120,148,20633,0.10090,0.10150
2011,Urban regions,East,Sometimes,0.34844,544,20633,0.34797,0.34892
2011,Urban regions,East,Often,0.41399,761,20633,0.41350,0.41448
2011,Urban regions,East,Very often,0.10056,157,20633,0.10026,0.10086
2011,Rural regions,West,Very seldom,0.02155,80,20633,0.02147,0.02163
2011,Rural regions,West,Seldom,0.09422,356,20633,0.09406,0.09438
2011,Rural regions,West,Sometimes,0.33018,1280,20633,0.32992,0.33044
2011,Rural regions,West,Often,0.46042,1992,20633,0.46014,0.46069
2011,Rural regions,West,Very often,0.09363,414,20633,0.09347,0.09379
2011,Rural regions,East,Very seldom,0.03021,90,20633,0.03009,0.03034
2011,Rural regions,East,Seldom,0.12543,332,20633,0.12519,0.12567
2011,Rural regions,East,Sometimes,0.36635,1116,20633,0.36600,0.36670
2011,Rural regions,East,Often,0.41514,1422,20633,0.41478,0.41550
2011,Rural regions,East,Very often,0.06287,265,20633,0.06269,0.06305
2012,Urban regions,West,Very seldom,0.02271,225,20423,0.02266,0.02276
2012,Urban regions,West,Seldom,0.08761,905,20423,0.08751,0.08770
2012,Urban regions,West,Sometimes,0.33083,3611,20423,0.33067,0.33098
2012,Urban regions,West,Often,0.46413,5585,20423,0.46397,0.46429
2012,Urban regions,West,Very often,0.09473,1068,20423,0.09463,0.09482
2012,Urban regions,East,Very seldom,0.02718,41,20423,0.02701,0.02734
2012,Urban regions,East,Seldom,0.08441,109,20423,0.08413,0.08469
2012,Urban regions,East,Sometimes,0.33242,543,20423,0.33194,0.33289
2012,Urban regions,East,Often,0.46763,772,20423,0.46713,0.46813
2012,Urban regions,East,Very often,0.08837,140,20423,0.08808,0.08866
