year,quintil_oecd,sex,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,male,Very seldom,0.04893664809422337,58,20437,0.048759556141185816,0.04911374004726093
2007,1st Quintile,male,Seldom,0.15798951561461622,191,20437,0.15769011693696508,0.15828891429226735
2007,1st Quintile,male,Sometimes,0.3816925418992041,522,20437,0.38129375941536814,0.38209132438304005
2007,1st Quintile,male,Often,0.32694899364540664,462,20437,0.3265639224918979,0.32733406479891536
2007,1st Quintile,male,Very often,0.0844323007465496,103,20437,0.08420406874567231,0.0846605327474269
2007,1st Quintile,female,Very seldom,0.05497591558117004,85,20437,0.05481136580355061,0.05514046535878948
2007,1st Quintile,female,Seldom,0.17080795204740656,293,20437,0.1705362635619027,0.17107964053291042
2007,1st Quintile,female,Sometimes,0.36297332114965947,631,20437,0.36262618024657395,0.363320462052745
2007,1st Quintile,female,Often,0.30863031160471166,636,20437,0.30829683598988655,0.30896378721953677
2007,1st Quintile,female,Very often,0.10261249961705224,184,20437,0.10239343120141062,0.10283156803269386
2007,2nd Quintile,male,Very seldom,0.045108174938941294,63,20437,0.04493838106683607,0.045277968811046516
2007,2nd Quintile,male,Seldom,0.11037605898770277,155,20437,0.11011969443861896,0.11063242353678657
2007,2nd Quintile,male,Sometimes,0.35745260177028176,595,20437,0.3570605177770274,0.3578446857635361
2007,2nd Quintile,male,Often,0.41298597216078464,677,20437,0.4125831538659525,0.4133887904556168
2007,2nd Quintile,male,Very often,0.07407719214228946,116,20437,0.07386292925946353,0.07429145502511539
2007,2nd Quintile,female,Very seldom,0.03677779698304809,65,20437,0.03663933905913838,0.036916254906957796
2007,2nd Quintile,female,Seldom,0.12933391779136508,218,20437,0.1290870617573972,0.12958077382533295
2007,2nd Quintile,female,Sometimes,0.3315962022181027,678,20437,0.33124987554120155,0.33194252889500386
2007,2nd Quintile,female,Often,0.4107137865899901,810,20437,0.41035188166076497,0.4110756915192152
2007,2nd Quintile,female,Very often,0.09157829641749403,164,20437,0.091366117735016,0.09179047509997205
2007,3rd Quintile,male,Very seldom,0.02255468255375404,39,20437,0.02244081320314818,0.022668551904359898
2007,3rd Quintile,male,Seldom,0.09671006813076996,163,20437,0.09648339936566122,0.0969367368958787
2007,3rd Quintile,male,Sometimes,0.36858714522491076,676,20437,0.36821717305969326,0.36895711739012826
2007,3rd Quintile,male,Often,0.4530079948543058,834,20437,0.4526262390298008,0.4533897506788108
2007,3rd Quintile,male,Very often,0.05914010923625939,116,20437,0.05895920622846098,0.0593210122440578
2007,3rd Quintile,female,Very seldom,0.027096207116027504,52,20437,0.026974945708138773,0.027217468523916235
2007,3rd Quintile,female,Seldom,0.09376759807353881,188,20437,0.09354988746330956,0.09398530868376806
2007,3rd Quintile,female,Sometimes,0.3572516567622929,683,20437,0.3568937738069301,0.35760953971765574
2007,3rd Quintile,female,Often,0.44121136772228814,930,20437,0.44084053287813796,0.4415822025664383
2007,3rd Quintile,female,Very often,0.08067317032585261,154,20437,0.08046977876183639,0.08087656188986883
2007,4th Quintile,male,Very seldom,0.023514691807440154,39,20437,0.023403632198661754,0.023625751416218553
2007,4th Quintile,male,Seldom,0.0821034642798398,159,20437,0.08190226276625576,0.08230466579342385
2007,4th Quintile,male,Sometimes,0.3686836811944457,762,20437,0.3683300878333357,0.36903727455555574
2007,4th Quintile,male,Often,0.46162893121266463,1041,20437,0.46126355438284194,0.4619943080424873
2007,4th Quintile,male,Very often,0.06406923150560971,148,20437,0.06388975803679758,0.06424870497442184
2007,4th Quintile,female,Very seldom,0.020376621573567004,39,20437,0.02026963311643512,0.020483610030698887
2007,4th Quintile,female,Seldom,0.08711356818931117,182,20437,0.08690002164801364,0.0873271147306087
2007,4th Quintile,female,Sometimes,0.3333604814315829,696,20437,0.33300350146123653,0.3337174614019293
2007,4th Quintile,female,Often,0.4567271126074923,1036,20437,0.4563499065340947,0.45710431868088996
2007,4th Quintile,female,Very often,0.1024222161980465,210,20437,0.10219261486988528,0.10265181752620774
2007,5th Quintile,male,Very seldom,0.017130939154852816,42,20437,0.017039813886312188,0.017222064423393444
2007,5th Quintile,male,Seldom,0.07055621261760892,187,20437,0.07037637539064498,0.07073604984457285
2007,5th Quintile,male,Sometimes,0.35664797087815614,976,20437,0.3563115796837081,0.3569843620726042
2007,5th Quintile,male,Often,0.4758612061275588,1392,20437,0.4755104835649682,0.47621192869014933
2007,5th Quintile,male,Very often,0.07980367122182337,224,20437,0.07961336539483353,0.07999397704881321
2007,5th Quintile,female,Very seldom,0.013297066936120365,37,20437,0.01321069933036392,0.01338343454187681
2007,5th Quintile,female,Seldom,0.07519255698294283,175,20437,0.07499372198535043,0.07539139198053524
2007,5th Quintile,female,Sometimes,0.3354053042347533,860,20437,0.33504930985469883,0.33576129861480775
2007,5th Quintile,female,Often,0.4926647167177274,1433,20437,0.49228775000097075,0.493041683434484
