year,bula_h,pgisced97,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.37029,119,271,0.31269,0.42789
2007,Schleswig-Holstein,Upper Secondary Level,Often,0.44382,152,271,0.38456,0.50309
2007,Schleswig-Holstein,Second Stage of Tertiary Education,Sometimes,0.33837,36,85,0.23718,0.43956
2007,Schleswig-Holstein,Second Stage of Tertiary Education,Often,0.47121,49,85,0.36446,0.57796
2007,Hamburg,Upper Secondary Level,Sometimes,0.42807,54,103,0.33204,0.52409
2007,Hamburg,Upper Secondary Level,Often,0.34345,49,103,0.25130,0.43561
2007,Hamburg,Second Stage of Tertiary Education,Often,0.51655,41,41,0.36169,0.67142
2007,Lower Saxony,Lower Secondary Level,Sometimes,0.31040,75,170,0.24064,0.38015
2007,Lower Saxony,Lower Secondary Level,Often,0.39967,95,170,0.32582,0.47352
2007,Lower Saxony,Upper Secondary Level,Seldom,0.09579,81,945,0.07701,0.11456
2007,Lower Saxony,Upper Secondary Level,Sometimes,0.33141,300,945,0.30138,0.36144
2007,Lower Saxony,Upper Secondary Level,Often,0.45671,478,945,0.42493,0.48848
2007,Lower Saxony,Upper Secondary Level,Very often,0.09446,86,945,0.07580,0.11312
2007,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.24230,32,91,0.15378,0.33082
2007,Lower Saxony,Post-secondary Non-tertiary Level,Often,0.48520,59,91,0.38195,0.58846
2007,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.31959,36,94,0.22481,0.41436
2007,Lower Saxony,First Stage of Tertiary Education,Often,0.49220,58,94,0.39059,0.59381
2007,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.31972,102,294,0.26632,0.37312
2007,Lower Saxony,Second Stage of Tertiary Education,Often,0.50892,158,294,0.45168,0.56617
2007,Lower Saxony,Second Stage of Tertiary Education,Very often,0.10668,34,294,0.07133,0.14203
2007,Bremen,Upper Secondary Level,Often,0.44333,34,34,0.27383,0.61282
2007,North Rhine-Westphalia,Pre-primary Level,Often,0.57116,38,38,0.41169,0.73063
2007,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.16113,78,488,0.12848,0.19378
2007,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.39512,205,488,0.35170,0.43854
2007,North Rhine-Westphalia,Lower Secondary Level,Often,0.33471,170,488,0.29280,0.37663
2007,North Rhine-Westphalia,Lower Secondary Level,Very often,0.06375,35,488,0.04206,0.08545
2007,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.03336,56,2008,0.02550,0.04122
2007,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.10272,195,2008,0.08944,0.11601
2007,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.36108,722,2008,0.34006,0.38209
2007,North Rhine-Westphalia,Upper Secondary Level,Often,0.41219,870,2008,0.39066,0.43373
2007,North Rhine-Westphalia,Upper Secondary Level,Very often,0.09064,165,2008,0.07808,0.10321
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.10018,35,323,0.06739,0.13297
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.33266,101,323,0.28119,0.38412
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.43281,149,323,0.37869,0.48693
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very often,0.11656,38,323,0.08151,0.15161
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.36758,112,243,0.30684,0.42833
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Often,0.45104,131,243,0.38835,0.51374
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.09263,60,824,0.07282,0.11243
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.33972,297,824,0.30736,0.37207
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.44806,410,824,0.41409,0.48204
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Very often,0.07771,57,824,0.05942,0.09600
2007,Hesse,Lower Secondary Level,Sometimes,0.35533,56,102,0.26199,0.44867
2007,Hesse,Lower Secondary Level,Often,0.31736,46,102,0.22659,0.40814
2007,Hesse,Upper Secondary Level,Seldom,0.11458,62,637,0.08983,0.13934
2007,Hesse,Upper Secondary Level,Sometimes,0.33434,219,637,0.29767,0.37100
2007,Hesse,Upper Secondary Level,Often,0.43590,299,637,0.39736,0.47444
2007,Hesse,Upper Secondary Level,Very often,0.08833,57,637,0.06628,0.11039
2007,Hesse,Post-secondary Non-tertiary Level,Often,0.49900,58,58,0.36920,0.62881
2007,Hesse,First Stage of Tertiary Education,Sometimes,0.36561,31,80,0.25941,0.47181
2007,Hesse,First Stage of Tertiary Education,Often,0.59596,49,80,0.48775,0.70417
2007,Hesse,Second Stage of Tertiary Education,Sometimes,0.32650,98,307,0.27396,0.37904
2007,Hesse,Second Stage of Tertiary Education,Often,0.44256,167,307,0.38690,0.49821
2007,Hesse,Second Stage of Tertiary Education,Very often,0.11740,42,307,0.08133,0.15346
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Sometimes,0.44163,76,133,0.35692,0.52635
2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Often,0.30484,57,133,0.22631,0.38338
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.15101,80,585,0.12197,0.18005
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.39893,223,585,0.35921,0.43864
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.35072,242,585,0.31202,0.38942
2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very often,0.05975,40,585,0.04052,0.07897
2007,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Sometimes,0.41901,38,89,0.31592,0.52210
2007,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Often,0.43977,51,89,0.33606,0.54347
2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Sometimes,0.41230,62,150,0.33326,0.49134
2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Often,0.43772,88,150,0.35806,0.51738
2007,Baden-Wuerttemberg,Pre-primary Level,Often,0.51840,36,36,0.35286,0.68394
2007,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.14693,46,308,0.10733,0.18654
2007,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.42918,141,308,0.37381,0.48454
2007,Baden-Wuerttemberg,Lower Secondary Level,Often,0.35527,121,308,0.30173,0.40880
2007,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.09311,105,1153,0.07633,0.10989
2007,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.36920,409,1153,0.34133,0.39707
2007,Baden-Wuerttemberg,Upper Secondary Level,Often,0.42345,547,1153,0.39491,0.45198
2007,Baden-Wuerttemberg,Upper Secondary Level,Very often,0.08983,92,1153,0.07332,0.10634
2007,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Sometimes,0.18012,31,111,0.10831,0.25194
2007,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Often,0.57420,80,111,0.48179,0.66660
