"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","1.38","1","3140","1.36","1.4"
"1985","Staedtischer Raum","1.57","1.5","11458","1.56","1.58"
"1986","Laendlicher Raum","1.38","1","2994","1.36","1.4"
"1986","Staedtischer Raum","1.58","1.5","10888","1.57","1.59"
"1987","Laendlicher Raum","1.39","1","2939","1.37","1.41"
"1987","Staedtischer Raum","1.58","1.5","10697","1.57","1.59"
"1988","Laendlicher Raum","1.41","1","2757","1.39","1.43"
"1988","Staedtischer Raum","1.58","1.5","10254","1.57","1.59"
"1989","Laendlicher Raum","1.41","1","2613","1.39","1.43"
"1989","Staedtischer Raum","1.57","1.5","9972","1.56","1.58"
"1990","Laendlicher Raum","1.48","1","6535","1.47","1.49"
"1990","Staedtischer Raum","1.6","1.5","11849","1.59","1.61"
"1991","Laendlicher Raum","1.48","1","6380","1.47","1.49"
"1991","Staedtischer Raum","1.6","1.5","11626","1.59","1.61"
"1992","Laendlicher Raum","1.48","1","6141","1.47","1.49"
"1992","Staedtischer Raum","1.59","1.5","11522","1.58","1.6"
"1993","Laendlicher Raum","1.48","1","6119","1.47","1.49"
"1993","Staedtischer Raum","1.58","1.5","11408","1.57","1.59"
"1994","Laendlicher Raum","1.47","1","5997","1.46","1.48"
"1994","Staedtischer Raum","1.58","1.5","11136","1.57","1.59"
"1995","Laendlicher Raum","1.48","1","6204","1.47","1.49"
"1995","Staedtischer Raum","1.57","1.5","11508","1.56","1.58"
"1996","Laendlicher Raum","1.46","1","6074","1.45","1.47"
"1996","Staedtischer Raum","1.57","1.5","11265","1.56","1.58"
"1997","Laendlicher Raum","1.45","1","5973","1.44","1.46"
"1997","Staedtischer Raum","1.56","1.5","11033","1.55","1.57"
"1998","Laendlicher Raum","1.43","1","6619","1.42","1.44"
"1998","Staedtischer Raum","1.57","1.5","12137","1.56","1.58"
"1999","Laendlicher Raum","1.42","1","6371","1.41","1.43"
"1999","Staedtischer Raum","1.56","1.5","11617","1.55","1.57"
"2000","Laendlicher Raum","1.43","1","11149","1.42","1.44"
"2000","Staedtischer Raum","1.56","1.5","20658","1.55","1.57"
"2001","Laendlicher Raum","1.42","1","9976","1.41","1.43"
"2001","Staedtischer Raum","1.56","1.5","18752","1.55","1.57"
"2002","Laendlicher Raum","1.42","1","10123","1.41","1.43"
"2002","Staedtischer Raum","1.56","1.5","19993","1.55","1.57"
"2003","Laendlicher Raum","1.42","1","9640","1.41","1.43"
"2003","Staedtischer Raum","1.56","1.5","19152","1.55","1.57"
"2004","Laendlicher Raum","1.42","1","9366","1.41","1.43"
"2004","Staedtischer Raum","1.57","1.5","18565","1.56","1.58"
"2005","Laendlicher Raum","1.41","1","8954","1.4","1.42"
"2005","Staedtischer Raum","1.58","1.5","17751","1.57","1.59"
"2006","Laendlicher Raum","1.43","1","9850","1.42","1.44"
"2006","Staedtischer Raum","1.58","1.5","18814","1.57","1.59"
"2007","Laendlicher Raum","1.43","1","9163","1.42","1.44"
"2007","Staedtischer Raum","1.56","1.5","17455","1.55","1.57"
"2008","Laendlicher Raum","1.41","1","8563","1.4","1.42"
"2008","Staedtischer Raum","1.55","1.5","16314","1.54","1.56"
"2009","Laendlicher Raum","1.41","1","8182","1.4","1.42"
"2009","Staedtischer Raum","1.53","1.5","15039","1.52","1.54"
"2010","Laendlicher Raum","1.41","1","13142","1.4","1.42"
"2010","Staedtischer Raum","1.52","1.5","24326","1.51","1.53"
"2011","Laendlicher Raum","1.41","1","15821","1.4","1.42"
"2011","Staedtischer Raum","1.52","1.5","28180","1.51","1.53"
"2012","Laendlicher Raum","1.43","1","15455","1.42","1.44"
"2012","Staedtischer Raum","1.51","1.5","26951","1.5","1.52"
"2013","Laendlicher Raum","1.43","1","16152","1.42","1.44"
"2013","Staedtischer Raum","1.52","1.5","31513","1.51","1.53"
"2014","Laendlicher Raum","1.44","1","14364","1.43","1.45"
"2014","Staedtischer Raum","1.52","1.5","27143","1.51","1.53"
"2015","Laendlicher Raum","1.44","1","14124","1.43","1.45"
"2015","Staedtischer Raum","1.52","1.5","26928","1.51","1.53"
"2016","Laendlicher Raum","1.43","1","12782","1.42","1.44"
"2016","Staedtischer Raum","1.52","1.5","24007","1.51","1.53"
"2017","Laendlicher Raum","1.43","1","16069","1.42","1.44"
"2017","Staedtischer Raum","1.51","1.5","31005","1.5","1.52"
"2018","Laendlicher Raum","1.43","1","15974","1.42","1.44"
"2018","Staedtischer Raum","1.51","1.5","32169","1.5","1.52"
"2019","Laendlicher Raum","1.42","1","15955","1.41","1.43"
"2019","Staedtischer Raum","1.51","1.5","31902","1.5","1.52"
"2020","Laendlicher Raum","1.43","1","15663","1.42","1.44"
"2020","Staedtischer Raum","1.52","1.5","34268","1.52","1.52"
